cow,filename,group,idx
807,807_20231117_175347_frame_702,24,8
1354,1354_20231117_125009_frame_338,25,8
1354,1354_20231117_125009_frame_2,26,8
1354,1354_20231117_125009_frame_459,27,8
1354,1354_20231117_125009_frame_227,28,8
1354,1354_20231117_125009_frame_93,29,8
1354,1354_20231117_125009_frame_570,0,9
1354,1354_20231117_125009_frame_557,1,9
837,837_20231117_165123_frame_463,2,9
837,837_20231117_165123_frame_620,3,9
837,837_20231117_165123_frame_709,4,9
837,837_20231117_165123_frame_169,5,9
837,837_20231117_165123_frame_48,6,9
837,837_20231117_165123_frame_136,7,9
837,837_20231117_165123_frame_348,8,9
1325,1325_20231117_113835_frame_738,9,9
1325,1325_20231117_113835_frame_747,10,9
1325,1325_20231117_113835_frame_283,11,9
1325,1325_20231117_113835_frame_186,12,9
1325,1325_20231117_113835_frame_580,13,9
1325,1325_20231117_113835_frame_546,14,9
1325,1325_20231117_113835_frame_240,15,9
1236,1236_20231117_142505_frame_446,16,9
1236,1236_20231117_142505_frame_574,17,9
1236,1236_20231117_142505_frame_815,18,9
1236,1236_20231117_142505_frame_800,19,9
1236,1236_20231117_142505_frame_679,20,9
1236,1236_20231117_142505_frame_649,21,9
1236,1236_20231117_142505_frame_421,22,9
973,973_20231117_135700_frame_967,23,9
973,973_20231117_135700_frame_762,24,9
973,973_20231117_135700_frame_851,25,9
973,973_20231117_135700_frame_707,26,9
973,973_20231117_135700_frame_670,27,9
973,973_20231117_135700_frame_136,28,9
973,973_20231117_135700_frame_987,29,9
