cow,lactation_number,dko_lb_cl,dko_lf_cl,dko_rb_cl,dko_rf_cl,dko_udder_cl,dim,dko_lb_dim_cl,dko_lf_dim_cl,dko_rf_dim_cl,dko_rb_dim_cl,dko_udder_dim_cl,dko_lb_7d,dko_lf_7d,dko_rb_7d,dko_rf_7d,dko_udder_7d,dko_lb_nd_7d,dko_lf_nd_7d,dko_rf_nd_7d,dko_rb_nd_7d,dko_udder_nd_7d,vko_lb_cl,vko_lf_cl,vko_rb_cl,vko_rf_cl,vko_udder_cl,visits_cl,vko_lb_nv_cl,vko_lf_nv_cl,vko_rf_nv_cl,vko_rb_nv_cl,vko_udder_nv_cl,vko_lb_7d,vko_lf_7d,vko_rb_7d,vko_rf_7d,vko_udder_7d,visits_7d,vko_lb_nv_7d,vko_lf_nv_7d,vko_rf_nv_7d,vko_rb_nv_7d,vko_udder_nv_7d
842,4,0.0,,1.0,2.0,3,219,0.0,,0.91324200913242,0.45662100456621,1.36986301369863,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,1.0,2.0,3,642,0.0,,0.3115264797507788,0.1557632398753894,0.4672897196261681,0.0,,0.0,0.0,0.0,18.0,0.0,,0.0,0.0,0.0
855,5,0.0,0.0,0.0,,0,0,,,,,,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0,2,0.0,0.0,,0.0,0.0,,,,,,,,,,,
856,4,4.0,1.0,3.0,3.0,7,120,3.333333333333333,0.8333333333333334,2.5,2.5,5.833333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,7,399,1.0025062656641603,0.2506265664160401,0.7518796992481203,0.7518796992481203,1.7543859649122806,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
861,4,4.0,1.0,4.0,2.0,11,162,2.469135802469136,0.6172839506172839,1.2345679012345678,2.469135802469136,6.790123456790123,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,12,606,0.6600660066006601,0.165016501650165,0.33003300330033,0.825082508250825,1.98019801980198,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,4.166666666666666,0.0,4.166666666666666
868,4,0.0,0.0,3.0,1.0,4,60,0.0,0.0,1.6666666666666667,5.0,6.666666666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4,210,0.0,0.0,0.4761904761904762,1.4285714285714286,1.9047619047619049,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
872,4,0.0,3.0,0.0,2.0,5,280,0.0,1.0714285714285714,0.7142857142857143,0.0,1.7857142857142856,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5,785,0.0,0.3821656050955414,0.2547770700636942,0.0,0.6369426751592357,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
896,4,1.0,5.0,0.0,0.0,6,284,0.352112676056338,1.7605633802816902,0.0,0.0,2.112676056338028,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6,749,0.1335113484646194,0.6675567423230975,0.0,0.0,0.801068090787717,0.0,1.0,0.0,0.0,1.0,18.0,0.0,5.555555555555555,0.0,0.0,5.555555555555555
897,4,8.0,0.0,2.0,1.0,11,201,3.9800995024875614,0.0,0.4975124378109453,0.9950248756218906,5.472636815920398,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,11,546,1.465201465201465,0.0,0.1831501831501831,0.3663003663003663,2.0146520146520146,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
902,4,23.0,9.0,32.0,,37,65,35.38461538461539,13.846153846153848,,49.23076923076923,56.92307692307692,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,31.0,9.0,53.0,,63,173,17.91907514450867,5.202312138728324,,30.63583815028902,36.41618497109826,3.0,0.0,9.0,,9.0,19.0,15.789473684210526,0.0,,47.368421052631575,47.368421052631575
904,4,16.0,1.0,3.0,1.0,21,125,12.8,0.8,0.8,2.4,16.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,1.0,26,414,5.072463768115942,0.2415458937198067,0.2415458937198067,0.7246376811594203,6.280193236714976,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
905,4,2.0,2.0,0.0,1.0,5,288,0.6944444444444444,0.6944444444444444,0.3472222222222222,0.0,1.7361111111111112,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5,977,0.2047082906857728,0.2047082906857728,0.1023541453428864,0.0,0.511770726714432,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
911,4,69.0,10.0,24.0,4.0,92,293,23.549488054607508,3.4129692832764507,1.3651877133105803,8.19112627986348,31.399317406143343,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.0,10.0,24.0,4.0,115,826,10.048426150121063,1.2106537530266344,0.4842615012106537,2.905569007263922,13.922518159806296,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
912,4,2.0,3.0,3.0,1.0,9,278,0.7194244604316548,1.079136690647482,0.3597122302158274,1.079136690647482,3.237410071942446,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,9,732,0.273224043715847,0.4098360655737705,0.1366120218579235,0.4098360655737705,1.2295081967213115,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
915,4,13.0,1.0,3.0,0.0,15,246,5.284552845528456,0.4065040650406504,0.0,1.2195121951219512,6.097560975609756,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,16,652,1.9938650306748469,0.1533742331288343,0.0,0.4601226993865031,2.4539877300613497,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
921,4,1.0,5.0,1.0,1.0,7,249,0.4016064257028112,2.0080321285140563,0.4016064257028112,0.4016064257028112,2.8112449799196786,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,8,686,0.1457725947521866,0.7288629737609329,0.1457725947521866,0.1457725947521866,1.1661807580174928,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
922,4,0.0,0.0,1.0,1.0,2,181,0.0,0.0,0.5524861878453038,0.5524861878453038,1.1049723756906076,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,494,0.0,0.0,0.2024291497975708,0.2024291497975708,0.4048582995951417,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
924,4,3.0,0.0,2.0,0.0,4,88,3.4090909090909087,0.0,0.0,2.272727272727273,4.545454545454546,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4,332,0.9036144578313252,0.0,0.0,0.6024096385542169,1.2048192771084338,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
925,4,4.0,0.0,4.0,1.0,8,192,2.083333333333333,0.0,0.5208333333333333,2.083333333333333,4.166666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,8,406,0.9852216748768472,0.0,0.2463054187192118,0.9852216748768472,1.9704433497536944,1.0,0.0,0.0,0.0,1.0,14.0,7.142857142857142,0.0,0.0,0.0,7.142857142857142
929,4,0.0,1.0,2.0,0.0,3,14,0.0,7.142857142857142,0.0,14.285714285714285,21.428571428571427,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4,36,0.0,2.7777777777777777,0.0,8.333333333333332,11.11111111111111,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,5.0,5.0
935,4,0.0,0.0,0.0,0.0,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
937,3,0.0,0.0,2.0,3.0,5,356,0.0,0.0,0.8426966292134831,0.5617977528089888,1.4044943820224718,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6,715,0.0,0.0,0.4195804195804196,0.4195804195804196,0.8391608391608392,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
948,3,6.0,1.0,3.0,1.0,8,437,1.3729977116704806,0.2288329519450801,0.2288329519450801,0.6864988558352403,1.8306636155606408,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,9,1130,0.5309734513274336,0.0884955752212389,0.0884955752212389,0.2654867256637168,0.7964601769911505,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
956,3,5.0,0.0,1.0,0.0,6,384,1.3020833333333337,0.0,0.0,0.2604166666666666,1.5625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6,813,0.6150061500615006,0.0,0.0,0.1230012300123001,0.7380073800738007,,,,,,,,,,,
957,3,0.0,0.0,1.0,0.0,1,335,0.0,0.0,0.0,0.2985074626865672,0.2985074626865672,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,790,0.0,0.0,0.0,0.1265822784810126,0.1265822784810126,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
962,4,3.0,6.0,2.0,0.0,10,118,2.5423728813559325,5.084745762711865,0.0,1.694915254237288,8.47457627118644,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,10,375,0.8,1.6,0.0,0.5333333333333333,2.666666666666667,1.0,1.0,0.0,0.0,2.0,22.0,4.545454545454546,4.545454545454546,0.0,0.0,9.090909090909092
968,3,,0.0,0.0,2.0,3,359,,0.0,0.5571030640668524,0.0,0.8356545961002786,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,3,849,,0.0,0.2355712603062426,0.0,0.3533568904593639,,,,,,,,,,,
970,4,1.0,4.0,2.0,0.0,7,165,0.6060606060606061,2.4242424242424243,0.0,1.2121212121212122,4.242424242424243,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,14.285714285714285,14.285714285714285,1.0,4.0,2.0,0.0,7,541,0.1848428835489833,0.7393715341959335,0.0,0.3696857670979667,1.2939001848428835,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
971,4,0.0,0.0,0.0,0.0,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
973,3,7.0,0.0,13.0,0.0,18,313,2.2364217252396164,0.0,0.0,4.15335463258786,5.7507987220447285,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,18,848,0.8254716981132075,0.0,0.0,1.5330188679245282,2.1226415094339623,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
975,4,0.0,0.0,1.0,0.0,1,147,0.0,0.0,0.0,0.6802721088435374,0.6802721088435374,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,462,0.0,0.0,0.0,0.2164502164502164,0.2164502164502164,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
978,3,5.0,3.0,4.0,8.0,15,233,2.145922746781116,1.2875536480686696,3.433476394849785,1.7167381974248928,6.437768240343347,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,8.0,16,774,0.6459948320413437,0.3875968992248062,1.03359173126615,0.516795865633075,2.0671834625323,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
981,4,0.0,1.0,0.0,1.0,2,24,0.0,4.166666666666666,4.166666666666666,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,76,0.0,1.3157894736842104,1.3157894736842104,0.0,2.631578947368421,0.0,1.0,0.0,0.0,1.0,25.0,0.0,4.0,0.0,0.0,4.0
985,3,0.0,1.0,,0.0,6,326,0.0,0.3067484662576687,0.0,,1.8404907975460123,0.0,0.0,,0.0,0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,6,970,0.0,0.1030927835051546,0.0,,0.6185567010309279,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,0.0
986,4,10.0,0.0,2.0,0.0,11,110,9.090909090909092,0.0,0.0,1.818181818181818,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,12,288,3.8194444444444446,0.0,0.0,0.6944444444444444,4.166666666666666,5.0,0.0,0.0,0.0,5.0,18.0,27.77777777777778,0.0,0.0,0.0,27.77777777777778
1003,3,2.0,,0.0,0.0,2,114,1.7543859649122806,,0.0,0.0,1.7543859649122806,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,2,429,0.4662004662004662,,0.0,0.0,0.4662004662004662,0.0,,0.0,0.0,0.0,25.0,0.0,,0.0,0.0,0.0
1014,3,14.0,3.0,2.0,1.0,17,407,3.43980343980344,0.7371007371007371,0.2457002457002457,0.4914004914004914,4.176904176904177,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,1.0,17,870,1.6091954022988506,0.3448275862068966,0.1149425287356321,0.2298850574712643,1.9540229885057472,,,,,,,,,,,
