cow,dudder_cl,dtnf_lb_cl,dtnf_lf_cl,dtnf_rf_cl,dtnf_rb_cl,all_cl_x,dim,dtnf_udder_dim_cl,dtnf_lf_dim_cl,dtnf_lb_dim_cl,dtnf_rf_dim_cl,dtnf_rb_dim_cl,dtnf_all_dim_cl,dudder_7d_x,dtnf_lb_7d_x,dtnf_lf_7d_x,dtnf_rf_7d_x,dtnf_rb_7d_x,all_7d_x,dtnf_udder_dim_7d_x,dtnf_lf_dim_7d_x,dtnf_lb_dim_7d_x,dtnf_rf_dim_7d_x,dtnf_rb_dim_7d_x,dtnf_all_dim_7d_x,vudder_cl,vtnf_lb_cl,vtnf_lf_cl,vtnf_rf_cl,vtnf_rb_cl,all_cl_y,visits_cl,vtnf_udder_nv_cl,vtnf_lf_nv_cl,vtnf_lb_nv_cl,vtnf_rf_nv_cl,vtnf_rb_nv_cl,vtnf_all_nv_cl,dudder_7d_y,dtnf_lb_7d_y,dtnf_lf_7d_y,dtnf_rf_7d_y,dtnf_rb_7d_y,all_7d_y,dtnf_udder_dim_7d_y,dtnf_lf_dim_7d_y,dtnf_lb_dim_7d_y,dtnf_rf_dim_7d_y,dtnf_rb_dim_7d_y,dtnf_all_dim_7d_y
911,6,2,2,2,1,0.0,293,2.04778156996587,0.6825938566552902,0.6825938566552902,0.6825938566552902,0.3412969283276451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,1.0,0.0,826,0.0,0.24213075060532688,0.24213075060532688,0.24213075060532688,0.12106537530266344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,4,1,0,2,1,1.0,278,1.4388489208633095,0.0,0.3597122302158274,0.7194244604316548,0.3597122302158274,0.3597122302158274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,2.0,1.0,1.0,732,0.0,0.0,0.1366120218579235,0.273224043715847,0.1366120218579235,0.1366120218579235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,11,8,3,0,2,0.0,246,4.471544715447155,1.2195121951219512,3.2520325203252036,0.0,0.8130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,3.0,0.0,2.0,0.0,652,0.0,0.4601226993865031,1.2269938650306749,0.0,0.3067484662576687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,4,2,0,2,0,1.0,249,1.6064257028112447,0.0,0.8032128514056224,0.8032128514056224,0.0,0.4016064257028112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,0.0,1.0,686,0.0,0.0,0.2915451895043732,0.2915451895043732,0.0,0.1457725947521866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922,1,1,0,0,0,1.0,181,0.5524861878453038,0.0,0.5524861878453038,0.0,0.0,0.5524861878453038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,494,0.0,0.0,0.20242914979757085,0.0,0.0,0.20242914979757085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,2,2,0,0,0,0.0,88,2.272727272727273,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,332,0.0,0.0,0.6024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
925,2,0,1,0,1,0.0,192,1.0416666666666665,0.5208333333333333,0.0,0.0,0.5208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,406,0.0,0.24630541871921183,0.0,0.0,0.24630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
929,0,0,0,0,0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935,2,0,0,2,0,0.0,91,2.197802197802198,0.0,0.0,2.197802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,269,0.0,0.0,0.0,0.7434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
937,5,0,2,1,2,1.0,356,1.4044943820224718,0.5617977528089888,0.0,0.2808988764044944,0.5617977528089888,0.2808988764044944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,2.0,1.0,715,0.0,0.27972027972027974,0.0,0.13986013986013987,0.27972027972027974,0.13986013986013987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,16,3,10,2,2,0.0,437,3.6613272311212817,2.2883295194508007,0.6864988558352403,0.4576659038901602,0.4576659038901602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,17.0,2.0,2.0,0.0,1260,0.0,1.3492063492063493,0.2380952380952381,0.15873015873015872,0.15873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,1,1,0,0,0,0.0,384,0.26041666666666663,0.0,0.26041666666666663,0.0,0.0,0.0,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,919,0.0,0.0,0.1088139281828074,0.0,0.0,0.0,,,,,,,,,,,,
957,3,1,0,0,2,0.0,335,0.8955223880597015,0.0,0.2985074626865672,0.0,0.5970149253731344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0.0,790,0.0,0.0,0.12658227848101267,0.0,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,3,3,0,0,0,0.0,118,2.5423728813559325,0.0,2.5423728813559325,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,375,0.0,0.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0
968,4,4,0,0,0,0.0,359,1.1142061281337048,0.0,1.1142061281337048,0.0,0.0,0.0,,,,,,,,,,,,,0,4.0,0.0,0.0,0.0,0.0,975,0.0,0.0,0.41025641025641024,0.0,0.0,0.0,,,,,,,,,,,,
970,5,1,1,2,1,0.0,165,3.0303030303030303,0.6060606060606061,0.6060606060606061,1.2121212121212122,0.6060606060606061,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0,1.0,1.0,2.0,1.0,0.0,541,0.0,0.18484288354898337,0.18484288354898337,0.36968576709796674,0.18484288354898337,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0
971,3,0,1,0,2,0.0,70,4.285714285714286,1.4285714285714286,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,204,0.0,0.49019607843137253,0.0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
973,5,3,1,0,1,0.0,313,1.5974440894568689,0.3194888178913738,0.9584664536741214,0.0,0.3194888178913738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,0.0,1.0,0.0,848,0.0,0.1179245283018868,0.3537735849056604,0.0,0.1179245283018868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
975,2,2,0,0,0,0.0,147,1.3605442176870748,0.0,1.3605442176870748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,462,0.0,0.0,0.4329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978,3,2,0,1,0,0.0,234,1.282051282051282,0.0,0.8547008547008548,0.4273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,775,0.0,0.0,0.25806451612903225,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
981,0,0,0,0,0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985,6,0,0,4,2,0.0,326,1.8404907975460123,0.0,0.0,1.2269938650306749,0.6134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,2.0,0.0,970,0.0,0.0,0.0,0.4123711340206186,0.2061855670103093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986,2,1,1,1,0,0.0,110,1.8181818181818181,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,288,0.0,0.3472222222222222,0.3472222222222222,0.3472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
