cow,dinc_cl,dim,dinc_dim_cl,dinc_7d,dinc_dim_7d,vinc_cl,visits_cl,vinc_nv_cl,vinc_7d,visits_7d,vinc_nv_7d
1100,1,284,0.352112676056338,0.0,0.0,1,761,0.1314060446780552,0.0,16.0,0.0
1101,9,178,5.056179775280898,0.0,0.0,9,631,1.4263074484944531,0.0,23.0,0.0
1102,3,212,1.4150943396226416,0.0,0.0,3,611,0.4909983633387889,0.0,18.0,0.0
1104,50,294,17.006802721088434,0.0,0.0,51,756,6.746031746031746,0.0,2.0,0.0
1116,0,105,0.0,0.0,0.0,0,259,0.0,0.0,17.0,0.0
1126,5,306,1.6339869281045754,0.0,0.0,5,668,0.7485029940119761,0.0,10.0,0.0
1127,2,42,4.761904761904762,0.0,0.0,2,101,1.98019801980198,0.0,18.0,0.0
1133,2,41,4.878048780487805,0.0,0.0,2,117,1.7094017094017095,0.0,22.0,0.0
1139,1,54,1.851851851851852,0.0,0.0,1,158,0.6329113924050633,0.0,21.0,0.0
1140,0,188,0.0,0.0,0.0,0,616,0.0,0.0,21.0,0.0
1142,0,83,0.0,0.0,0.0,0,226,0.0,0.0,21.0,0.0
1144,1,86,1.162790697674419,0.0,0.0,1,291,0.3436426116838488,0.0,23.0,0.0
1145,3,65,4.615384615384616,0.0,0.0,3,206,1.4563106796116505,0.0,21.0,0.0
1146,15,460,3.260869565217391,,,15,973,1.5416238437821173,,,
1148,11,130,8.461538461538462,0.0,0.0,12,459,2.6143790849673203,0.0,25.0,0.0
1149,19,313,6.070287539936102,,,21,834,2.5179856115107917,,,
1151,7,110,6.363636363636363,0.0,0.0,8,391,2.0460358056265986,0.0,25.0,0.0
1153,3,75,4.0,0.0,0.0,3,269,1.1152416356877324,0.0,24.0,0.0
1158,34,351,9.686609686609684,,,35,801,4.369538077403246,,,
1159,0,9,0.0,0.0,0.0,0,21,0.0,0.0,17.0,0.0
1160,1,18,5.555555555555555,0.0,0.0,1,61,1.639344262295082,0.0,25.0,0.0
1163,12,101,11.88118811881188,1.0,14.285714285714285,13,301,4.318936877076411,1.0,22.0,4.545454545454546
1164,0,23,0.0,0.0,0.0,0,55,0.0,0.0,20.0,0.0
1168,1,61,1.639344262295082,0.0,0.0,1,198,0.5050505050505051,0.0,22.0,0.0
1170,0,14,0.0,0.0,0.0,0,29,0.0,0.0,14.0,0.0
1171,3,318,0.9433962264150944,0.0,0.0,3,746,0.4021447721179624,0.0,17.0,0.0
1172,1,85,1.1764705882352942,0.0,0.0,1,220,0.4545454545454545,0.0,18.0,0.0
1173,0,6,0.0,0.0,0.0,0,19,0.0,0.0,16.0,0.0
1177,0,20,0.0,0.0,0.0,0,50,0.0,0.0,18.0,0.0
1178,5,63,7.936507936507936,1.0,14.285714285714285,6,172,3.488372093023256,1.0,20.0,5.0
1184,0,4,0.0,0.0,0.0,0,9,0.0,0.0,7.0,0.0
1191,22,328,6.707317073170732,,,23,831,2.7677496991576414,,,
1192,65,353,18.413597733711047,1.0,14.285714285714285,69,899,7.675194660734149,1.0,16.0,6.25
1197,0,19,0.0,0.0,0.0,0,50,0.0,0.0,19.0,0.0
1198,10,309,3.2362459546925564,0.0,0.0,10,781,1.2804097311139564,0.0,17.0,0.0
1199,10,333,3.003003003003003,,,10,749,1.335113484646195,,,
1200,24,357,6.722689075630252,0.0,0.0,25,872,2.86697247706422,0.0,17.0,0.0
1204,13,297,4.377104377104377,0.0,0.0,13,736,1.766304347826087,0.0,2.0,0.0
1207,11,296,3.716216216216216,0.0,0.0,11,769,1.4304291287386215,0.0,17.0,0.0
1212,3,282,1.0638297872340423,0.0,0.0,3,630,0.4761904761904762,0.0,14.0,0.0
1215,15,330,4.545454545454546,0.0,0.0,18,833,2.1608643457382954,0.0,2.0,0.0
1216,18,293,6.143344709897611,1.0,14.285714285714285,18,730,2.4657534246575343,1.0,2.0,50.0
1219,17,306,5.555555555555555,0.0,0.0,18,699,2.575107296137339,0.0,17.0,0.0
1223,15,312,4.807692307692308,0.0,0.0,16,1108,1.444043321299639,0.0,26.0,0.0
1224,3,303,0.99009900990099,0.0,0.0,3,726,0.4132231404958678,0.0,2.0,0.0
1225,16,312,5.128205128205128,0.0,0.0,16,926,1.7278617710583155,0.0,3.0,0.0
1231,4,185,2.1621621621621623,0.0,0.0,5,571,0.8756567425569177,0.0,24.0,0.0
1232,9,291,3.0927835051546397,0.0,0.0,10,749,1.335113484646195,0.0,13.0,0.0
1233,2,246,0.8130081300813009,0.0,0.0,2,641,0.31201248049922,0.0,18.0,0.0
1235,1,141,0.7092198581560284,0.0,0.0,1,384,0.2604166666666666,0.0,19.0,0.0
1236,1,203,0.4926108374384236,0.0,0.0,1,512,0.1953125,0.0,19.0,0.0
1237,15,311,4.823151125401929,1.0,14.285714285714285,15,729,2.05761316872428,1.0,16.0,6.25
1240,6,231,2.5974025974025974,0.0,0.0,7,787,0.8894536213468869,0.0,27.0,0.0
1241,1,119,0.8403361344537815,0.0,0.0,1,376,0.2659574468085106,0.0,22.0,0.0
1243,10,246,4.065040650406504,0.0,0.0,11,595,1.8487394957983196,0.0,17.0,0.0
1244,2,131,1.5267175572519085,0.0,0.0,2,374,0.53475935828877,0.0,19.0,0.0
1245,10,267,3.745318352059925,0.0,0.0,10,654,1.529051987767584,0.0,17.0,0.0
1246,2,248,0.8064516129032258,0.0,0.0,2,862,0.2320185614849187,0.0,23.0,0.0
1252,4,200,2.0,0.0,0.0,4,406,0.9852216748768472,0.0,15.0,0.0
1255,5,271,1.8450184501845015,0.0,0.0,5,642,0.778816199376947,0.0,18.0,0.0
1258,1,186,0.5376344086021506,0.0,0.0,1,435,0.2298850574712643,0.0,18.0,0.0
1259,5,250,2.0,0.0,0.0,5,668,0.7485029940119761,0.0,17.0,0.0
1261,7,141,4.964539007092199,0.0,0.0,7,424,1.650943396226415,0.0,17.0,0.0
1262,54,112,48.21428571428572,7.0,100.0,86,299,28.762541806020064,14.0,20.0,70.0
1263,1,184,0.5434782608695652,0.0,0.0,1,597,0.1675041876046901,0.0,21.0,0.0
1264,4,258,1.550387596899225,0.0,0.0,4,699,0.5722460658082975,0.0,21.0,0.0
1266,4,222,1.8018018018018016,0.0,0.0,4,572,0.6993006993006993,0.0,17.0,0.0
1267,10,264,3.787878787878788,0.0,0.0,10,666,1.5015015015015014,0.0,14.0,0.0
1268,0,15,0.0,0.0,0.0,0,46,0.0,0.0,23.0,0.0
1270,10,156,6.41025641025641,0.0,0.0,11,361,3.0470914127423825,0.0,17.0,0.0
1271,8,149,5.369127516778524,0.0,0.0,9,370,2.4324324324324325,0.0,16.0,0.0
1272,25,169,14.792899408284024,1.0,14.285714285714285,30,472,6.3559322033898304,1.0,16.0,6.25
1273,2,206,0.9708737864077668,0.0,0.0,2,544,0.3676470588235294,0.0,17.0,0.0
1274,2,104,1.9230769230769231,0.0,0.0,2,299,0.6688963210702341,0.0,21.0,0.0
1276,0,117,0.0,0.0,0.0,0,356,0.0,0.0,22.0,0.0
1277,2,175,1.1428571428571428,0.0,0.0,2,515,0.3883495145631068,0.0,18.0,0.0
1279,0,58,0.0,0.0,0.0,0,158,0.0,0.0,22.0,0.0
1281,1,135,0.7407407407407408,0.0,0.0,1,381,0.2624671916010498,0.0,18.0,0.0
1282,1,72,1.3888888888888888,0.0,0.0,1,253,0.3952569169960474,0.0,24.0,0.0
1283,8,175,4.571428571428571,0.0,0.0,8,600,1.3333333333333337,0.0,18.0,0.0
1284,17,167,10.179640718562874,0.0,0.0,20,477,4.19287211740042,0.0,21.0,0.0
1286,3,116,2.586206896551724,0.0,0.0,3,333,0.9009009009009008,0.0,22.0,0.0
1288,12,61,19.672131147540984,1.0,14.285714285714285,14,150,9.333333333333334,1.0,15.0,6.666666666666667
1291,4,125,3.2,1.0,14.285714285714285,4,417,0.9592326139088728,1.0,24.0,4.166666666666666
1292,32,461,6.941431670281996,,,34,850,4.0,,,
1293,14,166,8.433734939759036,0.0,0.0,15,456,3.289473684210526,0.0,18.0,0.0
1294,8,107,7.476635514018691,0.0,0.0,16,271,5.904059040590406,0.0,19.0,0.0
1295,3,141,2.127659574468085,0.0,0.0,4,377,1.0610079575596816,0.0,21.0,0.0
1300,13,119,10.92436974789916,1.0,14.285714285714285,14,341,4.105571847507331,1.0,22.0,4.545454545454546
1304,13,369,3.523035230352303,0.0,0.0,14,814,1.71990171990172,0.0,2.0,0.0
1305,3,90,3.333333333333333,0.0,0.0,3,247,1.214574898785425,0.0,21.0,0.0
1306,56,270,20.74074074074074,,,65,765,8.49673202614379,,,
1308,22,364,6.043956043956044,,,22,798,2.756892230576441,,,
1311,14,381,3.674540682414698,0.0,0.0,15,903,1.6611295681063123,0.0,2.0,0.0
1312,2,52,3.8461538461538463,0.0,0.0,2,161,1.2422360248447204,0.0,24.0,0.0
1314,0,1,0.0,0.0,0.0,0,3,0.0,0.0,1.0,0.0
1315,0,43,0.0,0.0,0.0,0,115,0.0,0.0,21.0,0.0
1317,20,245,8.16326530612245,,,20,603,3.316749585406302,,,
1319,2,30,6.666666666666667,0.0,0.0,4,75,5.333333333333334,0.0,22.0,0.0
1320,26,414,6.280193236714976,0.0,0.0,35,886,3.950338600451468,0.0,11.0,0.0
1321,6,81,7.4074074074074066,0.0,0.0,6,218,2.752293577981652,0.0,20.0,0.0
1322,16,351,4.558404558404559,,,17,784,2.1683673469387754,,,
1323,2,65,3.076923076923077,0.0,0.0,2,155,1.2903225806451613,0.0,19.0,0.0
1324,4,221,1.809954751131222,,,4,524,0.7633587786259541,,,
1325,5,85,5.88235294117647,1.0,14.285714285714285,5,225,2.2222222222222223,1.0,19.0,5.263157894736842
1327,12,318,3.7735849056603774,0.0,0.0,12,734,1.6348773841961852,0.0,2.0,0.0
1328,6,66,9.090909090909092,1.0,14.285714285714285,6,208,2.8846153846153846,1.0,23.0,4.3478260869565215
1329,15,356,4.213483146067416,1.0,14.285714285714285,15,921,1.6286644951140066,1.0,16.0,6.25
1331,11,316,3.481012658227848,0.0,0.0,11,921,1.1943539630836049,0.0,1.0,0.0
1333,11,296,3.716216216216216,,,20,736,2.717391304347826,,,
1334,0,48,0.0,0.0,0.0,0,142,0.0,0.0,18.0,0.0
1335,2,44,4.545454545454546,2.0,28.57142857142857,2,118,1.694915254237288,2.0,20.0,10.0
1337,10,206,4.854368932038835,,,10,633,1.579778830963665,,,
1339,17,172,9.883720930232558,,,18,406,4.433497536945813,,,
1343,11,352,3.125,0.0,0.0,11,887,1.2401352874859075,0.0,2.0,0.0
