cow,peak_flow_lf_cl,peak_flow_lb_cl,peak_flow_rf_cl,peak_flow_rb_cl,dim,peak_flow_lf_7d,peak_flow_lb_7d,peak_flow_rf_7d,peak_flow_rb_7d
842,,2.9341121495327105,2.15588785046729,2.5512149532710278,219,,3.1033333333333335,2.1533333333333333,2.6466666666666665
855,1.53,1.17,,1.38,0,,,,
856,1.7597999999999998,1.9011000000000002,1.8853499999999999,1.7485,121,1.7727272727272727,2.07,1.9281818181818182,1.8681818181818182
861,1.6721782178217823,1.750693069306931,1.5258415841584159,2.107920792079208,162,1.43,1.7474999999999998,1.425,2.105
868,2.1325714285714286,1.8165714285714287,2.1271428571428572,1.8871428571428572,60,2.233636363636364,1.8054545454545454,2.233636363636364,1.8490909090909091
872,1.9816815286624205,1.6342929936305732,1.3613503184713376,1.7452738853503185,280,2.55,2.16,1.47,1.98
896,1.3956208277703603,1.2218691588785047,1.3549265687583445,1.26913217623498,284,1.3366666666666667,1.2066666666666666,1.38,1.2866666666666666
897,2.1716483516483516,1.625054945054945,1.9316483516483518,2.238241758241758,201,2.156842105263158,1.7242105263157894,1.954736842105263,2.1757894736842105
902,1.367514450867052,1.8579190751445087,,1.8735260115606938,65,1.2568421052631578,1.9200000000000002,,1.983157894736842
904,1.2178260869565218,1.3298550724637679,1.3579710144927537,1.3981159420289857,125,1.0675000000000001,1.3724999999999998,1.3074999999999999,1.2874999999999999
905,1.551954964176049,2.290317297850563,1.747308085977482,1.9715864892528148,288,1.209,2.1149999999999998,1.479,1.581
911,1.715593220338983,1.706585956416465,1.6284261501210653,1.3871186440677965,293,1.7400000000000002,1.77,1.8900000000000001,1.47
912,1.50827868852459,2.230409836065574,2.205655737704918,1.9619672131147543,278,1.356,2.382,2.316,2.166
915,1.76898773006135,1.869478527607362,1.8407668711656442,1.9453067484662576,246,1.6515789473684213,1.9578947368421054,1.6831578947368422,1.954736842105263
921,1.7142857142857142,1.9669679300291545,1.7563556851311952,2.132448979591837,249,1.5933333333333333,1.36,1.6800000000000002,2.08
922,2.1545344129554653,2.09502024291498,1.882834008097166,2.0441295546558704,181,2.110588235294118,2.2270588235294118,1.9129411764705884,2.0894117647058827
924,1.594156626506024,1.4002409638554216,1.7954819277108434,1.4034939759036145,88,1.6292307692307693,1.4284615384615384,1.8115384615384615,1.386923076923077
925,2.4317733990147783,1.9378817733990148,2.4112315270935962,1.571231527093596,192,2.494285714285714,2.0614285714285714,2.575714285714286,1.5728571428571427
929,1.5783333333333334,1.4883333333333333,1.5783333333333334,1.6700000000000002,14,1.503,1.407,1.536,1.641
935,2.083271375464684,1.7259479553903347,1.2,1.821189591078067,91,2.186086956521739,1.7973913043478262,,1.8704347826086958
937,1.8077202797202796,1.7336223776223776,1.7033286713286715,1.749062937062937,356,2.22,1.98,1.8,1.77
948,1.2866176470588238,2.151952380952381,2.1722380952380953,1.9722380952380951,437,,2.195294117647059,2.364705882352941,1.9835294117647058
956,1.558715995647443,1.9535582154515778,1.1420892274211099,1.8073775843307944,384,,,,
957,1.3058734177215192,1.6885063291139242,1.1752405063291138,1.5502784810126582,335,1.53,1.8599999999999999,1.23,1.62
962,1.4900799999999998,1.60144,1.5801599999999998,1.4868800000000002,118,1.5190909090909093,1.5654545454545454,1.489090909090909,1.4181818181818182
968,2.869723076923077,2.2751384615384618,2.7152615384615384,,359,,,,
970,1.6620332717190387,1.8519038817005544,1.9211090573012939,1.7804436229205176,165,1.7242105263157894,1.9452631578947368,1.8852631578947368,1.8726315789473684
971,1.4697058823529412,2.260294117647059,1.898235294117647,2.1138235294117647,70,1.5182608695652176,2.3243478260869566,1.9930434782608695,2.0843478260869563
973,1.4320754716981132,1.39436320754717,1.4418396226415096,1.2516509433962266,313,1.6246153846153848,1.5323076923076924,1.426153846153846,1.3984615384615384
975,1.0855844155844157,1.4742857142857142,1.6985714285714286,1.5522077922077921,147,1.137142857142857,1.58,1.6942857142857142,1.5457142857142858
978,0.9944516129032258,1.3138064516129033,1.3014967741935484,1.1886193548387096,234,1.022857142857143,1.337142857142857,1.354285714285714,1.2228571428571429
981,2.0431578947368423,2.0723684210526314,1.7336842105263157,1.721842105263158,24,2.0904000000000003,2.0064,1.7184,1.7184
985,2.3078350515463915,,2.0976494845360825,2.041422680412371,326,2.34,,2.31,2.1
986,0.9697916666666667,1.1210416666666667,0.9654166666666667,1.2433333333333332,110,1.0766666666666667,1.2866666666666666,0.9666666666666666,1.3333333333333333
1003,,1.746,1.9244651162790698,2.0252093023255813,115,,1.6391999999999998,2.0232,2.0831999999999997
1014,1.3199999999999998,1.648048780487805,1.251219512195122,1.2270731707317073,407,,,,
1023,1.8010374639769453,1.6755043227665705,1.3201729106628244,1.6336599423631124,118,1.802727272727273,1.7263636363636365,1.279090909090909,1.6418181818181816
1036,1.5865411764705881,1.3385647058823529,1.9357411764705883,1.6359529411764706,345,,,,
1039,1.8009565217391306,1.9430434782608696,1.2852173913043479,2.0031304347826087,302,1.6736842105263159,1.7494736842105265,1.0957894736842106,1.9105263157894736
1040,1.6721978021978021,1.5686813186813187,1.6847252747252748,1.9273626373626371,214,1.6566666666666667,1.5666666666666667,1.8199999999999998,1.9200000000000002
1042,2.23972602739726,1.9387214611872146,2.045662100456621,1.9526027397260273,286,,,,
1052,1.683607843137255,1.9338823529411766,1.308549019607843,1.888313725490196,252,,,,
1056,1.355625,2.1543,1.5306,1.978725,315,,,,
1057,1.1826666666666665,1.3333333333333333,1.4533333333333334,1.3,20,1.2042857142857142,1.3885714285714286,1.56,1.3714285714285714
