cow,lp_group,variable,median,min,max,mean,count
1089,p,front_eu,0.1771639471632839,0.1336656985826481,0.2179503908441095,0.17416568033411656,417
1089,p,front_geo,0.2923762557045459,0.2395798990860674,0.3092811794334004,0.29020700576393454,417
1089,p,lb_area,0.0328741442925994,0.0196452281427773,0.0432019743125214,0.032679666581225814,417
1089,p,lb_circ,5.053377775392087e-05,3.6255357696094936e-05,6.770680020601787e-05,5.0271160763961544e-05,417
1089,p,lb_ecc,0.6054758892138988,0.4392959616416426,0.6991703905180485,0.6034734890506964,417
1089,p,lb_vol,0.6278671313720767,0.215923255429183,1.2054487585705105,0.6302113081824848,417
1089,p,lb_vol2,0.6241900544154205,0.2170747581222458,1.1405644476185173,0.627085972421723,417
1089,p,lf_area,0.0771214937865118,0.0539859203461144,0.0970002559779611,0.07667618701119602,417
1089,p,lf_circ,1.1796269150611846e-05,9.553859092977436e-06,1.42204324150218e-05,1.1764687756116942e-05,417
1089,p,lf_ecc,0.7259096095242146,0.6000020200826082,0.813880367499964,0.7243602845909418,417
1089,p,lf_vol,2.0386264287863933,0.9782888985403556,2.8095856585087104,2.0019778753098967,417
1089,p,lf_vol2,2.00594307314224,0.9785857027173368,2.745631184083391,1.9665321778957998,417
1089,p,rb_area,0.0385588441190993,0.0298848658568836,0.0497966281833535,0.03855166362088411,417
1089,p,rb_circ,3.74840011969088e-05,2.746319372700384e-05,4.83183857025791e-05,3.770346090697081e-05,417
1089,p,rb_ecc,0.7146227925742862,0.5685365533478183,0.8505995922927636,0.7128205292285766,417
1089,p,rb_vol,0.8851299942889675,0.4774344685040255,2.017619134369257,0.9004159523906147,417
1089,p,rb_vol2,0.8687015651304433,0.4639646718027108,1.80434454933564,0.8837084987949011,417
1089,p,rf_area,0.067814579075838,0.0368015517957482,0.0939928540764825,0.0669583675723699,417
1089,p,rf_circ,1.7539444213922295e-05,1.340688236149827e-05,3.073661850443213e-05,1.758974196443338e-05,417
1089,p,rf_ecc,0.744224066342334,0.6717484695764413,0.815506209773205,0.7449316103255038,417
