Animal Number;Group Name;Lactation Number;Days In Milk;Avg Daily Yield Last 7 Days;Avg Daily Milkings Last 7 Days;Max Milking Interval Last 7 Days;Avg Yield Per Milking Last 7 Days;Avg Milking Duration Last 7 Days;Avg Flow Last 7 Days;Avg Daily Harvesting Flow Last 7 Days;Avg Kick_Offs Per Milking Last 7 Days;Avg Incomplete Milkings Last 7 Days;Performance Index
915;VMS 1&2 group;4;246;46.46;2.71;11:18;17.12;07:37;5.37;2.26;0.00;0.14;100
703;VMS 1&2 group;5;244;44.96;2.71;12:03;16.56;05:27;6.02;3.06;0.00;0.00;100
454;VMS 1&2 group;7;241;23.85;2.57;22:56;9.51;06:55;3.41;1.38;0.00;0.86;100
1419;VMS 3 & 4 Group;1;235;30.39;2.00;22:36;15.20;06:19;4.68;2.42;0.00;0.00;100
978;VMS 1&2 group;3;233;44.41;3.00;11:11;14.80;08:17;3.43;1.79;0.00;0.00;100
1400;VMS 3 & 4 Group;1;231;41.39;3.00;11:12;13.80;06:57;4.44;1.98;0.00;0.00;100
1240;VMS 1&2 group;2;231;57.84;3.86;11:43;15.00;06:39;4.11;2.26;0.00;0.00;100
1396;VMS 3 & 4 Group;1;223;33.76;2.86;13:54;11.82;06:03;3.96;1.95;0.05;0.29;100
1417;VMS 3 & 4 Group;1;222;40.11;3.00;11:59;13.37;06:03;3.98;2.21;0.00;0.00;100
1266;VMS 1&2 group;2;222;42.02;2.43;14:11;17.30;08:39;3.98;2.00;0.06;0.00;100
1074;VMS 1&2 group;3;222;52.25;3.29;11:58;15.90;06:31;5.53;2.44;0.00;0.00;100
842;VMS 1&2 group;4;219;49.62;2.57;14:12;19.30;06:02;6.02;3.22;0.00;0.00;100
1407;VMS 3 & 4 Group;1;215;31.19;2.71;17:48;11.49;05:29;4.14;2.10;0.00;0.00;100
1067;VMS 3 & 4 Group;3;215;35.83;3.14;10:09;11.40;05:08;5.11;2.22;0.00;0.00;100
1040;VMS 1&2 group;3;213;61.98;2.57;13:46;24.10;09:00;5.07;2.68;0.00;0.00;100
1406;VMS 3 & 4 Group;1;212;24.32;2.57;12:12;9.46;06:22;4.64;1.49;0.22;0.14;100
1102;VMS 1&2 group;3;212;45.01;2.57;13:25;17.51;06:08;5.40;2.86;0.00;0.00;100
747;VMS 1&2 group;5;208;43.83;2.57;13:38;17.05;06:32;5.44;2.62;0.06;0.00;100
1436;VMS 3 & 4 Group;1;206;38.48;3.14;12:43;12.24;05:29;4.44;2.24;0.00;0.00;100
1273;VMS 1&2 group;2;206;43.91;2.43;13:38;18.08;06:57;4.63;2.61;0.00;0.00;100
1429;VMS 3 & 4 Group;1;203;43.79;3.00;12:12;14.60;06:33;4.43;2.24;0.00;0.14;100
1236;VMS 1&2 group;2;203;44.79;2.71;13:14;16.50;08:54;3.44;1.86;0.00;0.00;100
1089;VMS 1&2 group;3;201;52.18;2.86;12:23;18.26;06:04;5.77;3.02;0.00;0.00;100
897;VMS 1&2 group;4;201;49.20;2.71;14:51;18.13;07:29;5.59;2.43;0.00;0.14;100
1412;VMS 3 & 4 Group;1;200;35.98;2.43;13:35;14.81;09:21;2.90;1.58;0.06;0.14;100
1252;VMS 1&2 group;2;200;40.21;2.14;15:29;18.76;09:04;3.98;2.07;0.00;0.00;100
1434;VMS 3 & 4 Group;1;196;41.48;2.14;14:27;19.36;07:21;4.73;2.64;0.00;0.00;100
1433;VMS 3 & 4 Group;1;195;33.70;3.00;13:30;11.23;06:32;4.10;1.72;0.00;0.14;100
1423;VMS 3 & 4 Group;1;195;32.83;2.86;11:11;11.49;04:59;5.34;2.32;0.10;0.00;100
1441;VMS 3 & 4 Group;1;192;24.59;2.29;14:45;10.76;06:32;3.79;1.66;0.00;0.00;100
925;VMS 1&2 group;4;192;43.08;2.00;14:18;21.54;07:27;6.34;2.90;0.07;0.00;100
1140;VMS 1&2 group;3;187;41.42;3.00;13:36;13.81;05:52;5.36;2.36;0.00;0.00;100
1258;VMS 1&2 group;2;186;41.52;2.57;14:07;16.15;05:42;5.98;2.85;0.06;0.00;100
1231;VMS 1&2 group;2;185;60.96;3.43;11:38;17.78;06:26;5.27;2.77;0.00;0.00;100
1430;VMS 3 & 4 Group;1;184;42.12;2.57;14:16;16.38;08:41;3.35;1.89;0.06;0.00;100
1395;VMS 3 & 4 Group;1;184;39.04;3.29;11:00;11.88;06:34;2.87;1.81;0.00;0.00;100
1263;VMS 1&2 group;2;184;45.04;3.00;11:55;15.01;06:02;5.01;2.50;0.00;0.00;100
922;VMS 1&2 group;4;181;48.33;2.43;15:33;19.90;06:14;6.23;3.19;0.00;0.00;100
1409;VMS 3 & 4 Group;1;180;37.32;3.57;12:58;10.45;05:34;4.16;1.88;0.04;0.29;100
1424;VMS 3 & 4 Group;1;179;32.44;3.14;11:45;10.32;05:38;3.92;1.85;0.05;0.14;100
1101;VMS 1&2 group;3;177;45.62;3.29;10:43;13.89;05:57;4.44;2.35;0.00;0.00;100
1283;VMS 1&2 group;2;175;42.79;2.57;15:41;16.64;05:31;5.98;3.03;0.00;0.00;100
