animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,udder_dko,total_dko,max,count,ko_days_pc
1262,2,37,1,5,16,59,50,112,299,44.642857142857146
1263,2,0,0,0,0,0,0,184,597,0.0
1264,2,3,164,20,7,194,130,258,699,50.3875968992248
1266,2,9,6,3,3,21,15,222,572,6.756756756756757
1267,2,33,28,24,22,107,67,264,666,25.37878787878788
1268,2,0,0,0,0,0,0,15,46,0.0
1270,2,3,1,0,0,4,4,156,361,2.564102564102564
1271,2,1,6,10,2,19,17,148,369,11.486486486486488
1272,2,0,1,34,48,83,58,169,472,34.319526627218934
1273,2,0,1,0,1,2,2,206,544,0.9708737864077669
1274,2,3,0,0,0,3,3,104,299,2.8846153846153846
1276,2,1,0,0,1,2,2,117,356,1.7094017094017095
1277,2,0,1,0,4,5,5,175,515,2.857142857142857
1279,2,1,0,1,0,2,2,58,158,3.4482758620689653
1281,2,0,1,2,0,3,3,135,381,2.2222222222222223
1282,2,0,0,0,1,1,1,72,253,1.3888888888888888
1283,2,4,2,3,4,13,7,175,600,4.0
1284,2,0,2,0,8,10,8,167,477,4.790419161676647
1286,2,0,0,0,0,0,0,116,333,0.0
1288,2,35,12,11,44,102,39,61,150,63.934426229508205
1291,2,1,1,0,1,3,1,125,417,0.8
1292,1,3,7,4,4,18,16,461,760,3.470715835140998
1293,2,1,0,0,2,3,2,166,456,1.2048192771084338
1294,2,2,0,0,2,4,4,107,271,3.7383177570093453
1295,2,2,0,1,3,6,5,141,377,3.546099290780142
1300,2,0,0,0,6,6,6,119,341,5.042016806722689
1304,1,7,5,3,12,27,21,369,792,5.691056910569105
1305,2,32,7,1,0,40,29,90,247,32.22222222222222
1306,1,59,37,25,73,194,118,270,765,43.7037037037037
1308,1,4,3,2,10,19,18,364,716,4.945054945054945
1311,1,1,1,0,1,3,3,381,859,0.7874015748031495
1312,2,0,0,0,0,0,0,52,161,0.0
1314,2,0,0,0,0,0,0,1,3,0.0
1315,2,0,0,0,0,0,0,43,115,0.0
1317,1,8,4,7,6,25,13,245,576,5.3061224489795915
1319,2,2,0,0,2,4,4,30,75,13.333333333333334
1320,1,6,2,2,11,21,18,414,799,4.3478260869565215
1321,2,1,0,0,2,3,3,81,218,3.7037037037037033
1322,1,7,125,63,3,198,133,351,749,37.89173789173789
1323,2,3,2,0,1,6,3,65,155,4.615384615384616
1324,1,6,0,4,3,13,11,221,499,4.97737556561086
1325,2,0,0,0,0,0,0,85,225,0.0
1327,1,3,0,7,8,18,16,318,734,5.031446540880504
1328,2,1,1,0,0,2,2,66,208,3.0303030303030303
1329,1,0,1,0,0,1,1,355,920,0.28169014084507044
1331,1,3,1,4,3,11,5,316,921,1.5822784810126582
1333,1,3,2,0,0,5,4,296,736,1.3513513513513513
1334,2,1,0,0,3,4,3,48,142,6.25
1335,2,2,2,1,2,7,3,44,118,6.8181818181818175
1337,1,0,0,0,2,2,2,206,633,0.9708737864077669
1339,1,41,17,25,29,112,45,172,406,26.16279069767442
1343,1,6,13,6,12,37,31,352,887,8.806818181818182
1344,1,1,2,1,2,6,6,311,796,1.929260450160772
1346,1,6,3,4,6,19,15,294,723,5.1020408163265305
1348,1,46,4,6,46,102,51,307,746,16.612377850162865
1351,1,3,8,1,2,14,11,222,503,4.954954954954955
1352,2,0,0,0,0,0,0,4,9,0.0
1354,1,0,15,3,23,41,35,267,732,13.108614232209737
1356,1,18,5,5,7,35,22,187,451,11.76470588235294
1359,1,4,5,0,2,11,11,288,821,3.8194444444444446
1360,1,7,1,3,4,15,10,280,727,3.571428571428571
1361,1,1,0,0,1,2,2,246,508,0.8130081300813009
1362,1,11,2,3,14,30,25,317,880,7.886435331230284
1363,1,107,153,71,75,406,135,298,892,45.302013422818796
1364,1,1,3,1,3,8,8,283,643,2.8268551236749118
1365,1,7,17,54,11,89,65,290,684,22.413793103448278
1366,1,1,0,3,15,19,16,249,584,6.425702811244979
1367,1,9,10,13,21,53,40,315,780,12.698412698412698
1368,1,6,10,2,8,26,21,282,641,7.446808510638298
1370,1,3,0,0,4,7,7,259,716,2.7027027027027026
1371,1,6,1,1,5,13,10,265,650,3.7735849056603774
1372,1,3,0,0,5,8,7,295,784,2.3728813559322033
1373,1,36,17,17,50,120,71,223,514,31.838565022421523
1374,1,54,80,105,0,239,70,256,566,27.34375
1375,1,2,1,0,0,3,3,271,651,1.107011070110701
1376,1,3,5,0,1,9,9,277,855,3.2490974729241873
1377,1,2,0,0,0,2,2,271,717,0.7380073800738007
1378,1,19,7,36,34,96,64,273,688,23.44322344322344
1380,1,2,4,0,4,10,8,301,818,2.6578073089700998
1382,1,10,2,0,17,29,23,306,874,7.516339869281046
1385,1,0,2,3,1,6,6,249,623,2.4096385542168677
1388,1,8,3,4,6,21,16,305,780,5.245901639344262
1389,1,1,0,0,0,1,1,312,593,0.3205128205128205
1391,1,26,27,1,20,74,40,256,718,15.625
1395,1,1,3,1,2,7,7,184,552,3.804347826086957
