animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,max,count,total
1116,3,1,1,0,4,105,259,6
1126,3,3,2,1,2,306,668,8
1127,3,0,0,0,0,42,101,0
1133,3,0,0,0,0,41,117,0
1139,3,0,1,0,0,54,158,1
1140,3,1,0,0,0,187,615,1
1142,3,0,2,0,7,83,226,9
1144,3,0,0,1,0,86,291,1
1145,3,0,1,0,1,65,206,2
1146,2,17,11,0,6,460,871,34
1148,3,1,0,0,2,129,458,3
1149,2,0,1,0,1,313,712,2
1151,3,0,0,0,0,110,391,0
1153,3,10,1,0,5,75,269,16
1158,2,3,0,0,8,351,698,11
1159,3,0,0,0,0,9,21,0
1160,3,2,0,1,1,18,61,4
1163,3,83,1,6,40,100,300,130
1164,3,0,0,3,0,23,55,3
1168,3,0,0,0,0,61,198,0
1170,3,0,0,0,0,14,29,0
1171,2,7,2,2,1,318,746,12
1172,3,0,0,0,0,85,220,0
1173,3,0,0,0,0,6,19,0
1177,3,0,3,0,0,20,50,3
1178,3,3,0,0,1,63,172,4
1184,3,0,0,0,0,4,9,0
1191,2,2,6,2,4,328,799,14
1192,2,37,5,3,16,353,899,61
1197,3,0,0,0,0,19,50,0
1198,2,32,11,9,15,309,781,67
1199,2,23,4,4,8,333,749,39
1200,2,21,5,3,12,356,871,41
1204,2,0,5,0,1,297,736,6
1207,2,2,3,3,2,296,769,10
1212,2,0,0,5,1,282,630,6
1215,2,2,0,1,5,330,833,8
1216,2,0,2,3,9,293,730,14
1219,2,9,4,3,10,306,699,26
1223,2,10,3,2,2,312,1108,17
1224,2,3,1,3,5,303,726,12
1225,2,2,0,0,0,312,926,2
1231,2,2,1,3,2,185,571,8
1232,2,20,1,0,10,291,749,31
1233,2,1,19,8,1,246,641,29
1235,2,5,3,2,0,141,384,10
1236,2,6,1,1,2,203,512,10
1237,2,3,5,4,13,311,729,25
1240,2,4,2,3,1,231,787,10
1241,2,1,1,1,3,119,376,6
1243,2,4,2,19,5,246,595,30
1244,2,3,0,0,0,131,374,3
1245,2,20,32,9,8,267,654,69
1246,2,0,0,1,1,248,862,2
1252,2,3,0,1,2,200,406,6
1255,2,4,0,6,5,271,642,15
1258,2,2,5,0,2,186,435,9
1259,2,0,0,2,0,249,667,2
1261,2,3,0,0,7,141,424,10
1262,2,37,1,5,16,112,299,59
1263,2,0,0,0,0,184,597,0
1264,2,3,164,20,7,258,699,194
1266,2,9,6,3,3,222,572,21
1267,2,33,28,24,22,264,666,107
1268,2,0,0,0,0,15,46,0
1270,2,3,1,0,0,156,361,4
1271,2,1,6,10,2,148,369,19
1272,2,0,1,34,48,169,472,83
1273,2,0,1,0,1,206,544,2
1274,2,3,0,0,0,104,299,3
1276,2,1,0,0,1,117,356,2
1277,2,0,1,0,4,175,515,5
1279,2,1,0,1,0,58,158,2
1281,2,0,1,2,0,135,381,3
1282,2,0,0,0,1,72,253,1
1283,2,4,2,3,4,175,600,13
1284,2,0,2,0,8,167,477,10
1286,2,0,0,0,0,116,333,0
1288,2,35,12,11,44,61,150,102
1291,2,1,1,0,1,125,417,3
1292,1,3,7,4,4,461,760,18
1293,2,1,0,0,2,166,456,3
1294,2,2,0,0,2,107,271,4
1295,2,2,0,1,3,141,377,6
1300,2,0,0,0,6,119,341,6
1304,1,7,5,3,12,369,792,27
1305,2,32,7,1,0,90,247,40
1306,1,59,37,25,73,270,765,194
1308,1,4,3,2,10,364,716,19
1311,1,1,1,0,1,381,859,3
1312,2,0,0,0,0,52,161,0
1314,2,0,0,0,0,1,3,0
1315,2,0,0,0,0,43,115,0
1317,1,8,4,7,6,245,576,25
1319,2,2,0,0,2,30,75,4
1320,1,6,2,2,11,414,799,21
1321,2,1,0,0,2,81,218,3
1322,1,7,125,63,3,351,749,198
1323,2,3,2,0,1,65,155,6
1324,1,6,0,4,3,221,499,13
1325,2,0,0,0,0,85,225,0
1327,1,3,0,7,8,318,734,18
1328,2,1,1,0,0,66,208,2
1329,1,0,1,0,0,355,920,1
1331,1,3,1,4,3,316,921,11
1333,1,3,2,0,0,296,736,5
1334,2,1,0,0,3,48,142,4
1335,2,2,2,1,2,44,118,7
1337,1,0,0,0,2,206,633,2
1339,1,41,17,25,29,172,406,112
1343,1,6,13,6,12,352,887,37
1344,1,1,2,1,2,311,796,6
1346,1,6,3,4,6,294,723,19
1348,1,46,4,6,46,307,746,102
1351,1,3,8,1,2,222,503,14
1352,2,0,0,0,0,4,9,0
1354,1,0,15,3,23,267,732,41
1356,1,18,5,5,7,187,451,35
1359,1,4,5,0,2,288,821,11
1360,1,7,1,3,4,280,727,15
1361,1,1,0,0,1,246,508,2
1362,1,11,2,3,14,317,880,30
1363,1,107,153,71,75,298,892,406
1364,1,1,3,1,3,283,643,8
1365,1,7,17,54,11,290,684,89
1366,1,1,0,3,15,249,584,19
1367,1,9,10,13,21,315,780,53
1368,1,6,10,2,8,282,641,26
1370,1,3,0,0,4,259,716,7
1371,1,6,1,1,5,265,650,13
1372,1,3,0,0,5,295,784,8
1373,1,36,17,17,50,223,514,120
1374,1,54,80,105,0,256,566,239
1375,1,2,1,0,0,271,651,3
1376,1,3,5,0,1,277,855,9
1377,1,2,0,0,0,271,717,2
1378,1,19,7,36,34,273,688,96
1380,1,2,4,0,4,301,818,10
1382,1,10,2,0,17,306,874,29
1385,1,0,2,3,1,249,623,6
1388,1,8,3,4,6,305,780,21
1389,1,1,0,0,0,312,593,1
1391,1,26,27,1,20,256,718,74
1395,1,1,3,1,2,184,552,7
1396,1,20,2,9,31,223,597,62
1397,1,27,2,1,5,249,688,35
1398,1,6,2,8,10,257,667,26
1399,1,7,6,0,2,254,701,15
1400,1,1,1,0,4,231,585,6
1401,1,39,7,0,5,251,634,51
1404,1,2,0,1,13,256,953,16
1405,1,3,0,9,2,166,570,14
1406,1,3,22,6,11,212,559,42
1407,1,172,142,9,83,215,572,406
1409,1,4,1,0,6,180,570,11
1410,1,3,5,4,1,252,635,13
1412,1,1,17,7,12,200,541,37
1414,1,5,5,1,8,267,715,19
1417,1,11,4,1,1,222,619,17
1418,1,19,32,11,31,121,266,93
1419,1,4,0,2,6,235,540,12
1422,1,0,0,1,0,251,668,1
1423,1,13,16,7,18,195,531,54
1424,1,7,1,3,14,179,538,25
1425,1,10,5,3,6,147,407,24
1427,1,9,4,1,14,56,134,28
1429,1,0,0,0,6,203,583,6
1430,1,3,0,0,7,184,486,10
1432,1,2,0,0,3,92,246,5
1433,1,1,0,3,4,195,601,8
1434,1,4,0,1,2,196,462,7
1435,1,1,0,0,6,130,341,7
1436,1,2,0,0,1,206,573,3
1437,1,2,1,1,1,159,359,5
1440,1,4,0,0,2,149,469,6
1442,1,2,2,0,4,165,412,8
1443,1,2,0,0,0,113,272,2
1447,1,25,10,10,30,162,447,75
1449,1,2,1,0,2,131,353,5
1451,1,1,30,65,3,146,467,99
1453,1,13,0,3,21,93,259,37
1454,1,1,1,1,4,109,270,7
1455,1,0,2,0,4,137,344,6
1456,1,1,0,1,2,131,413,4
1457,1,5,0,0,7,38,108,12
1458,1,11,2,4,12,52,129,29
1460,1,4,2,1,2,107,286,9
1461,1,3,1,1,2,74,224,7
1462,1,2,0,0,0,17,40,2
1463,1,1,2,0,0,72,149,3
1465,1,0,0,10,2,107,262,12
1468,1,7,0,0,4,77,185,11
1470,1,0,1,3,4,39,116,8
1471,1,2,3,1,3,44,116,9
1472,1,24,7,6,22,60,151,59
1473,1,0,0,0,0,21,46,0
1474,1,0,1,0,0,73,189,1
1475,1,1,0,0,0,39,82,1
1476,1,3,5,3,7,33,88,18
1477,1,0,1,0,2,72,190,3
1478,1,0,1,1,5,72,226,7
1479,1,0,0,0,0,4,9,0
1480,1,0,0,1,0,27,57,1
1483,1,0,2,0,1,23,57,3
1484,1,0,0,0,0,1,4,0
1485,1,2,1,0,1,22,64,4
1486,1,4,1,3,3,64,171,11
1487,1,0,1,0,2,25,64,3
1489,1,0,0,0,0,8,18,0
1495,1,1,0,1,2,21,46,4
1501,1,24,17,13,22,21,43,76
1503,1,0,0,1,0,7,15,1
1504,1,0,0,0,0,12,24,0
1507,1,2,0,0,0,7,15,2
1511,1,1,1,2,1,3,7,5
