Animal Number;Animal Name;Group Name;Avg Daily Yield Last 7d;Avg. Daily Milkings Last 7 Days;Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Performance Index
1389;;VMS 3 & 4 Group;29.58;1.7;0.00;;0.00;0.00;0.00;0.00;100
1380;;VMS 3 & 4 Group;33.01;3.0;0.00;;0.00;0.00;0.00;0.00;100
1376;;VMS 3 & 4 Group;35.64;3.6;0.00;;0.00;0.00;0.00;0.00;100
1372;;VMS 3 & 4 Group;36.72;2.3;0.00;;0.00;0.00;0.00;0.00;100
1371;;VMS 3 & 4 Group;26.26;1.4;0.00;;0.00;0.00;0.00;0.00;100
1370;;VMS 3 & 4 Group;37.43;2.7;0.00;;0.00;0.00;0.00;0.00;100
1364;;VMS 3 & 4 Group;28.63;1.4;0.00;;0.00;0.00;0.00;0.00;100
1361;;VMS 3 & 4 Group;25.95;1.7;0.00;;0.00;0.00;0.00;0.00;100
1360;;VMS 3 & 4 Group;36.94;2.9;0.00;;0.00;0.00;0.00;0.00;100
1359;;VMS 3 & 4 Group;42.23;3.0;0.00;;0.00;0.00;0.00;0.00;100
1352;;VMS 3 & 4 Group;24.82;1.8;0.00;;0.00;0.00;0.00;0.00;100
1335;;VMS 3 & 4 Group;45.14;2.9;0.00;;0.00;0.00;0.00;0.00;100
1329;;VMS 3 & 4 Group;31.39;2.3;0.00;;0.00;0.00;0.00;0.00;100
1323;;VMS 3 & 4 Group;35.54;2.7;0.00;;0.00;0.00;0.00;0.00;100
1320;;VMS 3 & 4 Group;32.60;1.6;0.00;;0.00;0.00;0.00;0.00;100
1325;;VMS 3 & 4 Group;37.98;2.7;0.00;;0.00;0.00;0.00;0.00;100
1321;;VMS 1&2 group;52.89;2.9;0.00;;0.00;0.00;0.00;0.00;100
1315;;VMS 3 & 4 Group;43.17;3.0;0.00;;0.00;0.00;0.00;0.00;100
1314;;VMS 3 & 4 Group;4.89;1.0;0.00;;0.00;0.00;0.00;0.00;100
1312;;VMS 3 & 4 Group;61.46;3.4;0.00;;0.00;0.00;0.00;0.00;100
1300;;VMS 3 & 4 Group;43.74;3.1;0.00;;0.00;0.00;0.00;0.00;100
1295;;VMS 3 & 4 Group;39.77;3.0;0.00;;0.00;0.00;0.00;0.00;100
1294;;VMS 1&2 group;41.10;2.7;0.00;;0.00;0.00;0.00;0.00;100
1291;;VMS 3 & 4 Group;41.95;3.4;0.00;;0.00;0.00;0.00;0.00;100
1286;;VMS 1&2 group;48.60;3.1;0.00;;0.00;0.00;0.00;0.00;100
1284;;VMS 3 & 4 Group;47.28;3.0;0.00;;0.00;0.00;0.00;0.00;100
1283;;VMS 1&2 group;42.79;2.6;0.00;;0.00;0.00;0.00;0.00;100
1282;;VMS 1&2 group;54.04;3.4;0.00;;0.00;0.00;0.00;0.00;100
1281;;VMS 3 & 4 Group;46.43;2.6;0.00;;0.00;0.00;0.00;0.00;100
1279;;VMS 1&2 group;53.79;3.1;0.00;;0.00;0.00;0.00;0.00;100
1277;;VMS 1&2 group;38.27;2.6;0.00;;0.00;0.00;0.00;0.00;100
1276;;VMS 1&2 group;59.56;3.1;0.00;;0.00;0.00;0.00;0.00;100
1274;;VMS 1&2 group;41.86;3.0;0.00;;0.00;0.00;0.00;0.00;100
1273;;VMS 1&2 group;43.91;2.4;0.00;;0.00;0.00;0.00;0.00;100
1271;;VMS 3 & 4 Group;47.44;2.3;0.00;;0.00;0.00;0.00;0.00;100
1270;;VMS 3 & 4 Group;35.32;2.4;0.00;;0.00;0.00;0.00;0.00;100
1268;;VMS 1&2 group;48.56;3.3;0.00;;0.00;0.00;0.00;0.00;100
1267;;VMS 1&2 group;33.19;2.0;0.00;;0.00;0.00;0.00;0.00;100
1263;;VMS 1&2 group;45.04;3.0;0.00;;0.00;0.00;0.00;0.00;100
1261;;VMS 3 & 4 Group;48.31;2.4;0.00;;0.00;0.00;0.00;0.00;100
1259;;VMS 1&2 group;44.06;2.4;0.00;;0.00;0.00;0.00;0.00;100
