filename,cow,img_class,pbad,pgood
868_20231117_142436_frame_147,868,0,0.9999512434005737,4.8792320740176365e-05
627_20231117_165940_frame_662,627,1,0.22833001613616943,0.7716699242591858
1376_20231117_123958_frame_27,1376,1,0.9204033017158508,0.07959675788879395
1335_20231117_121441_frame_329,1335,1,0.0002713255234993994,0.9997286200523376
1360_20231117_150535_frame_284,1360,1,0.013305583968758583,0.9866944551467896
1039_20231117_120824_frame_507,1039,0,0.23048701882362366,0.7695130109786987
1271_20231117_164614_frame_552,1271,1,0.0015793632483109832,0.9984205961227417
837_20231117_165123_frame_709,837,0,1.0,1.0938371042268358e-10
1057_20231117_140050_frame_633,1057,1,0.0027456372044980526,0.9972544312477112
808_20231117_173436_frame_364,808,1,0.20299841463565826,0.7970016598701477
868_20231117_142436_frame_48,868,0,0.9951431751251221,0.0048568835482001305
627_20231117_165940_frame_407,627,1,0.9940955638885498,0.005904471501708031
1376_20231117_123958_frame_444,1376,1,0.008117549121379852,0.9918825030326843
1335_20231117_121441_frame_418,1335,1,0.0255843885242939,0.97441565990448
1360_20231117_150535_frame_834,1360,1,0.001734335906803608,0.9982656836509705
1039_20231117_120824_frame_374,1039,0,0.9824109673500061,0.017589017748832703
1271_20231117_164614_frame_585,1271,1,0.002695472678169608,0.9973045587539673
837_20231117_165123_frame_169,837,0,0.9998427629470825,0.00015726673882454634
970_20231117_150812_frame_629,970,1,0.002228892408311367,0.997771143913269
723_20231117_175039_frame_338,723,1,0.001050147577188909,0.9989498257637024
1288_20231117_111541_frame_371,1288,0,0.264737993478775,0.7352620363235474
1291_20231117_112153_frame_276,1291,0,0.02027394436299801,0.9797260165214539
1315_20231117_115302_frame_272,1315,0,0.9999994039535522,5.367530775401974e-07
736_20231117_152813_frame_625,736,0,0.9977374076843262,0.0022625839337706566
922_20231117_141213_frame_379,922,0,0.966673731803894,0.033326223492622375
975_20231117_173846_frame_125,975,0,0.12423278391361237,0.8757672309875488
1271_20231117_164614_frame_296,1271,1,0.005039449781179428,0.9949605464935303
837_20231117_165123_frame_48,837,0,0.9999220371246338,7.79038600740023e-05
970_20231117_150812_frame_622,970,1,0.0021016462706029415,0.9978983402252197
723_20231117_175039_frame_190,723,1,0.002054534386843443,0.9979454874992371
1288_20231117_111541_frame_294,1288,0,0.8422417044639587,0.15775831043720245
1291_20231117_112153_frame_207,1291,1,0.019366120919585228,0.9806338548660278
1315_20231117_115302_frame_73,1315,1,4.031072967336513e-05,0.9999597072601318
736_20231117_152813_frame_406,736,0,0.9988586902618408,0.0011413051979616284
922_20231117_141213_frame_170,922,0,0.9975925087928772,0.0024074087850749493
975_20231117_173846_frame_497,975,0,0.07023131847381592,0.9297686219215393
1271_20231117_164614_frame_862,1271,1,0.9300174713134766,0.06998253613710403
837_20231117_165123_frame_136,837,0,1.0,1.4727472019693266e-10
970_20231117_150812_frame_222,970,1,0.02718086913228035,0.9728191494941711
723_20231117_175039_frame_133,723,0,0.0031917595770210028,0.9968082308769226
1288_20231117_111541_frame_353,1288,0,0.9961407780647278,0.0038592645432800055
1291_20231117_112153_frame_382,1291,0,0.5293975472450256,0.47060248255729675
1315_20231117_115302_frame_156,1315,0,0.8594719767570496,0.14052797853946686
736_20231117_152813_frame_493,736,0,0.9860009551048279,0.013999057933688164
922_20231117_141213_frame_4,922,0,0.5865586996078491,0.4134412705898285
975_20231117_173846_frame_216,975,0,0.11226918548345566,0.8877308368682861
1271_20231117_164614_frame_781,1271,1,0.0004650494665838778,0.9995349645614624
837_20231117_165123_frame_348,837,0,0.9999998807907104,1.430629339438383e-07
970_20231117_150812_frame_551,970,1,0.0010690937051549554,0.9989308714866638
723_20231117_175039_frame_154,723,0,0.01354394294321537,0.986456036567688
1288_20231117_111541_frame_333,1288,0,0.2019580453634262,0.7980419397354126
1291_20231117_112153_frame_158,1291,0,0.015099721029400826,0.9849002361297607
1315_20231117_115302_frame_180,1315,0,0.38905590772628784,0.6109440922737122
736_20231117_152813_frame_492,736,0,0.9995935559272766,0.00040650376467965543
922_20231117_141213_frame_346,922,1,0.9841974377632141,0.015802526846528053
975_20231117_173846_frame_442,975,0,0.07296614348888397,0.9270338416099548
1271_20231117_164614_frame_311,1271,1,0.014629309996962547,0.9853707551956177
1325_20231117_113835_frame_738,1325,0,0.9899561405181885,0.01004383061081171
970_20231117_150812_frame_632,970,1,0.00028796109836548567,0.9997120499610901
723_20231117_175039_frame_360,723,0,0.0034889501985162497,0.9965110421180725
1288_20231117_111541_frame_469,1288,0,0.1749914437532425,0.8250085711479187
1291_20231117_112153_frame_91,1291,0,0.8406082391738892,0.15939173102378845
1315_20231117_115302_frame_334,1315,0,0.9999994039535522,6.309460900411068e-07
736_20231117_152813_frame_242,736,1,0.9999749660491943,2.4995508283609524e-05
922_20231117_141213_frame_20,922,0,0.3827372193336487,0.6172627210617065
975_20231117_173846_frame_505,975,0,0.23293986916542053,0.7670601606369019
1271_20231117_164614_frame_685,1271,1,0.046193014830350876,0.9538069367408752
1325_20231117_113835_frame_747,1325,0,0.823006808757782,0.1769932210445404
970_20231117_150812_frame_613,970,1,4.693483788287267e-05,0.999953031539917
723_20231117_175039_frame_274,723,1,0.05911252275109291,0.940887451171875
1288_20231117_111541_frame_388,1288,0,0.9999082088470459,9.179864719044417e-05
1291_20231117_112153_frame_279,1291,0,0.3348240852355957,0.6651759147644043
1315_20231117_115302_frame_402,1315,1,0.6611368060112,0.3388632535934448
736_20231117_152813_frame_545,736,0,0.9999892711639404,1.0783045581774786e-05
922_20231117_141213_frame_529,922,0,0.31046128273010254,0.6895387172698975
975_20231117_173846_frame_377,975,0,0.07545871287584305,0.9245412945747375
1295_20231117_130928_frame_141,1295,0,0.9412703514099121,0.0587296187877655
1325_20231117_113835_frame_283,1325,0,0.9999963045120239,3.652977738966001e-06
764_20231117_144922_frame_812,764,1,0.779466986656189,0.22053299844264984
948_20231117_135427_frame_119,948,1,0.9670984148979187,0.032901544123888016
856_20231117_152520_frame_39,856,1,0.9557626247406006,0.04423738270998001
1281_20231117_111109_frame_714,1281,1,0.4060867726802826,0.593913197517395
729_20231117_112927_frame_446,729,1,0.17877376079559326,0.821226179599762
929_20231117_151607_frame_324,929,0,0.3243043124675751,0.6756957173347473
1359_20231117_124049_frame_59,1359,0,0.11076416075229645,0.8892358541488647
975_20231117_173846_frame_253,975,0,0.7630070447921753,0.2369929403066635
1295_20231117_130928_frame_707,1295,0,0.9497593641281128,0.05024063587188721
1325_20231117_113835_frame_186,1325,0,0.9986329674720764,0.0013670544140040874
764_20231117_144922_frame_696,764,1,0.12704546749591827,0.8729545474052429
948_20231117_135427_frame_151,948,1,0.9351805448532104,0.06481944769620895
856_20231117_152520_frame_412,856,1,0.14998744428157806,0.8500125408172607
1281_20231117_111109_frame_757,1281,1,0.008213763125240803,0.9917861819267273
729_20231117_112927_frame_377,729,1,0.0039427801966667175,0.9960572719573975
929_20231117_151607_frame_522,929,0,0.0017960363766178489,0.9982039928436279
1359_20231117_124049_frame_78,1359,0,0.08413969725370407,0.9158602952957153
785_20231117_125124_frame_229,785,0,0.697856605052948,0.302143394947052
1295_20231117_130928_frame_677,1295,0,0.03229670226573944,0.9677033424377441
1325_20231117_113835_frame_580,1325,0,0.4537260830402374,0.546273946762085
764_20231117_144922_frame_769,764,1,0.7653409838676453,0.23465898633003235
948_20231117_135427_frame_92,948,1,0.9999504089355469,4.956424163538031e-05
