cow,variable,std,mean,cv,std_fg,mean_fg,cv_fg,feature
764,rf,54.76847842290899,746.5836214753451,0.07335879980152718,89.68239156698219,622.1261083342469,0.1441546824117514,peri
764,udder,12.263608283163448,1213.953574617082,0.010102205339303658,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
778,lb,22.726871232364267,479.1185364126919,0.047434756756704416,78.55436072813903,459.9684122331248,0.17078207685341118,peri
778,lf,,,,119.27106048693233,624.9785629077559,0.19084024247490264,peri
778,rb,19.307210858312352,629.3107145722587,0.030679933475207755,74.18042873865525,452.9936419474065,0.16375600421179368,peri
778,rf,45.93548521781803,816.9319594014521,0.056229266940999514,89.68239156698219,622.1261083342469,0.1441546824117514,peri
778,udder,9.738798662602212,1203.9567329163285,0.008088993895164362,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
785,lb,3.68933982822017,518.6792385604535,0.007112950652236618,78.55436072813903,459.9684122331248,0.17078207685341118,peri
785,lf,4.81066017177983,689.7305371126743,0.006974695062680633,119.27106048693233,624.9785629077559,0.19084024247490264,peri
785,rb,1.828427124746156,556.3624817342638,0.003286395443212992,74.18042873865525,452.9936419474065,0.16375600421179368,peri
785,rf,13.64213562373101,923.3254685319157,0.014775001977820407,89.68239156698219,622.1261083342469,0.1441546824117514,peri
785,udder,0.2634559672907244,1250.427019615831,0.0002106927978664969,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
808,lb,23.93192859701419,590.6822412796702,0.040515740823979074,78.55436072813903,459.9684122331248,0.17078207685341118,peri
808,lf,48.04973288101466,682.9708427862413,0.07035400323239487,119.27106048693233,624.9785629077559,0.19084024247490264,peri
808,rb,26.523399399850458,628.081138766992,0.04222925632175401,74.18042873865525,452.9936419474065,0.16375600421179368,peri
808,rf,23.557199040746266,759.3778355922095,0.031021710058702086,89.68239156698219,622.1261083342469,0.1441546824117514,peri
808,udder,55.72322894557975,1443.8920525300998,0.03859237873630316,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
837,lb,39.100136925632526,462.1880145553957,0.08459790322179843,78.55436072813903,459.9684122331248,0.17078207685341118,peri
837,lf,126.36960254337038,514.928518435872,0.24541193198470743,119.27106048693233,624.9785629077559,0.19084024247490264,peri
837,rb,87.6478256025155,595.9064904906016,0.14708318670997567,74.18042873865525,452.9936419474065,0.16375600421179368,peri
837,rf,,,,89.68239156698219,622.1261083342469,0.1441546824117514,peri
837,udder,35.94755980173574,1241.7723435888465,0.028948591090250643,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
856,lb,23.81345857153132,362.43510277707577,0.06570406229712895,78.55436072813903,459.9684122331248,0.17078207685341118,peri
856,lf,51.32860415547545,680.3276311786387,0.07544689029688656,119.27106048693233,624.9785629077559,0.19084024247490264,peri
856,rb,25.92523470386204,403.70071252229116,0.06421894710535227,74.18042873865525,452.9936419474065,0.16375600421179368,peri
856,rf,56.53330260229441,792.8861741236518,0.07130065379785265,89.68239156698219,622.1261083342469,0.1441546824117514,peri
856,udder,10.562349916068868,1093.8665159381615,0.009655976997348714,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
861,lb,32.79740847856374,475.5808150250823,0.06896285014531967,78.55436072813903,459.9684122331248,0.17078207685341118,peri
861,lf,17.68501476733212,658.8782897081406,0.026841094999754726,119.27106048693233,624.9785629077559,0.19084024247490264,peri
861,rb,24.757749109732725,519.2810675567764,0.04767697236916075,74.18042873865525,452.9936419474065,0.16375600421179368,peri
861,rf,57.0947096470908,741.7696154357628,0.0769709468532891,89.68239156698219,622.1261083342469,0.1441546824117514,peri
861,udder,13.688879955050698,1154.2328204109576,0.011859721637595485,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
868,lb,24.34824994933435,534.6625795245692,0.04553946896935487,78.55436072813903,459.9684122331248,0.17078207685341118,peri
868,lf,8.086874494255751,547.4047100206216,0.014773118218056812,119.27106048693233,624.9785629077559,0.19084024247490264,peri
868,rb,23.525646005444738,640.6660633270892,0.03672060586957269,74.18042873865525,452.9936419474065,0.16375600421179368,peri
868,rf,21.18863265321162,671.2924599429249,0.03156393661119497,89.68239156698219,622.1261083342469,0.1441546824117514,peri
868,udder,13.220461844373178,1119.7160063760057,0.011806977634589325,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
915,lb,27.428627388357523,402.59821155074286,0.06812903436085051,78.55436072813903,459.9684122331248,0.17078207685341118,peri
915,lf,13.874448307334825,712.7145532640516,0.019467047843759296,119.27106048693233,624.9785629077559,0.19084024247490264,peri
915,rb,31.903456757618482,479.5703631570611,0.06652507996448058,74.18042873865525,452.9936419474065,0.16375600421179368,peri
915,rf,22.077496751927743,823.3760361351024,0.026813382686674637,89.68239156698219,622.1261083342469,0.1441546824117514,peri
915,udder,11.715833831631166,1204.2277594016525,0.009728918587171948,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
922,lb,63.50744899874922,637.3158885535182,0.09964830649819303,78.55436072813903,459.9684122331248,0.17078207685341118,peri
922,lf,17.861596826247716,727.5659122898062,0.024549798890431018,119.27106048693233,624.9785629077559,0.19084024247490264,peri
922,rb,54.564606728330546,629.0797675153007,0.08673718270076682,74.18042873865525,452.9936419474065,0.16375600421179368,peri
922,rf,9.442525162255714,646.1069193455821,0.014614493173699021,89.68239156698219,622.1261083342469,0.1441546824117514,peri
922,udder,5.121822207690485,1169.3387178623414,0.004380101444903532,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
924,lb,24.9355496008987,448.1370840314345,0.055642682762557544,78.55436072813903,459.9684122331248,0.17078207685341118,peri
924,lf,16.269008413899,820.853659580902,0.019819620981169,119.27106048693233,624.9785629077559,0.19084024247490264,peri
924,rb,20.280256303429077,446.88372585229416,0.04538150559130495,74.18042873865525,452.9936419474065,0.16375600421179368,peri
924,rf,12.639012740252882,821.6702233524367,0.015382099023480941,89.68239156698219,622.1261083342469,0.1441546824117514,peri
924,udder,11.080810632816172,1286.426995708877,0.008613633474560416,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
929,lb,32.739528421317765,465.4672836829312,0.07033690566235241,78.55436072813903,459.9684122331248,0.17078207685341118,peri
929,lf,18.367820387667813,714.1704140515543,0.025719100128308987,119.27106048693233,624.9785629077559,0.19084024247490264,peri
929,rb,51.84938288122856,574.3775971752995,0.09027055222246799,74.18042873865525,452.9936419474065,0.16375600421179368,peri
929,rf,53.816355738178046,864.3931974553192,0.062259115292216116,89.68239156698219,622.1261083342469,0.1441546824117514,peri
929,udder,14.655831064603415,1225.1827634668214,0.011962159035875388,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
948,lb,22.210185041641324,459.8354226787361,0.048300291683180015,78.55436072813903,459.9684122331248,0.17078207685341118,peri
948,lf,44.35372698220232,815.1725131906992,0.05441023374131646,119.27106048693233,624.9785629077559,0.19084024247490264,peri
948,rb,53.76094717463176,512.9587465132807,0.10480559604463215,74.18042873865525,452.9936419474065,0.16375600421179368,peri
948,rf,60.21841406822234,733.5692942735575,0.08208960562867577,89.68239156698219,622.1261083342469,0.1441546824117514,peri
948,udder,5.738991935815864,1232.4343427406282,0.004656630975613492,105.34263497401687,1037.3205136870504,0.1015526383447168,peri
