cow,vol_udder,sarea_udder,peri_udder,area_udder,circ_udder,exc_udder,date,begin_time,days_in_milk,device_name,lactation_number,interval_sec,yield,is_incomplete,occ
915,9.792705874956512,2299.151506814079,1202.5935418572012,86760.0,0.7554080974067343,0.5618168213278185,20231117,2023-11-17 12:33:00,246.0,VMS_1,4,38212.0,21.33,Unchecked,402.0
922,8.601103631203488,2022.0019788969096,1169.2346314604056,86290.0,0.794133696543513,0.7403997378628973,20231117,2023-11-17 14:12:00,181.0,VMS_2,4,28439.0,16.26,Unchecked,11.0
924,7.167880402618325,2269.217125935047,,,0.7568308639926655,,20231117,2023-11-17 13:10:00,88.0,VMS_1,4,28170.0,18.94,Unchecked,254.0
929,10.4904108095976,2178.960033487541,1221.7859300126263,94098.0,0.7897866422947412,0.6979415219591941,20231117,2023-11-17 15:15:00,14.0,VMS_2,4,32413.0,20.9,Unchecked,782.0
948,7.68978655666896,2146.896311341257,1233.1585130146568,93808.0,0.7743533978050049,0.5659314960127421,20231117,2023-11-17 13:53:00,437.0,VMS_2,3,49866.0,21.49,Unchecked,11.0
962,,,1219.6437943888957,91825.0,0.7747024483411963,0.59637550892601,20231117,2023-11-17 11:18:00,118.0,VMS_2,4,35381.0,23.21,Unchecked,380.0
970,7.735401341832796,2716.3523138241244,1271.5432893255072,96497.0,0.7559511165600784,0.5517758705079446,20231117,2023-11-17 15:08:00,165.0,VMS_3,4,44592.0,22.4,Unchecked,
973,7.903203031346979,2378.1314088448107,1258.732106143464,,0.7670755451010871,0.571824724927225,20231117,2023-11-17 13:56:00,313.0,VMS_4,3,69632.0,26.54,Unchecked,
975,11.329727554177396,2345.576145813686,1062.891485709898,70063.0,0.7771624146747205,0.63158016898231,20231117,2023-11-17 17:38:00,147.0,VMS_2,4,37335.0,23.57,Unchecked,262.0
978,9.282221791981208,2329.8353111903484,1114.2468247692254,74115.0,0.7512310200748914,0.6212117845384687,20231117,2023-11-17 17:07:00,233.0,VMS_2,3,26641.0,13.71,Unchecked,31.0
981,,2247.1139337534114,1059.5067093990478,70105.0,0.7849539814884348,0.6154338074769834,20231117,2023-11-17 13:30:00,24.0,VMS_2,4,26750.0,16.06,Unchecked,11.0
1003,10.06582782525184,2076.7686716724297,1078.0458146424487,72268.0,0.7821819967079864,0.6134765295094505,20231117,2023-11-17 16:35:00,114.0,VMS_1,3,29385.0,14.26,Unchecked,25.0
1023,5.71478345746605,1950.0882188323585,1004.38181771802,63911.0,0.7941578568742835,0.5876525285966996,20231117,2023-11-17 12:46:00,117.0,VMS_2,4,25442.0,16.77,Unchecked,14.0
1039,9.720605832513108,2301.1379069740647,1166.903679018718,82962.0,0.765975992587149,0.6248578682585246,20231117,2023-11-17 12:08:00,302.0,VMS_1,3,38940.0,18.52,Unchecked,62.0
1040,5.914194747655145,2003.365891186089,,,0.7682474986087902,0.6813231830311176,20231117,2023-11-17 17:25:00,213.0,VMS_2,3,35248.0,25.0,Unchecked,154.0
1057,10.363165039897758,2668.743554736726,1260.652416360247,94412.5,0.7474982000232426,0.6712854552347887,20231117,2023-11-17 14:00:00,20.0,VMS_1,4,45997.0,27.07,Unchecked,22.0
1061,8.568867840547767,2408.8638323787795,1057.7615433949868,75677.0,,,20231117,2023-11-17 12:10:00,284.0,VMS_2,3,39664.0,17.63,Unchecked,20.0
1074,8.226312229891251,2117.6607016158164,1028.2640687119283,67788.0,0.8065857930735808,0.6800792854026935,20231117,2023-11-17 14:56:00,222.0,VMS_2,3,27373.0,16.4,Unchecked,17.0
1081,9.478594789784337,2463.0798437386006,1173.8031739553294,83867.0,0.7630478030296478,0.581669890514747,20231117,2023-11-17 11:33:00,258.0,VMS_2,3,38704.0,24.61,Unchecked,237.0
1084,6.723700716846214,1906.1535932255952,1014.4858941188766,61709.5,0.7552906324607578,0.6898772032138323,20231117,2023-11-17 15:04:00,150.0,VMS_2,3,39804.0,24.06,Unchecked,5.0
1089,8.459232116702184,2170.740877627175,1053.134126397017,71133.0,0.8065152968147616,0.6197077703524545,20231117,2023-11-17 13:46:00,201.0,VMS_2,3,28585.0,19.61,Unchecked,11.0
1098,7.619284320248025,2303.3847181989463,1243.4427842621185,91431.0,,,20231117,2023-11-17 11:56:00,252.0,VMS_1,3,33052.0,21.75,Unchecked,97.0
1100,7.6045362160295396,2037.443215482186,1154.3473298326137,71696.0,,0.6659661497476409,20231117,2023-11-17 15:04:00,284.0,VMS_1,3,26934.0,14.18,Unchecked,142.0
1102,8.658630891960433,2339.550023049389,1197.6021638285529,85429.0,0.7498494481757545,0.6396588245213113,20231117,2023-11-17 11:45:00,212.0,VMS_2,3,41147.0,22.73,Unchecked,20.0
1116,9.96228269822788,2780.634957543037,1262.57272657703,94370.0,0.7439281827164264,,20231117,2023-11-17 14:17:00,105.0,VMS_4,3,44637.0,24.88,Unchecked,
1127,10.163407113884825,2306.2522319602085,1083.259018078045,72477.0,0.7801192014731093,0.5392925859761091,20231117,2023-11-17 14:46:00,42.0,VMS_2,3,29232.0,21.06,Unchecked,25.0
1139,10.248961515131946,2785.024021205011,1148.9331162702406,81581.0,0.7776772227927882,0.5845826261032854,20231117,2023-11-17 11:41:00,54.0,VMS_1,3,38444.0,24.65,Unchecked,17.0
1144,,2735.7256448527155,1057.8376618407358,69102.0,0.775373126008798,0.6918416299440084,20231117,2023-11-17 13:02:00,86.0,VMS_1,3,35524.0,22.94,Unchecked,42.0
1148,,2592.6978093074213,1194.1879502661798,88171.0,0.7775565840851183,0.5205712744502768,20231117,2023-11-17 16:32:00,129.0,VMS_2,3,27152.0,16.61,Unchecked,600.0
1151,7.795235651834591,2078.549506694256,1111.7615433949868,77424.0,0.7873642944302387,0.7048439160713195,20231117,2023-11-17 14:55:00,110.0,VMS_1,3,27186.0,18.48,Unchecked,1088.0
1153,6.584192687271515,1951.309601276197,1085.17575695736,77051.0,,0.48229249957622,20231117,2023-11-17 14:30:00,75.0,VMS_1,3,18982.0,16.71,Unchecked,28.0
1159,9.664792486983778,2175.480182735425,1088.9331162702408,73591.0,0.7772997957611185,0.6217180096214227,20231117,2023-11-17 17:16:00,9.0,VMS_2,3,38749.0,16.47,Unchecked,782.0
1163,4.360501486344896,1818.0747138055297,1065.7199128346442,70843.0,0.7853942062575668,0.6307716264667086,20231117,2023-11-17 16:46:00,100.0,VMS_1,3,29254.0,19.52,Unchecked,11.0
1164,,2650.7475398136703,1147.5777772109132,80677.0,0.7698309110601235,0.7296911085725458,20231117,2023-11-17 15:14:00,23.0,VMS_1,3,22123.0,17.73,Unchecked,31.0
1168,10.095375456466895,2504.195431168392,1110.7909806465098,73786.0,0.7511868387105759,,20231117,2023-11-17 11:11:00,61.0,VMS_1,3,31349.0,24.85,Unchecked,220.0
1170,6.093923621267238,1851.275091933443,1024.8082245892128,65768.0,0.7877190038971755,0.6391963012411677,20231117,2023-11-17 16:59:00,14.0,VMS_2,3,38219.0,14.76,Unchecked,160.0
1171,8.780818663972678,2147.023742019766,1065.5361466505706,71369.0,0.7910088709279365,0.5164277134508475,20231117,2023-11-17 17:07:00,318.0,VMS_1,2,49098.0,23.9,Unchecked,131.0
1173,9.111657319421576,2541.31900548414,1167.650937063832,82838.0,0.7639021350477084,0.5773765873146329,20231117,2023-11-17 17:47:00,6.0,VMS_3,3,41458.0,21.7,Unchecked,
1177,,,1207.9940828143394,92317.0,0.7949904891087807,0.5717364902652743,20231117,2023-11-17 17:18:00,20.0,VMS_1,3,63739.0,31.52,Unchecked,14.0
1192,4.806576156847648,1884.4826120833843,1221.401153701776,92398.5,0.780197729780645,0.5705958000803778,20231117,2023-11-17 13:51:00,353.0,VMS_1,2,28405.0,14.01,Unchecked,5.0
1198,7.074192352297393,1839.9181251151592,1000.607214462436,62818.0,0.7921489129044413,0.5894988431402909,20231117,2023-11-17 11:54:00,309.0,VMS_2,2,43471.0,17.69,Unchecked,45.0
1200,6.040810018482638,1871.8313131953607,968.607214462436,57998.0,0.777421921926298,0.5802504668365279,20231117,2023-11-17 16:11:00,356.0,VMS_2,2,33881.0,13.24,Unchecked,20.0
1207,7.074192352297393,1839.9181251151592,1000.607214462436,62818.0,0.7921489129044413,0.5894988431402909,20231117,2023-11-17 13:18:00,296.0,VMS_2,2,32686.0,14.73,Unchecked,425.0
1212,5.799500233588296,1836.5454030686983,1147.5016587651644,76398.0,,0.6187195730954363,20231117,2023-11-17 14:35:00,282.0,VMS_2,2,46378.0,20.88,Unchecked,177.0
1219,8.496083387546815,2021.4902279466544,939.8670990922584,53057.5,0.7615244155416958,0.670894600649989,20231117,2023-11-17 17:49:00,306.0,VMS_2,2,37283.0,16.52,Unchecked,271.0
1223,5.454256513859523,2268.4523877102565,1038.4894654563443,67240.0,0.7833442555476041,0.5614659393607107,20231117,2023-11-17 11:07:00,312.0,VMS_4,2,21282.0,9.82,Unchecked,
1231,6.859550498699123,2180.280946956922,973.3437584951456,58986.5,0.7828346102272727,,20231117,2023-11-17 13:43:00,185.0,VMS_1,2,25926.0,17.7,Unchecked,14.0
1233,9.622511560906366,2161.0177020112624,1004.222438151586,60313.0,0.7537997009282562,0.5838076863662314,20231117,2023-11-17 13:20:00,246.0,VMS_1,2,42736.0,20.65,Unchecked,28.0
1236,5.90255309065953,2035.3776705024616,1090.891485709898,72393.0,0.7645750750690012,0.7382284569177527,20231117,2023-11-17 14:24:00,203.0,VMS_2,2,31964.0,15.9,Unchecked,8.0
1240,7.673415077287204,1926.5982201103377,999.335136523794,61635.0,0.778130471297822,0.5502027333724192,20231117,2023-11-17 14:37:00,231.0,VMS_1,2,29540.0,18.29,Unchecked,11.0
1243,9.593221295959829,1956.280114919788,1013.9209229614208,60798.0,,0.5462084484137445,20231117,2023-11-17 12:17:00,246.0,VMS_1,2,44914.0,21.53,Unchecked,31.0
1245,9.005797827324592,2237.448215541348,1029.6610383315983,64728.0,0.7688018438332823,0.6711167855948877,20231117,2023-11-17 13:08:00,267.0,VMS_2,2,34349.0,19.55,Unchecked,20.0
1246,8.542129910399252,2049.40000419804,1033.9797974644666,68367.0,0.8025449770503843,0.6007520920412706,20231117,2023-11-17 16:40:00,248.0,VMS_2,2,36064.0,18.64,Unchecked,31.0
1258,7.301366918537287,2117.8200832705515,979.8204178980324,62323.0,0.7991805635914182,0.5576437713993766,20231117,2023-11-17 12:37:00,186.0,VMS_2,2,49566.0,23.08,Unchecked,14.0
1259,7.499762906778775,2390.552563006683,1054.6488450227787,69668.0,0.7858647532765753,0.5809243626743129,20231117,2023-11-17 12:55:00,249.0,VMS_2,2,38773.0,21.77,Unchecked,14.0
1262,7.905948141222139,2605.188165089207,1151.0407640085657,83683.0,0.793717025719908,0.4903448048463278,20231117,2023-11-17 12:18:00,112.0,VMS_4,2,44517.0,24.77,Unchecked,
1263,7.179237381376368,1968.5938185383443,899.1513703397204,50321.0,0.7849964077533,0.6047321650735483,20231117,2023-11-17 12:43:00,184.0,VMS_1,2,21070.0,12.37,Unchecked,100.0
1266,9.648162123000162,2270.937133911986,1040.2640687119283,66450.0,0.7726485888420214,0.6685402400496345,20231117,2023-11-17 16:19:00,222.0,VMS_2,2,55775.0,27.4,Unchecked,17.0
1267,9.75717169432784,,989.9625535217634,61450.0,0.7904542031184035,0.7189093400511266,20231117,2023-11-17 16:24:00,264.0,VMS_1,2,74198.0,23.4,Unchecked,14.0
1271,8.307588885442586,2763.3610160135527,1083.2762620207482,69041.0,,0.64826826938,20231117,2023-11-17 16:46:00,148.0,VMS_3,2,49466.0,26.3,Unchecked,
1273,10.718989406473677,2396.30425612729,1131.7442994522837,80355.0,0.7886115652082264,0.5036812384257684,20231117,2023-11-17 16:02:00,206.0,VMS_2,2,32276.0,15.42,Unchecked,22.0
1274,8.712164111925325,2194.426128555606,1075.2346314604056,74055.0,0.8060819966707782,0.5302508604269248,20231121,2023-11-17 21:10:00,104.0,VMS_2,2,36221.0,17.47,Unchecked,60.0
1276,6.689893352212184,1790.1060115195123,998.8462838120872,61896.0,0.7677099222108927,0.5935021352247101,20231117,2023-11-17 14:47:00,117.0,VMS_1,2,23374.0,18.04,Unchecked,28.0
1277,9.366382528005287,2175.25515262659,1057.56053326821,74327.0,,0.6156093076591754,20231117,2023-11-17 13:37:00,175.0,VMS_2,2,27071.0,14.06,Unchecked,68.0
1281,10.809306737174593,,1113.950360212944,78082.5,0.7905551882611321,0.6791947579612655,20231117,2023-11-17 11:08:00,135.0,VMS_3,2,30014.0,11.34,Unchecked,
1282,11.62805250308516,2611.719199550844,1139.8864350760143,83321.0,0.8038437266070884,0.5666758115692911,20231117,2023-11-17 12:20:00,72.0,VMS_2,2,32274.0,19.22,Unchecked,42.0
1291,9.182594708223366,2553.770065039754,1034.226009489054,65398.5,0.7674269795020702,0.5830096408586893,20231117,2023-11-17 11:21:00,125.0,VMS_3,2,22281.0,11.21,Unchecked,
1293,10.371066257228646,2468.1934590242618,1154.4427842621187,82921.5,0.779631189993796,0.5659126108498156,20231117,2023-11-17 11:28:00,166.0,VMS_3,2,44224.0,20.96,Unchecked,
1295,4.387696029291245,2272.68843959678,1004.7077195258244,63234.0,0.7944130207298074,,20231117,2023-11-17 13:07:00,141.0,VMS_4,2,38598.0,16.04,Unchecked,
1300,5.412452023920418,2330.2572208451425,1001.2138161802344,63257.0,0.7926878914915569,0.6282667336452836,20231117,2023-11-17 13:00:00,119.0,VMS_4,2,18656.0,8.99,Unchecked,
1305,,2605.360762902832,1130.773736703807,80233.0,0.7884409256769676,0.5290029582297355,20231117,2023-11-17 13:31:00,90.0,VMS_1,2,35036.0,20.87,Unchecked,48.0
1315,8.923423573090865,2566.021420818024,991.908729652601,63539.5,0.8120308383223936,0.6666132436463026,20231117,2023-11-17 11:52:00,43.0,VMS_3,2,38837.0,20.34,Unchecked,
1319,,,938.9015869776648,56274.0,0.7994922489149846,0.7454244893802175,20231117,2023-11-17 12:29:00,30.0,VMS_2,2,36700.0,16.3,Unchecked,42.0
1320,7.427132963263151,1936.0951030524584,960.159992311072,57628.5,0.7857572971677369,0.6614315158746792,20231117,2023-11-17 13:26:00,414.0,VMS_3,1,61187.0,25.08,Unchecked,
1321,9.825822331476578,2525.5281239538995,1016.3752877877214,65084.5,0.7931793697420393,0.6050618006609708,20231117,2023-11-17 14:17:00,81.0,VMS_1,2,20602.0,15.17,Unchecked,31.0
1325,,,1048.0092347159894,67908.0,0.7769634424864761,0.6965008761654394,20231117,2023-11-17 11:38:00,85.0,VMS_3,2,32223.0,14.95,Unchecked,
1329,8.077363430442233,2128.015706311872,979.335136523794,61696.0,0.8136864640661889,0.6133422274771416,20231117,2023-11-17 13:18:00,355.0,VMS_4,1,46525.0,18.24,Unchecked,
1335,7.773535829746991,2018.86059666964,973.77878733769,57474.0,0.7610978493182083,0.6213660200705358,20231117,2023-11-17 12:13:00,44.0,VMS_3,2,31756.0,18.41,Unchecked,
1354,8.580569512147036,1837.7026890020832,1059.773736703807,71676.0,0.8037109829359923,0.5217802841389529,20231117,2023-11-17 12:49:00,267.0,VMS_3,1,47713.0,20.43,Unchecked,
1359,9.091484564542524,2369.248505192783,1067.9036790187176,70047.0,0.7716817663661305,0.6615281346385958,20231117,2023-11-17 12:39:00,288.0,VMS_3,1,33873.0,18.2,Unchecked,
1360,4.319144421750336,1755.178948533544,947.9797974644666,55429.0,0.7742573626469045,0.6770094088338863,20231117,2023-11-17 15:05:00,280.0,VMS_4,1,30911.0,13.83,Unchecked,
1376,6.730490613163874,1864.772287354329,900.6660889654818,50060.0,0.7756954858666891,0.6579082526335666,20231117,2023-11-17 12:39:00,277.0,VMS_4,1,14543.0,6.26,Unchecked,
1380,6.4164021169739485,1790.706065176308,977.1721856198916,60999.0,0.8023575326081525,0.5380180682581794,20231117,2023-11-17 12:59:00,301.0,VMS_3,1,26190.0,10.81,Unchecked,
1389,7.705310935420779,2010.797160646536,1080.9919907732865,72358.0,0.7776729897012792,0.4912363515644611,20231117,2023-11-17 15:28:00,312.0,VMS_3,1,43768.0,17.62,Unchecked,
1391,5.73753416887238,1540.7118469380775,881.6538956566621,48458.0,0.7789555520376404,0.6679350145681853,20231117,2023-11-17 17:32:00,256.0,VMS_4,1,29994.0,9.71,Unchecked,
1396,7.176702312868264,2257.208723188955,1036.0803025278549,65989.0,0.7704954555426111,,20231117,2023-11-17 12:21:00,223.0,VMS_3,1,34032.0,13.97,Unchecked,
1397,6.792552660518151,1858.9731326173032,981.0386719675124,61346.5,0.8052658371840746,0.6546275445881125,20231117,2023-11-17 11:46:00,249.0,VMS_3,1,27673.0,9.23,Unchecked,
1398,8.639368915691431,2190.9292867035538,1012.4062043356596,64721.0,0.793778663031032,0.6020739085884896,20231117,2023-11-17 17:41:00,257.0,VMS_4,1,43959.0,16.46,Unchecked,
1399,8.81913498952047,2664.399867404171,979.352380466497,60268.0,0.790260150058545,0.6147544931022925,20231117,2023-11-17 14:28:00,254.0,VMS_4,1,31813.0,13.91,Unchecked,
1401,8.723852013901642,2116.651218363626,1034.607214462436,66816.0,0.7843453597200789,0.5498831493032488,20231117,2023-11-17 14:09:00,251.0,VMS_4,1,49984.0,16.1,Unchecked,
1404,6.378670685140378,1771.3546744457149,955.0716805565036,57081.0,0.7857572892087941,0.6369714380924016,20231117,2023-11-17 13:07:00,256.0,VMS_3,1,19939.0,8.98,Unchecked,
1409,4.290023394224277,1515.9835297349034,889.033621333629,44913.0,,0.6359402862773094,20231117,2023-11-17 16:40:00,180.0,VMS_4,1,25252.0,12.13,Unchecked,
1410,5.089954150877878,1769.459795270179,956.5863991822648,59145.5,0.8084515849777276,0.5063002045252785,20231117,2023-11-17 14:06:00,252.0,VMS_3,1,39585.0,16.23,Unchecked,
1412,7.003743432819738,2346.6998238416395,995.556961930742,61034.5,0.7690716219759077,0.5906154722241377,20231117,2023-11-17 13:17:00,200.0,VMS_3,1,26125.0,8.7,Unchecked,
1414,7.053924022815865,2124.9817865106324,1055.477272147525,71754.0,0.8073432009962934,0.5991237658916121,20231117,2023-11-17 12:08:00,267.0,VMS_4,1,58637.0,18.75,Unchecked,
1417,7.292307449618685,1984.767881914721,1060.208765546351,69268.5,0.7777045053447114,0.5259176243384349,20231117,2023-11-17 16:49:00,222.0,VMS_4,1,30907.0,14.61,Unchecked,
1419,7.114597938822715,2056.1752304699103,1049.6782822743016,67979.0,0.7719837129243248,,20231117,2023-11-17 13:28:00,235.0,VMS_4,1,47823.0,20.37,Unchecked,
1422,6.19182279960591,2015.9846508588405,903.210244842766,48907.0,0.7572109361368675,0.6672680618337943,20231117,2023-11-17 14:40:00,251.0,VMS_3,1,57441.0,16.43,Unchecked,
1423,6.407828217847658,1848.074834269185,893.5950211536164,49766.0,0.7845687200257748,0.5678423161417017,20231117,2023-11-17 13:48:00,195.0,VMS_4,1,26731.0,11.31,Unchecked,
1424,5.682220511137166,1669.508764446271,942.749350086167,56929.0,0.8054991635741084,0.5630908283109372,20231117,2023-11-17 14:37:00,179.0,VMS_4,1,18610.0,7.35,Unchecked,
1432,5.148753171037436,1603.7004597544983,967.9123009900694,59739.0,0.7997075419542712,0.6569387355787448,20231117,2023-11-17 13:37:00,92.0,VMS_3,1,27360.0,13.25,Unchecked,
1434,7.482313198204188,2289.446942137975,982.2640687119284,61767.0,0.8064404254263781,0.6296562461483156,20231117,2023-11-17 12:44:00,196.0,VMS_4,1,31758.0,17.6,Unchecked,
1441,7.357479636404587,1671.2272663357385,950.7529214236354,57654.5,0.8016221498604692,0.5545452460962599,20231117,2023-11-17 16:20:00,192.0,VMS_3,1,28094.0,9.03,Unchecked,
1442,6.474833213168152,1923.53943090883,921.269119345812,53168.0,0.7879477120911564,0.6477117603334809,20231117,2023-11-17 14:44:00,165.0,VMS_4,1,38905.0,15.09,Unchecked,
1443,5.351960336684348,1892.196630653848,890.2468247692254,48770.0,0.7752820140068949,0.6256119739565453,20231117,2023-11-17 16:15:00,113.0,VMS_4,1,33346.0,14.82,Unchecked,
1456,4.732467649055711,1486.6950473063569,,41220.0,,0.5527265361574006,20231117,2023-11-17 16:32:00,131.0,VMS_4,1,28442.0,11.75,Unchecked,
1457,6.517052698698664,1789.249391115139,992.7199128346442,63076.5,0.8005837084841979,0.6386474220949228,20231117,2023-11-17 14:53:00,38.0,VMS_4,1,40496.0,18.75,Unchecked,
1458,6.610390978104677,1807.1311545691285,905.7041481883564,53667.5,0.8158112822724878,0.6404198834187755,20231117,2023-11-17 13:58:00,52.0,VMS_3,1,28255.0,11.96,Unchecked,
1460,4.8173025438542005,1558.0259751294911,862.2813126546316,45980.0,0.7775993142094696,0.7051021805277757,20231117,2023-11-17 11:51:00,107.0,VMS_4,1,30519.0,11.72,Unchecked,
1461,7.019527976222569,1861.3274979731725,946.3731957466682,57783.0,0.8118055328607156,0.6242116382754153,20231117,2023-11-17 12:31:00,74.0,VMS_4,1,38789.0,16.47,Unchecked,
1462,6.869172035429136,1723.208782028671,1039.2935059634513,69959.0,0.8124320091026942,0.6398094605976321,20231117,2023-11-17 13:47:00,17.0,VMS_3,1,40456.0,16.28,Unchecked,
1463,9.107660652598293,2274.6389546233786,1072.4356415871823,72912.0,0.7951467625483588,0.695644846574122,20231117,2023-11-17 14:17:00,72.0,VMS_3,1,45887.0,24.39,Unchecked,
1470,5.929043477180597,1657.4394541307695,904.1097397793778,51449.5,0.7885202419289125,0.5999892587676503,20231117,2023-11-17 14:58:00,39.0,VMS_3,1,34250.0,12.03,Unchecked,
1471,6.294603396527675,1686.4986858546586,934.9503602129438,54972.0,0.7903353057152868,0.5403551992561858,20231117,2023-11-17 16:12:00,44.0,VMS_3,1,36251.0,16.91,Unchecked,
1472,5.409745830801635,1868.9911614447144,868.1391770309006,46529.0,0.777872999929237,0.6615252948497514,20231117,2023-11-17 12:28:00,60.0,VMS_3,1,43148.0,11.97,Unchecked,
1473,4.63862899643794,1784.0600257705692,915.8376618407356,51252.0,0.7809845370796452,0.6762032949129826,20231117,2023-11-17 10:57:00,21.0,VMS_3,1,36700.0,16.73,Unchecked,
1475,4.9393834280148265,2097.881261369784,1111.0458146424487,77189.0,0.790328357418377,0.5907851424495532,20231117,2023-11-17 16:27:00,39.0,VMS_3,1,38585.0,19.68,Unchecked,
1476,6.06212893091732,1960.320424817482,961.7199128346442,59162.0,0.8013565833991694,0.591614084095664,20231117,2023-11-17 17:14:00,33.0,VMS_4,1,33649.0,10.78,Unchecked,
1478,6.4747229834615,1772.0864590338151,886.4112549695428,49977.5,0.8008849584919924,0.5947596719489445,20231117,2023-11-17 16:03:00,72.0,VMS_3,1,34768.0,13.6,Unchecked,
1479,8.585355487803957,2238.588510278362,1055.494516090228,62501.0,,0.6440573444146158,20231117,2023-11-17 17:22:00,4.0,VMS_3,1,35887.0,10.92,Unchecked,
1483,6.213984506234864,1826.227345238812,995.4219689819474,60956.0,0.7794803847905577,0.5930784092534211,20231117,2023-11-17 16:35:00,23.0,VMS_3,1,34966.0,16.26,Unchecked,
1486,5.378144444039693,1964.898449750988,949.0006127446378,55237.0,0.7709659839381908,0.6254775352906555,20231117,2023-11-17 12:53:00,64.0,VMS_4,1,32670.0,12.5,Unchecked,
1487,8.376259576512549,1788.6712567540892,1033.56053326821,70514.5,,,20231117,2023-11-17 12:03:00,25.0,VMS_3,1,30714.0,13.78,Unchecked,
1495,5.7830342848173135,1910.238055931828,946.414826307011,56875.0,0.7985052750676824,0.6007463444429904,20231117,2023-11-17 11:00:00,21.0,VMS_4,1,36166.0,12.34,Unchecked,
1501,7.486283867160635,1688.992494400512,836.7665940288701,46026.0,,,20231117,2023-11-17 17:30:00,21.0,VMS_3,1,41757.0,16.75,Unchecked,
1504,5.5906574290461855,2040.123938446432,939.7371567773472,54411.0,0.7750911616588368,0.6479203600205379,20231117,2023-11-17 16:57:00,12.0,VMS_3,1,33600.0,3.69,Unchecked,
