cow,farmname,robotside,filename,directory,date,time,size,computer
1171,laufenberg,left,1171_20231117_170904.bag,videos_2,20231117,17:09:22,2149508737,guilherme
1171,laufenberg,left,1171_20231117_170924.bag,videos_2,20231117,17:09:42,2060440148,guilherme
1173,laufenberg,left,1173_20231117_174946.bag,videos_2,20231117,17:50:02,1921913340,guilherme
1177,laufenberg,left,1177_20231117_171845.bag,videos_2,20231117,17:19:00,1826087806,guilherme
1192,laufenberg,left,1192_20231117_135119.bag,videos_2,20231117,13:51:52,3894384480,guilherme
1200,laufenberg,left,1200_20231117_161152.bag,videos_2,20231117,16:12:08,1748997770,guilherme
1212,laufenberg,left,1212_20231117_143536.bag,videos_2,20231117,14:35:58,2507639460,guilherme
1219,laufenberg,left,1219_20231117_175155.bag,videos_2,20231117,17:52:22,2342762128,guilherme
1231,laufenberg,left,1231_20231117_134357.bag,videos_2,20231117,13:44:22,2527790500,guilherme
1233,laufenberg,left,1233_20231117_132057.bag,videos_2,20231117,13:21:46,5748608605,guilherme
1240,laufenberg,left,1240_20231117_143755.bag,videos_2,20231117,14:38:16,2379868228,guilherme
1243,laufenberg,left,1243_20231117_121712.bag,videos_2,20231117,12:17:32,2197107981,guilherme
1246,laufenberg,left,1246_20231117_164243.bag,videos_2,20231117,16:42:54,1389641180,guilherme
1263,laufenberg,left,1263_20231117_124403.bag,videos_2,20231117,12:44:24,2411811036,guilherme
1266,laufenberg,left,1266_20231117_162000.bag,videos_2,20231117,16:20:14,1542595385,guilherme
1267,laufenberg,left,1267_20231117_162510.bag,videos_2,20231117,16:25:26,1807658122,guilherme
1273,laufenberg,left,1273_20231117_160411.bag,videos_2,20231117,16:04:24,1530616820,guilherme
1276,laufenberg,left,1276_20231117_144729.bag,videos_2,20231117,14:47:48,2209401502,guilherme
1277,laufenberg,left,1277_20231117_133850.bag,videos_2,20231117,13:39:18,3270274001,guilherme
1279,laufenberg,left,1279_20231117_161747.bag,videos_2,20231117,16:18:00,1577305177,guilherme
1305,laufenberg,left,1305_20231117_133315.bag,videos_2,20231117,13:33:34,2262849682,guilherme
1314,laufenberg,left,1314_20231117_174109.bag,videos_2,20231117,17:41:24,1892737562,guilherme
1321,laufenberg,left,1321_20231117_141734.bag,videos_2,20231117,14:17:58,2874977432,guilherme
1391,laufenberg,left,1391_20231117_173355.bag,videos_2,20231117,17:34:08,1605255134,guilherme
1398,laufenberg,left,1398_20231117_174158.bag,videos_2,20231117,17:42:16,2176229557,guilherme
1501,laufenberg,left,1501_20231117_173317.bag,videos_2,20231117,17:33:32,1613240836,guilherme
627,laufenberg,left,627_20231117_165940.bag,videos_2,20231117,17:00:22,3723942237,guilherme
723,laufenberg,left,723_20231117_175039.bag,videos_2,20231117,17:50:54,1788923592,guilherme
729,laufenberg,left,729_20231117_112927.bag,videos_2,20231117,11:29:44,1984574488,guilherme
736,laufenberg,left,736_20231117_152813.bag,videos_2,20231117,15:28:38,3003974335,guilherme
738,laufenberg,left,738_20231117_104922.bag,videos_2,20231117,10:52:46,22522758655,guilherme
778,laufenberg,left,778_20231117_140227.bag,videos_2,20231117,14:02:50,2623424255,guilherme
785,laufenberg,left,785_20231117_125124.bag,videos_2,20231117,12:52:10,3899807561,guilherme
807,laufenberg,left,807_20231117_175347.bag,videos_2,20231117,17:54:32,3891234407,guilherme
808,laufenberg,left,808_20231117_173436.bag,videos_2,20231117,17:35:00,2216033154,guilherme
837,laufenberg,left,837_20231117_165123.bag,videos_2,20231117,16:51:50,3083835871,guilherme
842,laufenberg,left,842_20231117_174638.bag,videos_2,20231117,17:46:54,1695862294,guilherme
856,laufenberg,left,856_20231117_152520.bag,videos_2,20231117,15:25:36,1875540319,guilherme
861,laufenberg,left,861_20231117_122436.bag,videos_2,20231117,12:24:58,2470477934,guilherme
868,laufenberg,left,868_20231117_142436.bag,videos_2,20231117,14:25:00,2540177981,guilherme
915,laufenberg,left,915_20231117_123346.bag,videos_2,20231117,12:34:26,4795543083,guilherme
