cow,filename,udder_ecc,udder_circ,lf_ecc,rf_ecc,lb_ecc,rb_ecc,lf_circ,rf_circ,lb_circ,rb_circ
1003,1003_20231117_163646_frame_120,0.5974215357778406,0.7783485725500083,0.6905797621917593,0.5518480028253586,0.6587810101723033,0.7274349969156046,3.4638850513422226e-05,1.175492742294195e-05,2.3165345029837077e-05,3.4865843288886216e-05
1003,1003_20231117_163646_frame_121,0.6221933320321054,0.7815599899821412,0.6944112823176537,0.5549676462678189,0.6770502765585213,0.7702759182066214,3.495843276164466e-05,1.163460505570204e-05,2.225167845019555e-05,3.2290350609932116e-05
1003,1003_20231117_163646_frame_122,0.6063516569346052,0.7631395730480042,0.7113695140847303,0.5765437460934123,0.7012950895659862,0.6945342603475053,3.7848273642092825e-05,1.1636483574790134e-05,2.2257523668590008e-05,3.507039849914634e-05
1003,1003_20231117_163646_frame_123,0.6083941655464067,0.7482910788573549,0.6645707870775512,0.5837872781040734,0.7043086984082401,0.6974444014620508,3.94441479392601e-05,1.163380996318935e-05,2.1941531696666515e-05,3.514079642754162e-05
1003,1003_20231117_163646_frame_124,0.6131861323357016,0.750245933199857,0.6853021111597528,0.5560137546809082,0.6824251160409441,0.7252775200963415,3.934746185056192e-05,1.2124036066101863e-05,2.1968204221694355e-05,3.4559671243456705e-05
1003,1003_20231117_163646_frame_125,0.5924113443328479,0.7867644261819468,0.704529287807127,0.564059067537712,0.6025858725997676,0.7355946909793005,3.474133151213203e-05,1.1768384343590074e-05,2.3490357727737434e-05,3.2965646358740877e-05
1003,1003_20231117_163646_frame_126,0.6128420044264647,0.7631916348185016,0.6820509994536692,0.5696927880845735,0.683312937903191,0.7265331784104655,3.624902553782757e-05,1.2133462585870996e-05,2.294347881176285e-05,3.301293398153953e-05
1003,1003_20231117_163646_frame_127,0.5999973013238209,0.774009432050615,0.6650742836055135,0.5687798065963122,0.633061900603959,0.7348973307553597,3.687615624586541e-05,1.2008488128258467e-05,2.2496579973960875e-05,3.326403755323502e-05
1003,1003_20231117_163646_frame_128,0.6014233460024896,0.7893014312766635,0.724108588240707,0.5737915559168661,0.6151859189993502,0.7339007711000454,3.743680516378232e-05,1.1905182246472615e-05,2.3374232637316593e-05,3.220751707488284e-05
1003,1003_20231117_163646_frame_129,0.6152061203948046,0.7762137419284888,0.7244517312873777,0.5642518542863173,0.6764942740102153,0.7353189393822182,3.791555565819346e-05,1.1836526610273815e-05,2.2583057363364493e-05,3.154529416322547e-05
1003,1003_20231117_163646_frame_131,0.5862290459125145,0.7725271743316168,0.6940043806626348,0.5433689744503036,0.6333328762260904,0.7164719585848185,3.7461804462364114e-05,1.2147330006246504e-05,2.3235446819579068e-05,3.512690584877314e-05
1003,1003_20231117_163646_frame_132,0.6037847456798577,0.7716748044257361,0.6797402128370291,0.5551652107801721,0.6369621152032966,0.7332543366220583,3.619182067675114e-05,1.1890082333554846e-05,2.2401529150677324e-05,3.600011192688371e-05
1003,1003_20231117_163646_frame_133,0.6231621845669818,0.7909729216180721,0.7151626279353753,0.5890050836352001,0.6895428134024808,0.7381642363315781,3.6197620826618635e-05,1.1544369868811607e-05,2.2285391151248006e-05,3.203202544226315e-05
1003,1003_20231117_163646_frame_134,0.630709571686125,0.7936242600267659,0.7098266180081073,0.5634000397436391,0.6885787324320741,0.7618977765097177,3.583195358705167e-05,1.1730784505473944e-05,2.240345242964347e-05,3.070695290115065e-05
1003,1003_20231117_163646_frame_135,0.6195336848304078,0.7742685215280631,0.6784577437175314,0.567611790762292,0.7057033426277358,0.7453841085075605,3.590316601045421e-05,1.1847151233921914e-05,2.2515141542390574e-05,3.2956420211324695e-05
1003,1003_20231117_163646_frame_136,0.6194245959348502,0.7862449469501057,0.6741052196104959,0.5634624352234482,0.678601149051677,0.7648195427803203,3.569242449907164e-05,1.1904867360322556e-05,2.2602542155367216e-05,3.144339975740953e-05
1003,1003_20231117_163646_frame_137,0.6181935027600292,0.7760486281895522,0.6676546156472926,0.5606936505249612,0.6899831000804398,0.7417981324248817,3.6289670060319815e-05,1.1745393177154688e-05,2.169376155787598e-05,3.303707107466075e-05
1003,1003_20231117_163646_frame_138,0.6040292753197032,0.7848946552845857,0.6749744115390733,0.5760528888596693,0.6593741584846775,0.7056821011168275,3.52564395622811e-05,1.145578823205195e-05,2.219684874563375e-05,3.338315220015331e-05
1003,1003_20231117_163646_frame_139,0.6228741091192173,0.7808520893105186,0.6865366856445431,0.558307794523894,0.6767628627730113,0.7627202456109602,3.540205943927766e-05,1.1993772693275746e-05,2.3503621004691828e-05,3.153300497334281e-05
1003,1003_20231117_163646_frame_14,0.6185748548111208,0.7674348812583508,0.6850375029446023,0.5838694539783796,0.5791724934925595,0.7727437202961537,3.7502755053205615e-05,1.154374485936624e-05,2.2713653026894767e-05,3.635664553855571e-05
1003,1003_20231117_163646_frame_140,0.6077915364562131,0.7827078664005366,0.6714027950446776,0.5526399209969437,0.6580887348760547,0.7490999162972857,3.5409139071770484e-05,1.1826579257328722e-05,2.2197589434121667e-05,3.082957647392025e-05
