                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.46489,                 1.0394,                0.27272,                0.98442,                0.99989,                      1,                  0.995,                0.91756,                0.99989,                      1,                  0.995,                0.84406,                0.41765,                 1.0485,                0.20767,                 1.0024,              0.0008912,              0.0008912,              0.0008912
                     59,                0.47404,                 1.0388,                 0.2751,                0.99151,                0.99991,                      1,                  0.995,                0.91361,                0.99991,                      1,                  0.995,                0.83632,                0.42988,                 1.1062,                0.22088,                 1.0115,              0.0008714,              0.0008714,              0.0008714
                     60,                0.46902,                 1.0366,                0.27009,                0.98117,                0.99992,                      1,                  0.995,                0.91952,                0.99992,                      1,                  0.995,                0.84498,                 0.4323,                 1.0826,                0.21372,                 1.0168,              0.0008516,              0.0008516,              0.0008516
                     61,                0.46462,                 1.0265,                0.26879,                0.98153,                0.99981,                      1,                  0.995,                0.90668,                0.99981,                      1,                  0.995,                0.83733,                0.43256,                 1.1245,                0.21436,                 1.0198,              0.0008318,              0.0008318,              0.0008318
                     62,                0.46519,                 1.0263,                 0.2703,                0.98205,                 0.9999,                      1,                  0.995,                0.91108,                 0.9999,                      1,                  0.995,                0.83923,                 0.4439,                 1.0603,                0.21516,                 1.0379,               0.000812,               0.000812,               0.000812
                     63,                 0.4605,                 1.0381,                0.26683,                0.97796,                 0.9999,                      1,                  0.995,                0.91285,                 0.9999,                      1,                  0.995,                0.84358,                 0.4255,                 1.0559,                0.20756,                 1.0151,              0.0007922,              0.0007922,              0.0007922
                     64,                0.45674,                 1.0095,                0.26407,                0.97578,                0.99991,                      1,                  0.995,                0.91325,                0.99991,                      1,                  0.995,                0.85071,                0.42851,                 1.0306,                 0.2173,                 1.0097,              0.0007724,              0.0007724,              0.0007724
                     65,                0.45482,                 1.0023,                0.26295,                0.97603,                0.99992,                      1,                  0.995,                0.92267,                0.99992,                      1,                  0.995,                0.84908,                0.42908,                 1.0521,                0.21085,                 1.0228,              0.0007526,              0.0007526,              0.0007526
                     66,                0.45369,                 1.0186,                0.25893,                 0.9735,                0.99992,                      1,                  0.995,                0.92096,                0.99992,                      1,                  0.995,                0.85714,                0.43314,                 1.0483,                 0.2267,                 1.0194,              0.0007328,              0.0007328,              0.0007328
                     67,                0.44616,                 1.0141,                0.25769,                0.97025,                 0.9999,                      1,                  0.995,                0.91315,                 0.9999,                      1,                  0.995,                0.84887,                0.43059,                 1.0812,                0.21283,                 1.0125,               0.000713,               0.000713,               0.000713
                     68,                0.44711,                 1.0113,                0.25362,                0.97201,                0.99992,                      1,                  0.995,                0.91513,                0.99992,                      1,                  0.995,                0.84705,                0.42921,                 1.0543,                0.20778,                 1.0182,              0.0006932,              0.0006932,              0.0006932
                     69,                0.45528,                0.98757,                0.25539,                0.97542,                0.99992,                      1,                  0.995,                  0.916,                0.99992,                      1,                  0.995,                 0.8511,                0.44012,                 1.0444,                0.21361,                 1.0356,              0.0006734,              0.0006734,              0.0006734
                     70,                0.45181,                0.99668,                0.25699,                0.97222,                0.99992,                      1,                  0.995,                 0.9156,                0.99992,                      1,                  0.995,                0.84734,                0.44602,                 1.0717,                0.20922,                 1.0449,              0.0006536,              0.0006536,              0.0006536
                     71,                0.44504,                 1.0009,                0.25404,                0.96812,                0.99991,                      1,                  0.995,                0.91184,                0.99991,                      1,                  0.995,                 0.8483,                0.44705,                 1.0655,                0.20336,                 1.0466,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.4516,                0.99936,                0.25495,                0.97856,                0.99992,                      1,                  0.995,                0.90907,                0.99992,                      1,                  0.995,                0.85367,                0.43809,                 1.0499,                0.20369,                 1.0328,               0.000614,               0.000614,               0.000614
                     73,                0.44459,                0.99799,                0.25487,                0.96995,                0.99991,                      1,                  0.995,                0.90357,                0.99991,                      1,                  0.995,                0.84464,                0.43502,                 1.0593,                0.20873,                 1.0271,              0.0005942,              0.0005942,              0.0005942
                     74,                0.43043,                0.95537,                0.24063,                0.95787,                0.99985,                      1,                  0.995,                0.91127,                0.99985,                      1,                  0.995,                0.84969,                0.43138,                 1.0518,                0.20341,                 1.0239,              0.0005744,              0.0005744,              0.0005744
                     75,                0.44646,                0.97873,                0.25019,                0.97175,                0.99992,                      1,                  0.995,                0.90649,                0.99992,                      1,                  0.995,                0.83983,                0.44345,                  1.074,                0.20813,                 1.0356,              0.0005546,              0.0005546,              0.0005546
                     76,                0.43914,                0.96797,                0.24571,                0.96414,                0.99992,                      1,                  0.995,                0.91157,                0.99992,                      1,                  0.995,                0.84169,                0.42406,                 1.0731,                0.19959,                 1.0097,              0.0005348,              0.0005348,              0.0005348
                     77,                0.43825,                0.97726,                0.24868,                0.95961,                0.99992,                      1,                  0.995,                0.91173,                0.99992,                      1,                  0.995,                0.84529,                0.42021,                  1.069,                0.20069,                 1.0131,               0.000515,               0.000515,               0.000515
                     78,                0.43785,                0.97327,                 0.2417,                0.96073,                0.99992,                      1,                  0.995,                0.91382,                0.99992,                      1,                  0.995,                0.85286,                0.42758,                 1.0409,                0.20158,                 1.0183,              0.0004952,              0.0004952,              0.0004952
                     79,                0.43792,                0.96418,                0.24516,                 0.9637,                0.99991,                      1,                  0.995,                0.91386,                0.99991,                      1,                  0.995,                0.85369,                0.42198,                 1.0335,                0.19605,                 1.0304,              0.0004754,              0.0004754,              0.0004754
                     80,                0.44373,                 0.9779,                0.24386,                0.96742,                0.99992,                      1,                  0.995,                  0.913,                0.99992,                      1,                  0.995,                 0.8471,                0.43011,                   1.06,                0.20037,                 1.0237,              0.0004556,              0.0004556,              0.0004556
                     81,                0.44375,                0.97235,                0.24895,                 0.9676,                0.99992,                      1,                  0.995,                0.92168,                0.99992,                      1,                  0.995,                0.84519,                0.41185,                 1.0607,                0.20989,                0.98091,              0.0004358,              0.0004358,              0.0004358
                     82,                0.42947,                 0.9513,                0.24376,                0.96298,                0.99992,                      1,                  0.995,                0.91874,                0.99992,                      1,                  0.995,                0.84842,                0.43167,                 1.0645,                0.19829,                 1.0349,               0.000416,               0.000416,               0.000416
                     83,                0.42744,                0.96954,                 0.2389,                0.96125,                0.99992,                      1,                  0.995,                0.91056,                0.99992,                      1,                  0.995,                0.84333,                0.42457,                 1.0645,                0.21356,                 1.0185,              0.0003962,              0.0003962,              0.0003962
                     84,                0.43511,                0.96768,                0.23524,                0.96326,                0.99992,                      1,                  0.995,                0.90961,                0.99992,                      1,                  0.995,                0.84628,                0.42466,                 1.0595,                0.19803,                 1.0236,              0.0003764,              0.0003764,              0.0003764
                     85,                0.42746,                0.96285,                0.23591,                0.95484,                0.99992,                      1,                  0.995,                0.91701,                0.99992,                      1,                  0.995,                0.84069,                0.40811,                 1.1144,                0.19152,                0.99782,              0.0003566,              0.0003566,              0.0003566
                     86,                0.42218,                0.94119,                0.23287,                0.95993,                0.99993,                      1,                  0.995,                0.91536,                0.99993,                      1,                  0.995,                0.84634,                0.42396,                 1.0352,                0.20138,                 1.0152,              0.0003368,              0.0003368,              0.0003368
                     87,                0.43002,                0.95292,                0.23918,                0.95797,                0.99992,                      1,                  0.995,                0.91247,                0.99992,                      1,                  0.995,                0.84363,                0.42893,                 1.0646,                0.20147,                 1.0293,               0.000317,               0.000317,               0.000317
                     88,                0.41849,                0.93522,                0.23307,                0.95379,                0.99992,                      1,                  0.995,                0.91079,                0.99992,                      1,                  0.995,                0.84515,                 0.4357,                 1.0574,                  0.199,                  1.051,              0.0002972,              0.0002972,              0.0002972
                     89,                0.42238,                  0.929,                0.23505,                0.95739,                0.99992,                      1,                  0.995,                0.91432,                0.99992,                      1,                  0.995,                0.83795,                0.42089,                 1.0692,                0.19643,                 1.0137,              0.0002774,              0.0002774,              0.0002774
                     90,                0.42625,                0.92414,                0.23485,                0.95996,                0.99992,                      1,                  0.995,                0.90091,                0.99992,                      1,                  0.995,                 0.8437,                0.43719,                 1.0771,                0.19324,                 1.0438,              0.0002576,              0.0002576,              0.0002576
                     91,                0.32669,                0.76221,                0.18237,                0.91739,                 0.9999,                      1,                  0.995,                0.90476,                 0.9999,                      1,                  0.995,                0.84164,                 0.4419,                 1.0733,                0.20172,                 1.0464,              0.0002378,              0.0002378,              0.0002378
                     92,                0.31836,                0.73901,                0.17578,                0.91429,                0.99991,                      1,                  0.995,                0.91233,                0.99991,                      1,                  0.995,                0.84647,                0.42853,                 1.0547,                0.19828,                  1.027,               0.000218,               0.000218,               0.000218
                     93,                0.32019,                0.73078,                0.17359,                 0.9189,                0.99992,                      1,                  0.995,                0.92131,                0.99992,                      1,                  0.995,                0.85466,                0.41808,                 1.0468,                  0.198,                 1.0061,              0.0001982,              0.0001982,              0.0001982
                     94,                0.31618,                 0.7322,                0.17225,                0.91072,                0.99992,                      1,                  0.995,                0.92379,                0.99992,                      1,                  0.995,                0.85511,                0.41761,                 1.0472,                0.19384,                 1.0144,              0.0001784,              0.0001784,              0.0001784
                     95,                0.31296,                0.72973,                0.16945,                0.90578,                0.99992,                      1,                  0.995,                0.92088,                0.99992,                      1,                  0.995,                0.85295,                0.42511,                   1.08,                0.20161,                 1.0181,              0.0001586,              0.0001586,              0.0001586
                     96,                0.31323,                0.71508,                0.16839,                0.91404,                0.99993,                      1,                  0.995,                0.92816,                0.99993,                      1,                  0.995,                0.85758,                0.39868,                 1.0561,                0.18573,                0.98953,              0.0001388,              0.0001388,              0.0001388
                     97,                0.31159,                0.72161,                0.16594,                0.90916,                0.99992,                      1,                  0.995,                0.93214,                0.99992,                      1,                  0.995,                0.86014,                0.39931,                 1.0466,                0.18388,                0.99412,               0.000119,               0.000119,               0.000119
                     98,                0.30675,                0.71097,                0.16427,                 0.9074,                0.99992,                      1,                  0.995,                0.92724,                0.99992,                      1,                  0.995,                0.85464,                0.41016,                 1.0522,                 0.1866,                 1.0071,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.30832,                0.71172,                0.16414,                0.90822,                0.99993,                      1,                  0.995,                0.93012,                0.99993,                      1,                  0.995,                  0.856,                0.40123,                 1.0542,                0.18404,                0.99644,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.30419,                   0.71,                0.16156,                0.90033,                0.99992,                      1,                  0.995,                0.93261,                0.99992,                      1,                  0.995,                0.85615,                0.39847,                 1.0544,                0.18512,                0.99393,               5.96e-05,               5.96e-05,               5.96e-05
