cow,udder_vol,lf_vol,rf_vol,lb_vol,rb_vol,udder_sarea,lf_sarea,rf_sarea,lb_sarea,rb_sarea,lf_angle,rf_angle,lb_angle,rb_angle,front_eu,back_eu,right_eu,left_eu,front_gd,back_gd,right_gd,left_gd,udder_peri,udder_area,udder_circ,udder_exc,lf_peri,lf_area,lf_circ,lf_exc,rf_peri,rf_area,rf_circ,rf_exc,lb_peri,lb_area,lb_circ,lb_exc,rb_peri,rb_area,rb_circ,rb_exc,lf_len,rf_len,lb_len,rb_len
1240,7.673415077287204,3.908781827746832,2.8211216847748424,0.456336491749204,0.6057039871783532,1926.5982201103377,847.3171963937,605.2751484836148,304.05109646993174,213.03260445996756,82.77700979772598,68.46546629959693,94.68673515523056,111.11174637486629,10.163071395357052,3.795497188613448,17.224269573455274,16.947187163276485,22.886359040425063,9.63773038460826,21.094294623234603,22.317554980025832,999.335136523794,61635.0,0.778130471297822,0.5502027333724192,661.3746750430836,26963.0,1.141621420060616e-05,0.6521258725348863,574.5168106668145,17891.0,2.2615574131347308e-05,0.791580035674223,398.7350647362943,8904.0,6.239544563034898e-05,0.4529935529456431,400.7411613907041,7409.0,9.211066840658455e-05,0.7438738809920697,44.55220605339101,46.69191662617738,38.44524527846591,34.19362734057966
1243,9.593221295959829,4.514484501824641,3.2036932884189904,0.9764483976955444,0.670023046400051,1956.280114919788,841.7185831199823,610.5519992711652,352.20269435008134,211.9823552096609,75.834395469621,69.13953436185949,95.39652580380172,118.36632567386415,18.30887338639769,8.546482345061532,20.319960397676475,22.106953517970247,27.588293962315053,14.433757381702042,22.003756902703586,24.35314002254236,1013.9209229614208,60798.0,,0.5462084484137445,680.7005768508881,26643.0,1.202675083773628e-05,0.5615692460366241,576.333044482741,17451.0,2.3860107942161227e-05,0.8550281502273768,399.4863273947651,9478.0,5.692792303715543e-05,0.5326715723264681,320.8294731452727,6075.0,0.0001090409454184,0.6541773693503026,41.86865292568744,36.64926064010128,36.91836805446801,24.605196525300663
1245,9.005797827324592,3.9134625340275244,2.3021763422397643,0.8717772315506449,,2237.448215541348,872.5603194784526,560.1374597394874,289.35038445680425,542.9420198987639,93.11479334176104,70.12014220546196,70.74475726788833,117.57235247001096,10.158116249740402,6.155047449222971,20.435623274297097,21.32166256405136,24.291250110372808,14.836495015230998,24.56610195652941,26.117189346386706,1029.6610383315983,64728.0,0.7688018438332823,0.6711167855948877,641.6000717874997,24521.0,1.3421654714170718e-05,0.7191409587043616,546.7919369326617,17374.0,2.2803316866825813e-05,0.6857837888309968,392.24420971790903,8682.5,6.574437603343422e-05,0.7155521498128696,554.263022691402,13722.5,3.690925458084877e-05,0.8309182496958303,50.27761555789556,47.75724311431382,41.3551462528206,37.484744981238975
1246,8.542129910399252,2.4769546452812072,3.5536048113391137,,0.7786991570327508,2049.40000419804,496.1835000859643,817.9876517504713,534.4690036063731,243.98812434087577,68.54715807420493,79.18418113090415,98.89099335577,110.4203515840674,18.358145728309776,10.006401288826522,18.26963025524009,22.754637200117795,26.394925553440192,14.937522051602995,18.573402266008955,23.81621081665012,1033.9797974644666,68367.0,0.8025449770503843,0.6007520920412706,550.3746750430836,17578.0,2.2438429761665363e-05,0.7551051074558043,724.1858582251266,27830.0,1.1792269860109604e-05,0.7465433189581053,504.5756851698602,15369.0,2.691052772509576e-05,0.4972618929100674,362.0365799264592,7123.0,8.970191268884139e-05,0.7630706433467692,44.72523410118144,37.5812664385889,31.221639268935835,25.892696067011293
1258,7.301366918537287,3.2427790377914083,2.6914134357569957,0.5125208035751607,0.5227876039844254,2117.8200832705515,923.2715014791645,776.7745736450222,265.36273455007694,257.21852161707875,71.3907373150135,72.08200706566569,104.45149462695188,111.68187995571287,,13.206772783050384,17.8100070363366,20.69884265756073,31.142304488818382,19.831886152676155,22.141390261434708,22.641230027925374,979.8204178980325,62323.0,0.7991805635914182,0.5576437713993766,676.5589642374205,25444.0,1.328175625841833e-05,0.7388456914301162,611.064537881567,20015.0,1.9380144887402505e-05,0.8376440287102784,383.96603512485706,7803.0,7.692889495297743e-05,0.6447380328903024,373.0162876565512,6979.5,9.222855668962192e-05,0.7168633103019624,46.59048259780741,50.68448650830464,31.170022970201487,31.94543476017892
1259,7.499762906778775,3.801990453756379,2.40330631473083,0.5079749236887094,0.3615558880596334,2390.552563006683,888.5496437603681,719.7202016967988,459.02643318618186,339.2870502162752,76.95121828171791,63.42546727379397,109.41115200298192,110.60102163640984,15.57889153889671,6.107374223724035,18.872913869771743,15.370942550212453,25.974694466550304,11.76969285469458,21.658183147595118,20.13338544173441,1054.6488450227787,69668.0,0.7858647532765753,0.5809243626743129,700.4406922210657,28338.0,1.105723499876259e-05,0.6682391884518601,605.6173157302028,20645.0,1.7892072917599575e-05,0.794499578266951,448.326947828331,11303.0,4.43225163785848e-05,,406.0426765808692,8832.0,6.59881205435255e-05,0.7631004938447783,32.923747048682024,51.529960055677954,27.929086574534622,27.25175966237108
1262,7.905948141222139,3.5133687554926216,2.2940565786432585,1.2580902998950236,0.4886834499143692,2605.188165089207,857.6425679881881,972.9104860445732,359.7484360196748,519.1993305658613,,55.71008076286565,94.92220721790304,,16.83672491577778,,,,26.97183682136636,18.94961868585882,,,1151.0407640085657,83683.0,0.793717025719908,0.4903448048463278,702.2274887854693,27136.0,0.6915125122384437,0.502744258605982,746.2335854398791,33741.0,0.761409395175325,0.5802739368584046,503.8010819142765,13605.0,0.6735816051736682,0.5520001698041449,409.6467529817257,8662.0,0.6486478901022389,0.8396899988630996,50.66743705591049,40.909498689192624,,
1263,7.1792373813763675,2.537990649017887,2.4001653730929613,1.185567827377763,0.9519130159565545,1968.5938185383445,665.5728643500966,523.0224590463954,529.01151310514,325.41300628890195,63.476919226507704,77.00128503024764,127.25854591529412,91.40767438071454,14.018192997491468,7.124046847123083,14.631002163228358,13.870450808665211,25.362512104124164,13.728249692296517,17.07221864811325,18.84146983462123,899.1513703397204,50321.0,0.7849964077533,0.6047321650735483,626.1264607118177,16370.0,2.8058525020340335e-05,0.6395771452274387,510.4041122946064,14815.0,2.8924220648346392e-05,0.7622095937096098,443.1700935788387,11323.5,4.3735724907857713e-05,0.6163012098719582,388.33252147247765,7443.0,8.850185633568064e-05,0.8316401065788688,43.498288290114346,38.46538941730411,35.72119591853292,28.60460993887373
1266,9.648162123000162,4.600043563154406,1.8774842031255845,,0.6880559095351686,2270.937133911986,948.8930978634003,528.4430074641651,561.0046146432663,264.8238719324061,68.38941967955458,,105.2662818573252,91.4652501658937,12.339388984595438,6.559355341204521,23.832961820859037,26.453766612572583,23.106325418284236,13.706524431619204,25.6053198385641,28.130283400944258,1040.2640687119283,66450.0,0.7726485888420214,0.6685402400496345,689.2624996811387,26690.5,1.227610915462118e-05,,541.7416844009674,14196.0,3.3617256691193e-05,0.8328606474950231,527.7558800164657,17455.5,2.1790344039327598e-05,0.4714203526058617,375.5279579551077,7560.5,8.34309154533222e-05,0.8343499213715618,47.62876295276312,41.01889610037786,41.746030055371676,33.34875554374264
1267,9.75717169432784,5.517550169286636,2.4055846661707,1.1131409471064988,0.2773613122721973,,1010.6954414531452,772.7907379354275,569.3824329015466,549.3655434418033,70.36690084000249,85.53454099982174,121.82107576008391,82.76106365935642,15.330188257043028,12.122147786232947,15.152145069606766,13.097717346275225,30.61545194017893,22.778529652555484,21.388530738891543,26.42990638512274,989.9625535217634,61450.0,0.7904542031184035,0.7189093400511266,659.8549057834388,25402.0,1.3005288701710304e-05,0.6178529752020455,542.6173157302028,16749.0,2.4365533740705653e-05,0.7544733772933846,518.0914498161482,9703.0,6.458844780401395e-05,0.5435269572209017,409.01933598375615,8538.0,7.105810134010914e-05,0.7089955248058444,34.09188142487572,,42.57433336416394,30.389882703203966
1271,8.307588885442586,3.613571867489626,2.9274295821727843,0.6384101877122949,0.6653834458878514,2763.3610160135527,1072.360202605033,637.4448089075177,475.7959575550204,534.8355535372785,74.80256380338277,70.76677060018557,91.76804919549966,121.0294047660004,19.05275965443654,12.609339493930458,14.675940750212636,18.82194934230272,33.8987549542076,19.707969193053128,26.292169447667305,26.60669141135194,1083.2762620207482,69041.0,,0.64826826938,689.5290039756343,29648.0,0.7819452754911598,0.6750421315577109,520.9310242291876,15686.0,0.7329970022558329,0.7337172256160626,482.1848122046001,11960.0,0.6572152302464731,0.5696501046306468,489.75945135393374,11016.0,0.583025404971144,0.809280560665279,51.36936337446263,54.28928751653661,35.6053179174644,41.07814585992346
1273,10.718989406473677,,3.613931317900756,0.9885283517086064,0.628613558935705,2396.30425612729,924.7339133043274,814.1738843033614,394.79911113404097,396.33527478767456,76.41206975071192,68.99238272540755,99.58081107972,114.2109454450478,20.335745810705667,11.82482389480191,20.199845018952757,19.209688626489758,31.90529830278861,19.454153876161907,26.25834175761138,26.929994865735637,1131.7442994522837,80355.0,0.7886115652082264,0.5036812384257684,895.5716805565035,34088.0,9.644957830039514e-06,0.6416331607885142,660.0731598529186,25017.0,1.3273554632210649e-05,0.7702968630386279,427.6467529817257,11215.0,4.278764771996347e-05,,420.90054095713816,9514.0,5.8489786668634905e-05,0.6815300615443273,56.9654541333951,,43.3436126755267,46.72968738564629
1274,8.712164111925325,4.5630942139857495,3.0633120769000963,0.7747415149325163,0.6587291809080609,2194.426128555606,924.1910045101014,615.1793353463175,457.1463947680363,301.2740541711088,52.7990032621452,68.46805673634502,,100.49716809089756,19.85831331744049,8.310927683118901,14.819269240655188,15.569752862858069,31.498994244844525,16.723469081290464,22.515485624052875,21.483601722577905,1075.2346314604056,74055.0,0.8060819966707782,0.5302508604269248,796.5706345359769,30668.0,1.0598421142571663e-05,0.5741119857326453,588.8721497261419,20347.0,1.7820529735051566e-05,0.7532328624101633,497.5401512639276,13865.0,3.274603609188999e-05,0.6009209739194401,436.167568261897,8314.0,8.039493982380713e-05,0.87449952335868,56.39505473121516,58.37093213746447,39.59210751612576,44.06273912968962
1276,6.689893352212184,3.013548583761538,1.8981887717751964,0.7461215227763616,0.5854492207651353,1790.1060115195123,761.9847268372341,562.2252396634857,286.3234587962116,238.79195263699484,84.55253596367973,70.27667738590347,86.95567969533758,113.71013684247599,10.257194803209144,5.400137813467619,17.51302751008099,17.268221539207275,21.30726804771188,12.613735673711275,20.206944694749158,21.184023030560713,998.8462838120872,61896.0,0.7677099222108927,0.5935021352247101,655.0401512639276,24942.0,1.3349920793342265e-05,0.7019661402043339,586.3122292025696,18778.5,2.174515567121095e-05,0.8153806969954708,378.6370849898476,8570.0,6.465107521811542e-05,0.44279734127196213,391.2497833620557,8619.0,6.838108868776027e-05,0.6711431538491888,51.474985135460244,48.51788318844038,34.86770104153378,33.69720612933727
1277,9.366382528005287,5.305095866185088,,0.5961964736514007,,2175.25515262659,1033.7924623331603,,239.01532596383683,,91.74353564714689,,,,15.998080161126383,,12.73909377172854,,28.022150940498346,20.00011469427826,19.899770316359916,,1057.56053326821,74327.0,,0.6156093076591754,858.1330803764907,39001.0,7.089457816997678e-06,,,,,,371.1198410471445,7438.0,8.42969166231559e-05,0.7409311221449123,,,,,,,,
1281,10.809306737174591,5.792757384147334,4.00292924815554,0.7619210636115156,0.6398968663571034,,1238.8846386677312,869.3495023299807,567.2206049786757,362.2127728411349,70.29343064229677,78.26435240362818,114.85782428651171,95.92160561644198,14.89476405483718,7.990030066067041,17.10733073992599,16.197584172984246,28.391630734389466,16.36141905340913,24.40604067538566,24.072103413926477,1113.950360212944,78082.5,0.7905551882611321,0.6791947579612655,861.0026150513163,34738.5,0.5903962051448371,0.7782103980069415,688.4284989122459,25409.5,0.6731681261595691,0.8666056270738771,450.0812588140068,10214.5,0.6426377011499109,0.507667777789957,368.0990257669732,7214.5,0.6826845377200056,0.5950042994603549,50.3926960630954,55.38695972456587,29.11867575962505,35.27016076791345
1282,11.62805250308516,4.505333581091534,3.4797706885102726,1.1969219387393752,,2611.719199550844,912.7245592483116,699.8800526693369,298.06437179647287,,77.3218947972809,60.89726881936146,73.76890983846148,,,13.315608016808312,17.803996818900607,23.322600871212217,,,23.94996274904802,24.7576919541061,1139.8864350760143,83321.0,0.8038437266070884,0.5666758115692911,721.0437226013956,31186.0,9.38070937100704e-06,0.6704048935123613,614.842712474619,23060.0,1.4574997710430745e-05,0.5916554611593504,453.1553749530773,8161.0,8.506243674356372e-05,0.7705648338453196,,,,,36.571569486972535,,34.50472470817803,
1291,9.182594708223366,4.212558255512598,3.2562275830204532,0.6565323557316127,0.6564122653636058,2553.770065039754,1076.7967686303577,704.1814946048423,411.01304244079296,295.07087385922637,71.32866804066316,78.66524206166918,97.9005593485025,105.0038254409506,12.007652852260549,4.416842893156512,17.94535029030739,20.17488296306935,28.762500288720403,11.669483654635549,24.856654960527365,26.81257112301265,1034.226009489054,65398.5,0.7674269795020702,0.5830096408586893,677.1503243191939,27948.5,0.7738637930118171,0.6843009903009558,573.2919369326615,18986.0,0.7368922023855382,0.7478657288284007,464.72949109214767,10049.0,0.5948271112068328,0.6348414621927375,387.2172977833279,7846.0,0.6630467707333072,0.7423777093349093,,56.03486656547793,18.644594887859483,37.27906499290775
1293,10.371066257228646,4.9130424145079585,4.435251232614405,0.5245652898392015,0.7209701305514542,2468.1934590242618,1022.5796669963559,733.4307160759092,397.7673299472124,377.06139734185933,,53.342395296583824,126.06120060099684,128.40936888311353,,6.355048431701405,17.590219666218374,19.11459018472678,32.38445943577183,13.951793477900754,22.837268963949874,22.24060183811862,1154.4427842621187,82921.5,0.779631189993796,0.5659126108498156,781.7544007200504,35354.0,0.7265132474784208,0.5918406050027643,622.1711395993652,23292.5,0.7571710704047395,0.7200883761489141,498.3832970144351,12382.5,0.6278594175617325,0.7151324447457486,497.99904371384815,10995.5,0.559104099363863,0.8448296752184719,45.47732773519381,51.3933326051646,37.664124459156035,41.843460789827986
1295,4.387696029291245,,,0.7087663529115654,1.0624196100906744,2272.68843959678,,,,484.45668397164826,,69.53667628940083,109.18569273430978,81.28177226807067,,6.491649134448927,19.16839082204713,18.935346894233284,,18.18169461084534,22.270538043709863,26.711724526111137,1004.7077195258244,63234.0,0.7944130207298074,,,,,,,,0.6424654877932889,0.7427877524501196,,,0.6358238576173528,0.6902123204919814,510.9777054234136,14315.0,0.6867513130806878,0.845493107162765,,,51.48664336640375,45.13813244131968
1300,5.412452023920418,1.9868487445748246,1.8518929683515495,0.8002632240649363,0.6035818268400286,2330.2572208451425,716.7545656241417,519.8164029640106,646.9226662630588,465.39626735737204,65.95396759286264,61.38530037290312,114.36371265341938,118.7664707141136,15.175002033915746,4.290913450181281,14.94379957738572,16.71353436746891,26.14500995588169,13.84510659580113,20.995134593746013,21.712356314908618,1001.2138161802343,63257.0,0.7926878914915569,0.6282667336452836,586.7741699796952,20984.0,0.7644074946804877,0.5667237928605401,517.9401692108024,16564.0,0.7762571217439582,0.641709561227295,555.7294910921478,14986.5,0.608070458156508,0.7459975249331638,448.1828098979217,10265.5,0.6425453237904997,0.839661613850293,44.335326372182685,47.16536773998383,43.01392583255553,42.79474971546134
1305,,1.091895255119929,,,0.8442411785351841,2605.360762902832,900.1463413269157,745.1730903615678,,246.5588621422531,,82.68995413688332,,,17.612310296817625,11.643150364330973,,8.66943070910954,24.621539411528545,19.44432580566089,,,1130.7737367038067,80233.0,0.7884409256769676,0.5290029582297355,756.3279938488577,31277.0,9.653381368440575e-06,0.5994790268493944,662.0701115257136,24450.5,1.3989730792590877e-05,0.7758187659390006,,,,,329.06349186104046,4830.0,0.00017595481743854998,0.7598145180951597,,32.44169165317063,,
1315,8.923423573090865,3.835486911370994,2.087819040298484,,1.0676983831704154,2566.021420818024,1008.2908027684131,479.0011570753919,,530.5442789167704,73.00790059727431,59.71852877145636,112.89619484107979,113.51131907423036,13.760264890515398,6.890095024984496,13.055863896101364,11.278365471940912,26.636933014111904,15.491803532114517,20.178866057268486,19.516215622793812,991.908729652601,63539.5,0.8120308383223936,0.6666132436463026,638.1822868876584,23263.5,0.7093326365358694,,470.14065632731587,11627.5,0.6659076639571013,0.8122198989299502,578.5168106668145,17446.5,0.647388084437423,0.6880003640522618,493.0076656851997,10744.0,0.5528589066346891,0.8801742128540083,57.576313953440774,51.47913953545141,20.904965663630716,38.39654047844229
1319,,,,,,,,870.0638355513249,,,,64.22434702176453,75.89101358179,120.6640975805104,13.19753665338512,3.951612759836826,21.962752145884416,16.5958572610792,,,,,938.9015869776648,56274.0,0.7994922489149846,0.7454244893802175,687.5290039756343,24463.0,1.4700504427698248e-05,0.732312192452442,,,9.204112860721176e-05,0.7178347836358693,514.906637611548,14784.0,3.0967122994938856e-05,0.5283807344994764,426.1076477383248,9732.0,5.786986943338496e-05,0.7650546226207139,29.195666117882283,,46.53201935420694,34.743870411624464
1320,7.427132963263151,3.0732051260509126,2.5605246223315974,0.7559878516613758,0.9108035273383335,1936.0951030524582,674.1587632931062,569.080299640203,438.54320590000395,314.301487913718,71.85887646724936,74.65060930245022,114.89837396810982,97.64775257755389,15.00156777542849,7.713936912827576,17.376979112697953,17.553851761249113,25.612891172670018,14.522349967319826,19.99405966035816,20.637751934566047,960.1599923110721,57628.5,0.7857572971677369,0.6614315158746792,583.0995487772366,19731.5,0.7342186662091292,0.6747760251632741,504.87214972614186,15310.5,0.7569144710313617,0.6925613758426391,509.98075375061853,12432.5,0.598827732056535,0.6866687595733825,431.4959953866432,9668.5,0.6599937694440059,0.7473908711996275,43.55788309812124,46.33647529809468,33.420388960835155,32.87985296502252
1321,9.825822331476578,3.076836337164659,1.8599321555578672,,,2525.5281239538995,731.9125389593173,589.4604339699594,612.3099246442059,,,74.56322436816205,71.02302870774851,104.31000901954923,14.659298448099111,,14.325409744342753,14.087269776642515,31.2055908550703,20.943990485367394,24.641851402356444,25.777086875901787,1016.3752877877214,65084.5,0.7931793697420393,0.6050618006609708,530.4528855298854,17906.5,2.061035616327206e-05,0.5201028422459418,470.95541084682714,13717.5,3.1302239934443623e-05,0.5285478532611639,523.2604973744603,16413.0,2.429630359863801e-05,0.5645343225819675,590.9087296526011,16425.0,2.7272457525583394e-05,0.7811729635254514,,,45.10424480890904,
1325,,,,,,,,,,,,51.39953453120373,85.32464667780017,,15.803867843767009,,,10.635044230076772,,,,,1048.0092347159894,67908.0,0.7769634424864761,0.6965008761654394,,33283.0,0.4626385899238286,0.7097550984249598,507.5512985522207,15108.0,0.7369821236900372,,387.0365799264592,8722.0,0.7316812392994446,0.6675925848878704,429.906637611548,10221.0,0.6949522274506761,0.671374725025468,,,,
1329,8.077363430442233,3.397717819329708,3.1149377133686205,0.9087144609151496,0.8460257250936776,2128.015706311872,744.1896254367754,733.8293839574026,364.8594845769747,395.0919167895401,66.65897859478738,73.21391380313507,117.5010195127752,99.5784893949349,20.3165377842243,9.579661562382483,20.729800238753587,21.904924901006805,28.3437950717842,17.457461792866212,23.85421098273884,23.73088607590462,979.335136523794,61696.0,0.8136864640661889,0.6133422274771416,641.4224022578361,21084.0,0.6178684654992745,0.7511708152303325,595.8193718775061,20713.0,0.7380141230905699,0.7675288335959781,407.7056274847714,8739.0,0.6566995292842086,0.6409423706166474,466.0437226013957,9733.0,0.5809464299174083,0.6363093379919036,44.70328106791688,48.421025200616846,36.07442416265757,36.12303369529483
1335,7.773535829746991,2.795969078681916,2.659489684505152,0.7788263522276444,0.981499574511937,2018.8605966696396,721.9228142701511,544.1130054698889,365.1912318928832,384.1300647138178,75.6697797905797,79.10519527049853,98.51803562287571,105.75249122328349,12.99262265070815,5.96512248740579,21.308286516667515,23.295611076641272,22.282404675215297,12.900013423030208,23.420346478255222,22.944858152177027,973.77878733769,57474.0,0.7610978493182083,0.6213660200705358,588.3330444827409,21962.0,0.7913948224094407,0.633859553508518,492.0609665440989,14196.0,0.7372142296022315,0.7047805477613317,439.3208511739212,10317.0,0.6768887865641373,0.6109422759829165,435.33304448274095,10515.0,0.7019495095667048,0.7155940179940301,40.43090088571045,45.40113510862665,32.75970782506192,33.06494519208814
1354,8.580569512147036,4.138164740135553,3.229613758500914,0.7074515046213014,,1837.7026890020832,793.3023189976427,666.7902088270939,317.1573145335988,,58.76588707512647,70.09730645762829,88.18915757754776,,21.592721743760833,12.798390295455759,10.834889168327635,22.449675741105004,28.900206579500555,16.736847141646642,,22.306442521712974,1059.7737367038067,71676.0,0.8037109829359923,0.5217802841389529,766.0498192558055,32927.0,0.7054500176269646,0.7644742773454762,653.226965775206,23679.0,0.7025742511271117,0.7400637271275324,415.32085117392114,10320.0,0.7548984998866137,0.5730892382716126,,,,,42.9161861327279,42.56980996551451,34.767290948154894,
