cow,farmname,robotside,filename,directory,date,time,size,computer,begin_time,end_time,yield,device_name,conductivity_lf,conductivity_lr,conductivity_rf,conductivity_rr,mean_flow_lf,mean_flow_lr,mean_flow_rf,mean_flow_rr,yield_lf,yield_lr,yield_rf,yield_rr,occ(*1000_cells/ml),peak_flow_lf,peak_flow_lr,peak_flow_rf,peak_flow_rr,interval,quarters_num,num_videos,birth_date,age_in_days,last_calving_date,days_in_milk,lactation_number,total_kick-offs_last_7d,peak_occ_current_lactation,latest_lifetime_daily_yield,total_lifetime_yield,type,avg._occ_last_9_milkings,avg._flow_last_7_days,avg._yield_per_milking_last_7d,total_yield_in_lactation,peak_yield,peak_yield_day,peak_occ_current_lactation.1
807,laufenberg,left,807_20231117_175347.bag,videos_2,20231117,17:54:32,3891234407,guilherme,11/17/2023 5:53 PM,6:03 PM,45.39,VMS_1,4.31,4.35,4.27,4.42,3.04,3.31,1.72,2.65,10.16,15.85,11.62,7.76,200.0,3.97,4.63,2.51,3.44,09:26:16,4.0,1,7/9/2017,2323,8/25/2023,85.0,5,,4542.0,56.8,131982.0,Tank,255.0,9.67,37.12,9279.46,,,4542.0
808,laufenberg,left,808_20231117_173436.bag,videos_2,20231117,17:35:00,2216033154,guilherme,11/17/2023 5:33 PM,5:44 PM,49.6,VMS_1,4.38,4.35,4.34,4.42,1.85,2.65,1.32,2.78,10.71,15.08,7.67,16.14,20.0,2.91,3.7,1.98,3.84,08:41:01,4.0,1,7/10/2017,2322,10/19/2023,30.0,5,,885.0,48.0,111462.0,Tank,42.0,8.56,35.55,3246.4,,,885.0
837,laufenberg,left,837_20231117_165123.bag,videos_2,20231117,16:51:50,3083835871,guilherme,11/17/2023 4:50 PM,4:58 PM,43.78,VMS_2,4.38,4.33,,4.13,3.57,2.78,,3.97,14.88,12.35,,16.56,11.0,4.76,3.57,,5.29,10:39:36,3.0,1,8/22/2017,2279,3/8/2023,255.0,4,,320.0,50.7,115432.0,Tank,18.0,9.61,37.27,26867.56,125.56,63.0,320.0
842,laufenberg,left,842_20231117_174638.bag,videos_2,20231117,17:46:54,1695862294,guilherme,11/17/2023 5:46 PM,5:52 PM,39.18,VMS_1,,4.28,4.34,4.16,,5.56,4.1,4.63,,13.78,9.24,16.16,162.0,,7.28,5.42,5.95,09:04:45,3.0,1,8/31/2017,2270,4/12/2023,220.0,4,,1814.0,49.1,111453.0,Tank,181.0,13.44,41.33,23619.96,132.69,73.0,1814.0
856,laufenberg,left,856_20231117_152520.bag,videos_2,20231117,15:25:36,1875540319,guilherme,11/17/2023 3:24 PM,3:32 PM,43.08,VMS_1,3.98,4.08,4.07,4.29,2.65,3.44,3.31,2.91,10.6,13.07,10.01,9.39,402.0,3.57,4.76,5.16,4.23,07:38:55,4.0,1,10/10/2017,2230,7/20/2023,121.0,4,,5345.0,43.6,97313.0,Tank,634.0,11.75,41.14,14404.39,135.11,58.0,5345.0
861,laufenberg,left,861_20231117_122436.bag,videos_2,20231117,12:24:58,2470477934,guilherme,11/17/2023 12:24 PM,12:32 PM,41.4,VMS_1,4.25,4.29,4.79,4.36,2.65,3.04,2.65,3.57,6.83,11.62,11.71,11.24,57.0,3.7,4.37,3.57,4.76,09:43:08,4.0,1,10/18/2017,2222,6/8/2023,163.0,4,1.0,977.0,43.6,96845.0,Tank,58.0,10.05,28.89,18027.07,131.23,47.0,977.0
868,laufenberg,left,868_20231117_142436.bag,videos_2,20231117,14:25:00,2540177981,guilherme,11/17/2023 2:24 PM,2:29 PM,23.9,VMS_1,4.25,4.22,4.33,4.16,3.7,3.17,3.31,2.91,6.11,6.19,4.78,6.81,34.0,4.89,3.97,4.63,4.1,04:16:23,4.0,1,11/3/2017,2206,9/18/2023,61.0,4,,317.0,49.6,109444.0,Tank,40.0,13.06,43.06,7497.11,,,317.0
915,laufenberg,left,915_20231117_123346.bag,videos_2,20231117,12:34:26,4795543083,guilherme,11/17/2023 12:33 PM,12:43 PM,47.02,VMS_1,4.85,4.96,4.93,5.3,2.25,3.57,2.91,3.31,8.47,14.44,9.61,14.51,402.0,3.31,5.03,3.57,4.5,10:36:52,4.0,1,2/5/2018,2112,3/16/2023,247.0,4,,4551.0,50.5,106682.0,Tank,616.0,11.72,38.6,28706.06,140.71,55.0,4551.0
922,laufenberg,left,922_20231117_141213.bag,videos_2,20231117,14:12:34,2395836032,guilherme,11/17/2023 2:12 PM,2:17 PM,35.85,VMS_2,4.32,4.46,4.38,4.26,3.84,3.7,3.17,3.7,8.93,8.33,9.15,9.44,11.0,5.16,4.89,4.37,4.89,07:53:59,4.0,1,2/13/2018,2104,5/20/2023,182.0,4,1.0,1131.0,50.8,106889.0,Tank,20.0,13.76,43.7,19811.65,127.5,40.0,1131.0
924,laufenberg,left,924_20231117_131101.bag,videos_2,20231117,13:11:26,2560142172,guilherme,11/17/2023 1:10 PM,1:19 PM,41.76,VMS_1,4.18,4.42,4.13,4.16,2.38,2.38,2.91,2.12,13.34,7.23,13.51,7.67,254.0,3.31,3.31,3.7,3.04,07:49:30,4.0,1,2/18/2018,2099,8/21/2023,89.0,4,,2511.0,53.2,111600.0,Tank,185.0,9.77,37.25,11144.94,,,2511.0
929,laufenberg,left,929_20231117_151607.bag,videos_2,20231117,15:16:24,2084394122,guilherme,11/17/2023 3:15 PM,3:24 PM,46.08,VMS_2,4.45,4.53,4.85,4.6,2.51,1.98,2.91,2.51,13.03,10.69,10.23,12.13,782.0,3.57,2.91,4.1,3.44,09:00:13,4.0,1,3/5/2018,2084,11/3/2023,15.0,4,2.0,1560.0,48.7,101412.0,Tank,796.0,9.42,39.41,1469.91,,,1560.0
948,laufenberg,left,948_20231117_135427.bag,videos_2,20231117,13:54:38,1273848501,guilherme,11/17/2023 1:53 PM,2:01 PM,47.38,VMS_2,,4.73,4.78,4.73,,3.7,4.23,3.57,,14.42,15.21,17.75,11.0,,4.63,5.69,4.76,13:51:06,3.0,1,4/6/2018,2052,9/6/2022,438.0,3,,288.0,53.9,110641.0,Tank,19.0,10.86,35.06,45251.08,139.05,47.0,288.0
975,laufenberg,left,975_20231117_173846.bag,videos_2,20231117,17:39:08,2532818625,guilherme,11/17/2023 5:38 PM,5:48 PM,51.96,VMS_2,4.52,4.66,4.71,4.6,1.59,2.38,2.51,2.25,9.68,16.31,10.63,15.34,262.0,2.78,3.57,3.7,3.44,10:22:15,4.0,1,5/14/2018,2014,6/23/2023,148.0,4,,1482.0,50.9,102507.0,Tank,151.0,8.95,41.26,19457.25,152.44,42.0,1482.0
978,laufenberg,left,978_20231117_170827.bag,videos_2,20231117,17:08:44,1864790449,guilherme,11/17/2023 5:07 PM,5:15 PM,30.23,VMS_2,4.11,4.26,4.18,4.26,1.59,2.25,2.12,1.85,7.5,7.72,7.1,7.91,31.0,2.25,3.04,2.91,2.51,07:24:01,4.0,1,5/20/2018,2008,3/29/2023,234.0,3,,951.0,46.8,94042.0,Tank,31.0,7.62,31.48,25578.92,132.35,34.0,951.0
981,laufenberg,left,981_20231117_133039.bag,videos_2,20231117,13:31:02,2776386344,guilherme,11/17/2023 1:30 PM,1:36 PM,35.41,VMS_2,4.31,4.19,4.32,4.4,3.57,3.7,2.78,3.17,9.11,9.33,9.04,7.94,11.0,4.63,4.76,3.84,3.97,07:25:50,4.0,1,5/25/2018,2003,10/24/2023,25.0,4,2.0,94.0,40.0,80048.0,Tank,25.0,12.22,31.16,2302.49,,,94.0
1023,laufenberg,left,1023_20231117_124217.bag,videos_3,20231117,12:42:40,2538080096,lab,11/17/2023 12:46 PM,12:55 PM,36.97,VMS_2,4.51,4.32,4.38,4.41,2.51,2.51,1.85,2.38,8.93,9.3,9.3,9.44,14.0,3.57,3.84,2.65,3.17,07:04:02,4.0,1,7/13/2018,1954,7/23/2023,118.0,4,,277.0,54.1,105652.0,Tank,16.0,10.15,45.53,14879.79,153.68,64.0,277.0
1061,laufenberg,left,1061_20231117_120831.bag,videos_3,20231117,12:08:56,2831195622,lab,11/17/2023 12:10 PM,12:20 PM,38.87,VMS_2,4.71,,4.66,4.54,2.65,,3.57,3.17,10.63,,12.28,15.96,20.0,3.97,,5.56,4.23,11:01:04,3.0,1,10/18/2018,1857,2/6/2023,285.0,3,,280.0,45.5,84425.0,Tank,29.0,8.98,41.21,32298.24,129.48,136.0,280.0
1081,laufenberg,left,1081_20231117_112916.bag,videos_3,20231117,11:29:56,4575010918,lab,11/17/2023 11:33 AM,11:43 AM,54.26,VMS_2,4.99,4.79,4.73,4.8,2.78,2.25,3.04,2.78,12.17,14.07,14.24,13.78,237.0,4.1,3.04,4.1,4.1,10:45:04,4.0,1,12/6/2018,1808,3/4/2023,259.0,3,,905.0,50.9,92004.0,Tank,113.0,11.25,43.33,31236.66,137.6,38.0,905.0
1102,laufenberg,left,1102_20231117_114115.bag,videos_3,20231117,11:41:32,1791811749,lab,11/17/2023 11:45 AM,11:52 AM,50.11,VMS_2,4.52,4.45,4.66,4.33,3.17,2.91,3.44,2.78,14.15,12.52,10.85,12.59,20.0,4.37,3.7,4.76,3.57,11:25:47,4.0,1,1/27/2019,1756,4/19/2023,213.0,3,,200.0,50.8,89280.0,Tank,28.0,11.9,38.61,24485.16,135.55,93.0,200.0
1198,laufenberg,left,1198_20231117_115055.bag,videos_3,20231117,11:51:26,3406363225,lab,11/17/2023 11:54 AM,12:01 PM,39.0,VMS_2,4.31,4.18,4.19,4.13,3.57,3.84,2.25,3.7,6.83,12.59,7.52,12.06,45.0,4.63,5.03,3.17,4.76,12:04:31,4.0,1,12/23/2019,1426,1/12/2023,310.0,2,1.0,405.0,31.5,44885.0,Tank,56.0,12.18,29.73,26546.59,103.74,31.0,405.0
1207,laufenberg,left,1207_20231117_131640.bag,videos_3,20231117,13:17:10,763412914,lab,11/17/2023 1:18 PM,1:29 PM,32.47,VMS_2,4.92,5.0,4.92,5.8,2.65,2.51,2.38,1.98,8.49,9.13,11.11,3.75,425.0,4.23,3.44,3.31,2.78,09:04:46,4.0,1,1/3/2020,1415,1/25/2023,297.0,2,,1597.0,31.5,44641.0,Tank,441.0,9.08,31.41,28468.76,111.08,46.0,1597.0
1245,laufenberg,left,1245_20231117_130459.bag,videos_3,20231117,13:05:34,4000658516,lab,11/17/2023 1:08 PM,1:16 PM,43.1,VMS_2,4.64,4.59,4.92,4.67,4.23,4.23,3.31,3.17,9.61,11.57,8.4,13.51,20.0,6.22,5.42,4.76,4.37,09:32:29,4.0,1,3/23/2020,1335,2/23/2023,268.0,2,1.0,605.0,38.6,51515.0,Tank,88.0,13.78,42.9,28339.06,114.7,145.0,605.0
1258,laufenberg,left,1258_20231117_123257.bag,videos_3,20231117,12:34:18,9656435272,lab,11/17/2023 12:37 PM,12:45 PM,50.88,VMS_2,3.97,3.99,4.05,4.07,3.57,3.84,3.84,4.1,12.61,12.13,14.24,11.9,14.0,4.76,5.03,5.69,5.95,13:46:06,4.0,1,4/28/2020,1299,5/15/2023,187.0,2,1.0,394.0,30.2,39201.0,Tank,18.0,13.12,36.45,17304.79,105.03,126.0,394.0
1259,laufenberg,left,1259_20231117_125126.bag,videos_3,20231117,12:51:52,2887850461,lab,11/17/2023 12:55 PM,1:04 PM,47.99,VMS_2,4.44,4.46,4.52,4.47,2.38,2.51,2.65,1.98,11.46,13.03,12.46,11.05,14.0,3.44,3.31,3.84,2.78,10:46:13,4.0,1,5/1/2020,1296,3/13/2023,250.0,2,,394.0,36.1,46726.0,Tank,20.0,9.78,39.7,25893.63,116.98,102.0,394.0
1274,laufenberg,left,1274_20231117_105454.bag,videos_3,20231121,21:12:50,3491345791,lab,11/17/2023 9:10 PM,9:17 PM,38.51,VMS_2,4.18,4.13,4.12,4.12,1.85,3.04,1.85,2.78,7.12,11.84,8.05,11.51,60.0,2.78,4.1,2.65,3.7,10:03:41,4.0,1,6/2/2020,1264,8/5/2023,105.0,2,,294.0,21.8,27609.0,Tank,47.0,9.76,32.61,9655.81,104.25,47.0,294.0
1282,laufenberg,left,1282_20231117_121652.bag,videos_3,20231117,12:17:14,2518137301,lab,11/17/2023 12:20 PM,12:28 PM,42.37,VMS_2,4.58,,4.59,4.4,3.44,,3.57,3.97,12.85,,11.88,17.64,42.0,4.63,,4.76,5.42,08:57:54,3.0,1,6/17/2020,1249,9/6/2023,73.0,2,,1062.0,30.0,37432.0,Tank,65.0,10.71,36.09,8039.29,,,1062.0
1319,laufenberg,left,1319_20231117_122525.bag,videos_3,20231117,12:25:54,3337742803,lab,11/17/2023 12:29 PM,12:36 PM,35.94,VMS_2,4.64,4.32,,4.34,3.04,4.37,,3.84,5.09,16.78,,14.07,42.0,3.97,5.69,,5.03,10:11:40,3.0,1,10/2/2020,1142,10/18/2023,31.0,2,1.0,2388.0,21.9,24953.0,Tank,55.0,11.26,26.51,1752.08,,,2388.0
921,laufenberg,left,921_20231117_104851.bag,videos_3,20231117,10:49:00,913513850,lab,11/17/2023 10:51 AM,10:58 AM,23.72,VMS_2,4.38,4.65,4.39,4.47,2.25,1.72,2.78,3.04,5.09,4.43,6.37,7.83,148.0,3.17,2.91,4.1,4.1,07:48:20,4.0,1,2/11/2018,2106,3/13/2023,250.0,4,,3680.0,48.3,101620.0,Tank,185.0,10.25,26.97,27162.63,130.16,48.0,3680.0
962,laufenberg,left,962_20231117_111426.bag,videos_3,20231117,11:14:44,1989201859,lab,11/17/2023 11:18 AM,11:29 AM,51.17,VMS_2,5.05,5.05,5.6,5.13,2.12,2.51,2.38,1.98,10.12,16.64,9.19,15.21,380.0,2.91,3.31,3.31,3.44,09:49:41,4.0,1,4/26/2018,2032,7/22/2023,119.0,4,3.0,3497.0,42.9,87250.0,Tank,351.0,9.13,40.98,14303.18,142.51,52.0,3497.0
935,laufenberg,left,935_20231117_115800.bag,videos_3,20231117,11:58:34,3849093180,lab,11/17/2023 12:02 PM,12:09 PM,44.38,VMS_2,4.58,4.52,,4.54,3.44,3.04,,3.17,15.32,15.1,,13.96,11.0,5.03,3.84,,4.5,09:52:17,3.0,1,3/17/2018,2072,8/18/2023,92.0,4,,180.0,46.8,97063.0,Tank,15.0,9.27,35.37,8571.24,,,180.0
1380,laufenberg,right,1380_20231117_130025.bag,videos_1,20231117,13:01:12,5469666155,maria,11/17/2023 12:59 PM,1:06 PM,23.83,VMS_3,4.03,3.84,4.08,4.13,2.91,2.91,2.91,2.65,5.4,7.47,4.67,6.28,,3.57,3.7,4.1,3.44,07:16:30,4.0,1,2/11/2021,1010,1/20/2023,302.0,1,,162.0,21.9,22075.0,Tank,,12.08,24.08,22075.42,81.14,109.0,162.0
1170,laufenberg,left,1170_20231117_170106.bag,videos_2,20231117,17:01:24,2144290019,guilherme,11/17/2023 4:59 PM,5:07 PM,32.54,VMS_2,4.45,4.33,4.51,4.33,2.91,3.31,3.7,3.17,5.73,7.45,8.07,11.29,160.0,3.97,4.63,4.89,3.97,10:36:59,4.0,1,8/27/2019,1544,11/3/2023,15.0,3,,457.0,32.4,50035.0,Tank,268.0,13.19,32.1,767.83,,,457.0
627,laufenberg,left,627_20231117_165940.bag,videos_2,20231117,17:00:22,3723942237,guilherme,11/17/2023 4:58 PM,5:06 PM,47.42,VMS_1,4.38,4.28,4.34,4.22,3.44,4.37,3.84,4.37,8.66,13.91,10.34,14.51,300.0,5.03,5.69,5.03,6.08,09:04:00,4.0,1,4/17/2016,2771,8/17/2023,93.0,6,,1425.0,52.9,146679.0,Tank,257.0,16.77,52.31,10674.56,,,1425.0
