                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.68923,                0.38871,                0.19975,                0.49677,                 1.2397,                0.97616,                0.98146,                0.98613,                0.90161,                0.99197,                0.99735,                0.98846,                0.84775,                 0.4813,                0.51656,                0.02298,                0.32541,                 1.0307,              0.0009902,              0.0009902,              0.0009902
                     54,                0.69279,                0.37225,                0.19713,                0.51936,                 1.2474,                0.98058,                0.98146,                 0.9831,                 0.8906,                0.99514,                0.99603,                0.99273,                0.87388,                0.48858,                0.51933,                0.02932,                0.32085,                 1.0211,              0.0009704,              0.0009704,              0.0009704
                     55,                 0.6891,                0.37927,                0.20039,                0.52743,                 1.2377,                0.97818,                0.98146,                0.98463,                0.85735,                0.99402,                0.99735,                0.99359,                0.87785,                0.61276,                  0.519,                0.04302,                0.38362,                 1.1514,              0.0009506,              0.0009506,              0.0009506
                     56,                0.67914,                0.36984,                0.19497,                0.49948,                 1.2336,                0.98143,                0.98146,                0.98426,                0.93341,                0.99336,                0.99338,                0.98991,                0.82573,                0.35672,                0.60326,                0.01608,                0.27969,                0.92349,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.6835,                0.35757,                0.19472,                0.51074,                 1.2399,                0.98135,                0.98146,                0.98517,                0.91787,                0.99856,                0.99868,                0.99399,                0.90173,                0.38778,                  0.427,                0.01567,                 0.2864,                0.95103,               0.000911,               0.000911,               0.000911
                     58,                0.68033,                0.35342,                0.19914,                0.50177,                   1.23,                0.98015,                0.98122,                0.98671,                0.88211,                0.99868,                0.99976,                  0.995,                0.91452,                0.50586,                 0.3872,                0.06629,                0.30597,                 1.0051,              0.0008912,              0.0008912,              0.0008912
                     59,                0.68259,                0.34953,                0.19384,                0.50077,                 1.2434,                0.62764,                0.82384,                0.82546,                0.59389,                0.63143,                0.83051,                0.82739,                0.47127,                 1.1124,                 1.5165,                0.15151,                0.98156,                 1.8161,              0.0008714,              0.0008714,              0.0008714
                     60,                0.68216,                0.36288,                0.19421,                0.50384,                 1.2386,                0.97859,                0.98146,                0.98335,                0.88589,                0.95863,                0.96159,                0.94794,                 0.8091,                0.50149,                0.76634,                0.05554,                0.33453,                 1.0498,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.6727,                 0.3326,                0.19262,                0.50253,                 1.2313,                0.98135,                0.98146,                0.98388,                 0.9158,                0.98665,                0.98675,                 0.9831,                0.86551,                0.37554,                0.51172,                 0.0316,                0.27113,                0.91797,              0.0008318,              0.0008318,              0.0008318
                     62,                0.66628,                0.32794,                0.19695,                0.49573,                 1.2273,                0.97915,                0.98146,                0.98304,                0.88212,                0.98975,                0.99205,                0.99327,                0.80093,                0.50777,                0.73009,                0.03082,                0.32761,                 1.0523,               0.000812,               0.000812,               0.000812
                     63,                0.65834,                0.32398,                0.19052,                0.49175,                 1.2213,                0.93187,                0.84503,                0.91571,                0.78738,                0.93131,                0.86358,                0.96623,                0.78309,                0.72433,                0.88695,                0.09544,                0.50785,                 1.2474,              0.0007922,              0.0007922,              0.0007922
                     64,                0.65019,                 0.3158,                0.18959,                0.48654,                 1.2126,                0.98122,                0.98146,                0.97966,                0.87475,                0.99844,                0.99868,                0.99452,                0.81103,                0.49202,                0.66298,                0.01933,                0.28107,                0.98727,              0.0007724,              0.0007724,              0.0007724
                     65,                0.63875,                0.34443,                0.18412,                0.47796,                 1.2007,                0.98137,                0.98146,                0.97834,                0.89317,                0.98931,                 0.9894,                0.98945,                 0.7884,                0.45003,                0.63149,                 0.0311,                0.28732,                0.96901,              0.0007526,              0.0007526,              0.0007526
                     66,                0.64442,                0.33203,                0.18738,                0.48078,                 1.2054,                0.95515,                0.98146,                0.97747,                0.89175,                0.97323,                      1,                0.98879,                0.91169,                0.43125,                0.41949,                0.02563,                 0.3249,                0.97993,              0.0007328,              0.0007328,              0.0007328
                     67,                0.65164,                 0.3122,                0.19188,                 0.4858,                  1.212,                0.98135,                0.98146,                0.97768,                 0.9086,                 0.9946,                 0.9947,                0.99371,                0.81866,                0.39636,                0.61238,                0.01301,                0.28607,                0.93792,               0.000713,               0.000713,               0.000713
                     68,                0.64522,                0.31351,                0.19235,                 0.4825,                 1.2104,                0.98109,                0.98146,                 0.9759,                0.90041,                0.98006,                0.98146,                0.98401,                0.88231,                0.39949,                0.46972,                0.04022,                0.29206,                0.95693,              0.0006932,              0.0006932,              0.0006932
                     69,                0.64137,                0.30625,                0.18681,                0.48117,                 1.2109,                0.91786,                0.97351,                0.97273,                 0.8131,                 0.9227,                0.97881,                0.98092,                0.85232,                0.63765,                0.57642,                 0.0711,                0.42897,                 1.1566,              0.0006734,              0.0006734,              0.0006734
                     70,                0.63334,                0.28763,                0.18527,                 0.4755,                 1.2014,                0.98137,                0.98146,                0.97847,                0.90494,                0.99594,                0.99603,                0.99134,                0.88829,                0.39794,                0.39849,                0.02465,                0.26653,                0.93179,              0.0006536,              0.0006536,              0.0006536
                     71,                0.63347,                0.31085,                0.18419,                0.47206,                 1.1963,                0.98136,                0.98146,                0.97989,                0.91841,                 0.9999,                      1,                  0.995,                 0.9093,                0.36444,                0.36145,                0.02413,                 0.2706,                0.91445,              0.0006338,              0.0006338,              0.0006338
                     72,                0.64288,                 0.2955,                0.18796,                0.47838,                 1.2036,                0.85562,                0.91053,                0.93837,                0.76974,                0.86924,                0.88051,                0.94148,                0.57696,                0.73078,                 1.3805,                0.08431,                0.57755,                 1.2821,               0.000614,               0.000614,               0.000614
                     73,                 0.6342,                 0.2889,                0.18245,                0.47338,                 1.2028,                0.50187,                0.65387,                 0.5593,                0.21439,                 0.6516,                0.75894,                0.76759,                0.42352,                 2.4784,                 1.9851,                0.13896,                 1.4431,                 3.2516,              0.0005942,              0.0005942,              0.0005942
