animal_number,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
970,3641.17,4326.03,4769.17,3237.11,28816.13346613546
971,579.72,1008.59,1098.73,515.88,29331.42156862745
973,4351.28,3788.53,3573.59,3981.48,32205.709236031926
975,3135.96,5395.54,5055.23,3372.94,29736.49128540305
978,3643.12,3581.02,3805.71,3381.46,26871.103157894737
981,264.86,276.81,233.98,268.74,27662.736842105263
986,1474.68,1523.29,1818.64,1332.66,32445.333333333332
1003,0.0,1934.75,2070.71,2039.76,22568.529137529138
1023,1666.72,1636.48,1743.94,1702.22,28775.031791907513
1039,3991.37,4213.63,4682.8,3279.27,37318.453623188405
1040,2145.3,3993.14,4375.21,2308.83,33223.733944954125
1057,2093.67,3730.7400000000002,4089.16,4185.96,39121.2108183079
1058,4603.56,5889.43,5503.99,5288.96,29293.324345757337
1061,4306.97,0.0,5646.94,4696.32,30406.45351758794
1067,2967.61,3669.11,3200.37,2798.23,27835.5923566879
1074,3802.15,5968.17,6219.16,3327.16,27177.992132867133
1081,4266.76,4794.01,4617.52,4485.43,34578.25462962963
1084,3077.1,3904.32,3897.34,2868.38,32296.14671814672
1089,4321.78,5102.4,5538.69,4505.46,32156.46800382044
1091,4400.97,5569.62,6801.91,3701.17,33867.64238410596
1092,3071.95,3468.86,3150.57,3400.14,32785.734463276836
1098,3396.82,4517.23,4570.04,5389.23,29365.65295887663
1100,3670.75,5450.53,5006.8,3701.44,33177.967955801105
1101,5164.52,4967.83,0.0,5392.2,26473.51946902655
1102,4171.09,3554.22,3952.74,3398.3,31439.40799031477
1116,1057.34,1573.67,1419.56,1154.97,34678.20077220077
1126,3519.21,3577.09,3404.71,2936.38,40219.99442896936
1127,4995.91,5800.09,3767.76,4902.17,33484.87163375224
1133,310.43,389.58,399.0,430.44,30363.042735042734
1139,2637.54,4211.36,4760.81,2759.95,33949.81015719468
1140,2072.96,2704.31,2844.54,2132.57,25967.40975609756
1142,4396.09,0.0,3755.88,4394.78,30833.32922318126
1144,2503.29,4714.63,4530.5,2592.86,31499.568578553615
1145,3370.39,4203.34,4109.01,4109.85,30669.303854875285
1148,3967.12,4556.22,2351.58,4778.72,25674.22336448598
1151,3458.9,4366.76,4202.78,3426.28,26492.10133060389
1153,3263.62,4252.46,4036.59,4105.68,27637.588983050846
1159,4094.28,3536.18,3595.0,4148.86,30552.029213483147
1160,165.78,173.9,174.08,170.27,25288.508196721312
1163,639.08,5864.68,5290.2,3806.48,30151.71077504726
1164,3588.31,4642.02,4530.57,4496.41,31351.58543983822
1168,929.07,1000.88,838.62,849.9,26066.52525252525
1170,59.629999999999995,83.18,117.29,88.18,41444.1724137931
1171,3799.96,3828.65,3391.21,3808.84,36487.93699731903
1172,867.04,1061.27,987.07,905.7,32870.568181818184
1173,4506.26,4467.85,4759.45,3465.15,32325.853365384617
1177,279.75,299.37,0.0,270.26,34918.44
1178,773.64,849.69,622.47,634.88,31447.99418604651
1184,25.759999999999998,37.46,33.78,28.58,38109.555555555555
1192,3883.87,4747.07,6192.47,3465.31,34124.00475737393
1197,217.44,259.6,221.82,217.15,32670.68
1198,2541.78,4068.26,3996.5,2456.65,34407.4407971864
1200,3637.46,2616.46,3448.91,3697.65,34852.04822043628
1207,2965.38,3273.33,2883.49,3791.01,32819.01170351105
1212,0.0,4473.6,4637.65,3025.68,38729.20451127819
1219,3683.96,3235.31,3485.09,3579.22,37362.71601615074
1223,3012.25,4353.41,3154.17,3553.52,24065.185920577616
1231,2635.54,2679.21,2583.69,2894.7,27644.471103327494
1232,2848.29,3633.7,3667.76,3159.07,33655.30434782609
1233,2908.7400000000002,3710.99,3796.57,3169.62,33257.2947761194
1235,4792.91,5416.35,0.0,4615.33,34180.079422382674
1236,3557.35,4370.11,4075.1,3669.47,35207.97735399285
1237,3695.55,3735.66,4135.28,3022.03,37427.876225490196
1240,4695.82,5021.51,5656.08,4543.15,25877.929325751422
1241,3836.96,5797.38,5995.74,4532.68,29217.84196891192
1243,2245.88,3010.95,2728.29,2503.25,35480.267226890755
1244,3775.3,4277.36,4722.72,3347.69,34619.96628029505
1245,3125.23,4253.91,4796.6,3145.67,36296.945500633716
1246,1658.02,4217.11,2859.49,3414.16,24544.816705336427
1252,2249.78,2259.57,2404.91,2002.75,42052.0197044335
1255,3137.81,3741.05,4277.64,3210.16,37352.50129198966
1258,1961.32,1819.74,1862.8,2205.46,36697.87586206896
1259,2928.58,3176.87,2978.55,2661.15,31819.992503748126
1261,1616.49,2302.72,2368.39,1379.1,28405.962264150945
1262,1687.63,1199.05,784.96,1810.3,31971.371237458196
1263,1725.44,2585.11,2543.45,2321.35,26288.494137353435
1264,2948.2,3428.73,2761.6,3128.99,32618.527485380117
