animal_number,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,interval_sec_mean
1453,236.01984126984127,13.228769841269841,1.8547222222222222,4.441309523809524,3.692936507936508,3.2398015873015873,2.0976190476190477,1.9752380952380952,1.7252380952380952,1.9235714285714287,100.17063492063492,30748.13888888889
1454,454.4,14.62156862745098,3.6595686274509807,3.4768627450980394,3.5943529411764708,3.89078431372549,1.228235294117647,1.239450980392157,0.9761568627450979,0.9816470588235294,103.01176470588236,34382.76470588235
1455,218.15107913669064,11.664208633093525,3.7204496402877703,3.920143884892086,4.0236151079136695,,,1.9155755395683451,2.052302158273381,2.016474820143885,82.06474820143885,34534.5
1456,274.1078431372549,10.060539215686275,2.379093137254902,2.6887990196078433,2.495,2.4976470588235293,1.366029411764706,1.1376470588235292,1.2373529411764705,1.300735294117647,97.65686274509804,27133.745098039217
1457,279.76218787158143,15.558894173602855,3.7636623067776456,3.5274791914387635,4.699048751486326,3.5687039239001193,1.7282282996432818,1.8653507728894174,1.735434007134364,1.7266587395957196,97.43162901307967,34750.379310344826
1458,217.912147505423,13.782798264642082,2.9132142857142855,4.473980477223428,4.964490238611714,4.2558568329718005,2.2254663774403474,1.95,2.415097613882863,2.1685683297180045,78.57375271149675,33050.30043383948
1460,403.7477360931436,11.450491591203104,2.4780983182406207,3.4291591203104783,3.078939197930142,2.464294954721863,1.0496507115135834,0.9619404915912032,1.0219922380336353,1.0381630012936611,98.76196636481242,31109.411384217336
1461,231.13458950201886,13.488034993270526,3.1714939434724094,3.667752355316285,3.2430551816958277,3.4057335127860027,1.5797039030955586,1.7171467025572005,1.5268102288021534,1.829878869448183,98.34051144010768,32097.663526244953
1462,176.58467741935485,14.511169354838708,3.8855107526881723,3.6299462365591397,3.5174596774193545,3.4782526881720432,2.871290322580645,2.922741935483871,2.1657258064516127,2.458467741935484,96.15725806451613,33712.040322580644
1463,449.4353741496599,19.7243537414966,4.376530612244898,5.385442176870748,5.730272108843538,4.232108843537415,1.213877551020408,1.3885714285714286,1.3004081632653062,1.623265306122449,97.50340136054422,41456.5850340136
1465,365.83778966131905,11.863137254901961,2.789536541889483,3.5402495543672012,3.3012121212121213,2.232139037433155,1.0847058823529412,1.273475935828877,1.1395721925133688,1.1207486631016044,97.2638146167558,34002.44028520499
1468,347.6002621231979,14.860681520314548,3.3207208387942333,4.439750982961993,3.8286369593709044,3.2715727391874183,1.2298034076015727,1.3972214941022278,1.3112712975098295,1.3535779816513762,96.54128440366972,38356.91349934469
1470,187.69642857142858,9.979464285714286,2.5364285714285715,2.410625,2.557142857142857,2.4752678571428572,1.9130357142857142,1.9896428571428573,1.5680357142857144,1.9896428571428573,102.125,29041.991071428572
1471,233.29988052568697,14.418673835125448,3.300764635603345,3.645005973715651,4.286881720430108,3.1860215053763437,1.6121863799283156,1.7892473118279568,2.009247311827957,1.6559856630824372,97.3094384707288,32512.25806451613
1472,405.8267716535433,10.063622047244094,2.447716535433071,2.2725984251968505,2.45748031496063,2.8858267716535435,1.058267716535433,1.1314960629921258,0.9222047244094489,0.8976377952755905,102.04724409448819,33790.34645669291
1473,242.76476793248946,15.255727848101266,2.690516877637131,4.831751054852321,4.911930379746836,2.821529535864979,1.9091772151898736,1.4946202531645572,1.9720253164556962,2.1215822784810126,94.38713080168776,32220.733122362868
1474,282.6804733727811,16.030414201183433,3.3934615384615383,4.438801775147929,4.438565088757396,3.759585798816568,1.710976331360947,1.9100591715976332,1.5867159763313607,1.6521301775147927,95.51479289940828,38078.60059171598
1475,233.33364140480592,17.06677449168207,3.5469316081330873,4.917439926062847,5.073003696857671,3.5293992606284657,2.399500924214418,2.6429390018484287,2.556155268022181,2.2156746765249538,96.61090573012939,33874.307763401106
1476,347.0,9.064186046511628,2.336046511627907,1.9886046511627908,2.291279069767442,2.4482558139534887,1.0130232558139536,1.1337209302325582,0.883953488372093,0.8553488372093023,106.48837209302326,32498.523255813954
1477,378.311797752809,11.581207865168539,0.15,4.586980337078652,4.098792134831461,2.8945926966292133,1.3193258426966292,0.54,1.1241573033707866,1.309185393258427,76.40730337078652,33589.32584269663
1478,199.60747663551402,12.358998664886515,2.8968357810413887,3.2954205607476634,2.935807743658211,3.230934579439252,2.080053404539386,1.7606675567423231,1.6131909212283044,1.9131108144192257,94.30440587449934,31748.667556742323
1479,385.4870317002882,14.718357348703169,3.7681268011527376,3.6067723342939484,3.2616330451488955,4.081825168107589,1.3692795389048993,1.177098943323727,1.1115658021133525,1.21014409221902,96.12680115273776,31471.161383285304
1480,455.7142857142857,14.543035714285713,3.0616071428571425,3.9751785714285717,4.144821428571428,3.3614285714285717,0.9846428571428572,0.9610714285714286,0.9578571428571429,1.332857142857143,100.35714285714286,40799.71428571428
1483,242.61302681992336,14.947994891443168,3.5607407407407408,3.785836526181354,4.373243933588761,3.2281736909323113,2.4253639846743296,2.146590038314176,1.7957854406130267,2.005287356321839,98.22988505747126,32211.033205619413
1484,218.57127429805615,12.441447084233262,3.3807991360691143,2.9777321814254862,2.489330453563715,3.593585313174946,1.7556155507559397,1.8432829373650108,1.4024838012958964,1.6153347732181425,92.37904967602591,31311.183585313174
1485,364.36235595390525,14.883623559539053,3.2964916773367476,4.2555185659411014,3.774007682458387,3.5576056338028166,1.5245070422535212,1.2753649167733674,1.3979769526248398,1.3123175416133164,99.65813060179258,32058.175416133163
1486,193.83125,10.8856875,2.6850625,2.8569375,2.5521249999999998,2.7915625,1.744125,1.67025,2.480625,2.134875,93.79375,31800.4625
1487,279.3574193548387,15.446851612903226,3.38461935483871,4.451754838709678,4.2623354838709675,3.348141935483871,1.554348387096774,1.4298580645161292,1.5794322580645161,1.783741935483871,102.3974193548387,32866.87225806452
1489,290.3623639191291,16.635396578538103,3.8148055987558322,4.46293934681182,4.40791601866252,3.949735614307931,1.8401244167962676,2.1183825816485227,1.744945567651633,1.632410575427683,109.57542768273717,36777.1866251944
1495,211.34782608695653,10.53695652173913,2.731521739130435,2.4191304347826086,2.4732608695652174,2.9130434782608696,1.8821739130434783,1.9004347826086956,1.4686956521739132,1.3591304347826088,100.3913043478261,39553.32608695652
