animal_number,kickoff_lf_sum,kickoff_lr_sum,kickoff_rf_sum,kickoff_rr_sum,kickoff_front_sum,kickoff_back_sum,kickoff_any_sum,total_yield,total_visits,kickoff_lf_perc,kickoff_lr_perc,kickoff_rf_perc,kickoff_rr_perc,kickoff_front_perc,kickoff_back_perc,kickoff_any_perc
808,0,0,0,0,0,0,0,1472.54,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833,0,9,3,2,3,9,10,7592.11,502,0.0,1.7928286852589643,0.5976095617529881,0.398406374501992,0.5976095617529881,1.7928286852589643,1.9920318725099602
837,0,1,0,0,0,1,1,12173.75,695,0.0,0.14388489208633093,0.0,0.0,0.0,0.14388489208633093,0.14388489208633093
842,0,0,2,1,2,1,3,14216.07,863,0.0,0.0,0.2317497103128621,0.11587485515643105,0.2317497103128621,0.11587485515643105,0.34762456546929316
855,0,0,0,0,0,0,0,11289.55,762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
856,2,19,4,11,5,27,29,16472.78,1024,0.1953125,1.85546875,0.390625,1.07421875,0.48828125,2.63671875,2.83203125
861,1,4,2,5,3,9,11,8176.94,606,0.16501650165016502,0.6600660066006601,0.33003300330033003,0.825082508250825,0.49504950495049505,1.4851485148514851,1.8151815181518154
868,0,0,1,3,1,3,4,3400.63,210,0.0,0.0,0.4761904761904762,1.4285714285714286,0.4761904761904762,1.4285714285714286,1.9047619047619049
896,5,1,0,0,5,1,1,12683.63,749,0.6675567423230975,0.13351134846461948,0.0,0.0,0.6675567423230975,0.13351134846461948,0.13351134846461948
897,0,11,1,5,1,15,16,17983.46,1000,0.0,1.0999999999999999,0.1,0.5,0.1,1.5,1.6
902,9,31,0,53,9,59,59,2805.35,173,5.202312138728324,17.91907514450867,0.0,30.63583815028902,5.202312138728324,34.104046242774565,34.104046242774565
904,1,27,2,9,3,35,37,15577.48,868,0.1152073732718894,3.110599078341014,0.2304147465437788,1.0368663594470047,0.3456221198156682,4.032258064516129,4.262672811059908
905,2,2,1,0,3,2,3,14382.15,1050,0.19047619047619047,0.19047619047619047,0.09523809523809523,0.0,0.2857142857142857,0.19047619047619047,0.2857142857142857
912,3,2,1,3,4,5,6,14143.17,762,0.39370078740157477,0.26246719160104987,0.13123359580052493,0.39370078740157477,0.5249343832020997,0.6561679790026247,0.7874015748031495
915,2,20,0,6,2,25,25,17739.43,942,0.21231422505307856,2.1231422505307855,0.0,0.6369426751592357,0.21231422505307856,2.6539278131634823,2.6539278131634823
921,5,1,1,1,6,2,3,12759.62,733,0.6821282401091405,0.1364256480218281,0.1364256480218281,0.1364256480218281,0.8185538881309686,0.2728512960436562,0.4092769440654843
922,0,0,1,1,1,1,2,8986.41,494,0.0,0.0,0.20242914979757085,0.20242914979757085,0.20242914979757085,0.20242914979757085,0.4048582995951417
924,0,3,0,2,0,4,4,5055.26,332,0.0,0.9036144578313252,0.0,0.6024096385542169,0.0,1.2048192771084338,1.2048192771084338
925,1,5,1,4,2,8,9,14296.26,728,0.13736263736263737,0.6868131868131868,0.13736263736263737,0.5494505494505495,0.27472527472527475,1.098901098901099,1.2362637362637363
