animal_number,min_date,max_date,count_date,min_dim,max_dim
1057,2023-10-28,2024-09-23,342,0.0,331.0
1058,2022-10-14,2023-12-21,440,46.0,479.0
1061,2023-02-06,2023-11-17,290,0.0,284.0
1067,2023-04-16,2024-02-17,310,0.0,307.0
1074,2023-04-09,2024-04-09,374,0.0,366.0
1081,2023-03-04,2024-02-17,356,0.0,350.0
1084,2023-06-20,2024-04-09,300,0.0,294.0
1089,2023-04-30,2024-05-28,403,0.0,394.0
1091,2023-02-14,2024-04-09,424,0.0,420.0
1092,2023-02-18,2023-11-17,281,0.0,272.0
1098,2023-03-10,2024-02-17,351,0.0,344.0
1100,2023-02-06,2024-01-24,360,0.0,352.0
1101,2023-05-24,2024-05-09,355,0.0,351.0
1102,2023-04-19,2024-02-17,308,0.0,304.0
1116,2023-08-04,2023-11-17,107,0.0,105.0
1126,2023-01-16,2023-12-21,344,1.0,340.0
1127,2023-10-06,2024-12-16,440,0.0,437.0
1133,2023-10-07,2023-11-17,42,0.0,41.0
1139,2023-09-24,2024-08-20,340,0.0,331.0
1140,2023-05-14,2023-11-17,190,0.0,187.0
1142,2023-08-26,2024-06-14,297,0.0,293.0
1144,2023-08-23,2024-06-14,302,0.0,296.0
1145,2023-09-13,2024-07-27,328,0.0,318.0
1148,2023-07-11,2024-05-28,326,0.0,322.0
1151,2023-07-30,2024-05-28,311,0.0,303.0
1153,2023-09-03,2024-07-05,311,0.0,306.0
1159,2023-11-09,2024-09-23,325,1.0,320.0
1160,2023-10-30,2023-11-17,19,0.0,18.0
1163,2023-08-09,2024-08-20,384,0.0,377.0
1164,2023-10-25,2024-10-22,368,0.0,363.0
1168,2023-09-17,2023-11-17,63,0.0,61.0
1170,2023-11-03,2023-11-17,15,0.0,14.0
1171,2023-01-03,2023-11-17,322,0.0,318.0
1172,2023-08-25,2023-11-17,86,1.0,85.0
1173,2023-11-11,2024-09-23,324,0.0,317.0
1177,2023-10-28,2023-11-17,22,0.0,20.0
1178,2023-09-15,2023-11-17,65,0.0,63.0
1184,2023-11-13,2023-11-17,5,0.0,4.0
1192,2022-11-29,2024-01-24,427,0.0,421.0
1197,2023-10-29,2023-11-17,20,0.0,19.0
1198,2023-01-12,2023-12-21,350,0.0,343.0
1200,2022-11-26,2023-11-17,361,0.0,356.0
1207,2023-01-25,2023-11-17,298,0.0,296.0
1212,2023-02-08,2023-12-06,307,0.0,301.0
