                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49465,                0.88062,                0.30572,                 1.0065,                0.99987,                      1,                  0.995,                0.91542,                0.99987,                      1,                  0.995,                0.90278,                 0.4452,                0.76679,                0.23307,                  1.001,              0.0013466,              0.0013466,              0.0013466
                     36,                0.51588,                0.89954,                0.31877,                 1.0146,                0.99991,                      1,                  0.995,                0.92115,                0.99991,                      1,                  0.995,                0.90097,                0.41985,                0.78697,                0.22603,                0.97912,              0.0013268,              0.0013268,              0.0013268
                     37,                0.49957,                 0.9041,                0.30822,                 1.0012,                0.95994,                0.98401,                0.99197,                0.89479,                0.95994,                0.98401,                0.99197,                  0.865,                0.47803,                 1.0501,                0.30702,                 1.0308,               0.001307,               0.001307,               0.001307
                     38,                0.50347,                0.89731,                0.30608,                 1.0017,                0.99691,                      1,                  0.995,                 0.9103,                0.99691,                      1,                  0.995,                0.89198,                 0.4687,                0.81734,                0.26073,                 1.0347,              0.0012872,              0.0012872,              0.0012872
                     39,                0.50291,                0.89547,                0.30887,                  1.002,                0.99992,                      1,                  0.995,                0.91753,                0.99992,                      1,                  0.995,                0.90616,                0.42577,                0.74973,                0.23009,                0.98402,              0.0012674,              0.0012674,              0.0012674
                     40,                0.49729,                0.89748,                0.30464,                0.99916,                0.99992,                      1,                  0.995,                0.92442,                0.99992,                      1,                  0.995,                0.90889,                0.39772,                0.74947,                0.21687,                0.95934,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.4916,                0.87816,                0.30189,                0.99767,                0.99991,                      1,                  0.995,                0.92833,                0.99991,                      1,                  0.995,                0.90266,                0.40751,                0.75642,                0.21967,                0.97203,              0.0012278,              0.0012278,              0.0012278
                     42,                0.50793,                0.90163,                0.31048,                 1.0077,                0.99895,                      1,                  0.995,                0.92039,                0.99895,                      1,                  0.995,                 0.9044,                  0.422,                0.72156,                0.22597,                0.97798,               0.001208,               0.001208,               0.001208
                     43,                0.47913,                0.87051,                0.28972,                0.98805,                0.99992,                      1,                  0.995,                0.92784,                0.99992,                      1,                  0.995,                 0.9038,                0.41068,                0.74884,                0.21905,                0.97002,              0.0011882,              0.0011882,              0.0011882
                     44,                0.48755,                0.87718,                  0.299,                0.99368,                 0.9999,                      1,                  0.995,                0.91461,                 0.9999,                      1,                  0.995,                0.90293,                0.39912,                0.73039,                 0.2195,                0.95183,              0.0011684,              0.0011684,              0.0011684
                     45,                0.48361,                0.86377,                0.28989,                0.99229,                0.99867,                 0.9952,                  0.995,                0.91237,                0.99867,                 0.9952,                  0.995,                0.89603,                0.43087,                0.84133,                 0.2685,                0.99244,              0.0011486,              0.0011486,              0.0011486
                     46,                0.48435,                0.86385,                0.29079,                0.98759,                0.99992,                      1,                  0.995,                0.93243,                0.99992,                      1,                  0.995,                   0.91,                0.40728,                 0.7264,                0.21487,                0.98308,              0.0011288,              0.0011288,              0.0011288
                     47,                0.47903,                0.86124,                0.28915,                0.98966,                 0.9999,                      1,                  0.995,                0.93541,                 0.9999,                      1,                  0.995,                0.90981,                0.39336,                0.75564,                0.20707,                0.95655,               0.001109,               0.001109,               0.001109
                     48,                0.48221,                 0.8681,                0.29319,                0.99498,                0.98421,                      1,                 0.9945,                0.92094,                0.98421,                      1,                 0.9945,                0.90607,                 0.4191,                0.73512,                0.22979,                  0.974,              0.0010892,              0.0010892,              0.0010892
                     49,                0.48555,                0.87613,                 0.2929,                0.99104,                0.99989,                      1,                  0.995,                0.92441,                0.99989,                      1,                  0.995,                 0.9042,                0.42392,                0.73881,                0.21641,                0.99191,              0.0010694,              0.0010694,              0.0010694
                     50,                0.47172,                 0.8477,                0.28055,                0.97929,                0.99991,                      1,                  0.995,                0.92347,                0.99991,                      1,                  0.995,                0.90578,                0.40317,                0.75124,                0.21605,                0.96959,              0.0010496,              0.0010496,              0.0010496
                     51,                0.47422,                0.86008,                0.28677,                0.98808,                0.99992,                      1,                  0.995,                0.92753,                0.99992,                      1,                  0.995,                0.91154,                 0.4014,                0.74954,                0.20691,                0.96114,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.4705,                 0.8439,                 0.2801,                0.97918,                0.99992,                      1,                  0.995,                0.91984,                0.99992,                      1,                  0.995,                 0.8965,                0.42684,                0.80024,                0.21555,                0.99506,                0.00101,                0.00101,                0.00101
                     53,                 0.4726,                0.83555,                0.27848,                 0.9835,                0.99992,                      1,                  0.995,                 0.9258,                0.99992,                      1,                  0.995,                0.90684,                0.41732,                0.76521,                0.22429,                0.98095,              0.0009902,              0.0009902,              0.0009902
                     54,                0.46744,                0.83339,                0.27621,                0.98674,                0.99991,                      1,                  0.995,                 0.9283,                0.99991,                      1,                  0.995,                0.90979,                0.42574,                 0.7746,                0.22079,                 0.9925,              0.0009704,              0.0009704,              0.0009704
                     55,                0.46605,                0.83563,                0.27511,                0.97646,                0.99992,                      1,                  0.995,                0.92339,                0.99992,                      1,                  0.995,                0.90779,                 0.4129,                0.73893,                0.21106,                0.96825,              0.0009506,              0.0009506,              0.0009506
                     56,                0.46383,                0.83326,                0.27341,                0.97549,                 0.9999,                      1,                  0.995,                0.92886,                 0.9999,                      1,                  0.995,                0.90775,                0.41057,                0.74576,                 0.2057,                0.97012,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.4666,                0.84366,                0.27865,                0.98168,                0.99992,                      1,                  0.995,                0.92901,                0.99992,                      1,                  0.995,                0.91144,                0.39876,                0.73149,                0.20763,                0.95542,               0.000911,               0.000911,               0.000911
                     58,                0.46039,                0.82969,                0.27063,                0.98053,                0.99992,                      1,                  0.995,                0.93404,                0.99992,                      1,                  0.995,                0.91099,                0.38181,                 0.7334,                0.20072,                0.94754,              0.0008912,              0.0008912,              0.0008912
                     59,                0.46666,                 0.8327,                0.27267,                0.98392,                0.99991,                      1,                  0.995,                0.93485,                0.99991,                      1,                  0.995,                 0.9107,                0.38974,                0.72649,                0.19534,                0.95383,              0.0008714,              0.0008714,              0.0008714
                     60,                0.45953,                0.82654,                0.26629,                0.97433,                0.98555,                0.99379,                0.99468,                 0.9197,                0.98555,                0.99379,                0.99468,                0.89671,                0.40328,                0.82337,                0.25452,                0.95549,              0.0008516,              0.0008516,              0.0008516
                     61,                0.45993,                0.82511,                0.26685,                0.97538,                0.99987,                      1,                  0.995,                0.92268,                0.99987,                      1,                  0.995,                0.90291,                0.41239,                0.73848,                0.21176,                0.96956,              0.0008318,              0.0008318,              0.0008318
                     62,                0.45811,                0.82186,                0.26318,                0.97664,                 0.9998,                      1,                  0.995,                0.93358,                 0.9998,                      1,                  0.995,                0.90856,                0.38422,                0.73609,                0.20546,                0.94933,               0.000812,               0.000812,               0.000812
                     63,                0.44867,                0.82611,                0.26191,                0.97053,                0.99992,                      1,                  0.995,                0.93066,                0.99992,                      1,                  0.995,                0.90652,                0.37617,                0.72116,                 0.1893,                0.93937,              0.0007922,              0.0007922,              0.0007922
                     64,                0.45196,                0.80069,                0.26118,                0.97183,                0.99992,                      1,                  0.995,                 0.9379,                0.99992,                      1,                  0.995,                0.90889,                0.38034,                0.73774,                0.19436,                0.94428,              0.0007724,              0.0007724,              0.0007724
                     65,                0.44581,                0.80199,                 0.2555,                0.97001,                 0.9999,                      1,                  0.995,                 0.9299,                 0.9999,                      1,                  0.995,                0.90947,                0.38684,                0.73705,                0.19866,                0.95106,              0.0007526,              0.0007526,              0.0007526
                     66,                0.44993,                0.82203,                0.25852,                0.96763,                0.99992,                      1,                  0.995,                0.93176,                0.99992,                      1,                  0.995,                 0.9091,                0.39012,                0.72379,                0.19978,                0.94239,              0.0007328,              0.0007328,              0.0007328
                     67,                0.44503,                0.81665,                0.25577,                0.96821,                0.99992,                      1,                  0.995,                 0.9323,                0.99992,                      1,                  0.995,                0.90982,                0.38585,                0.74667,                0.19308,                 0.9417,               0.000713,               0.000713,               0.000713
                     68,                0.44138,                0.81107,                0.25677,                0.96575,                0.99991,                      1,                  0.995,                0.93342,                0.99991,                      1,                  0.995,                 0.9124,                0.41327,                 0.7302,                0.20256,                0.97501,              0.0006932,              0.0006932,              0.0006932
                     69,                0.44927,                 0.7983,                0.25533,                0.96878,                0.99992,                      1,                  0.995,                0.93745,                0.99992,                      1,                  0.995,                0.91085,                0.39259,                0.74037,                0.20223,                0.95194,              0.0006734,              0.0006734,              0.0006734
                     70,                0.44911,                0.79925,                0.25723,                0.96833,                0.99991,                      1,                  0.995,                0.93105,                0.99991,                      1,                  0.995,                0.90852,                0.40593,                0.72485,                0.20847,                0.96573,              0.0006536,              0.0006536,              0.0006536
                     71,                0.44159,                0.79868,                0.25439,                0.96327,                0.99991,                      1,                  0.995,                  0.934,                0.99991,                      1,                  0.995,                0.90823,                0.37123,                0.74176,                0.18563,                0.93711,              0.0006338,              0.0006338,              0.0006338
                     72,                0.44727,                0.80802,                0.25164,                 0.9751,                0.99991,                      1,                  0.995,                0.93905,                0.99991,                      1,                  0.995,                 0.9154,                0.37928,                0.70973,                0.18467,                0.93866,               0.000614,               0.000614,               0.000614
                     73,                0.44275,                0.80287,                 0.2532,                0.96699,                0.99992,                      1,                  0.995,                0.93735,                0.99992,                      1,                  0.995,                 0.9154,                0.37466,                0.71227,                0.19104,                0.93395,              0.0005942,              0.0005942,              0.0005942
                     74,                0.42493,                0.76889,                0.24057,                0.95437,                0.99989,                      1,                  0.995,                0.93614,                0.99989,                      1,                  0.995,                0.91164,                0.37711,                0.73023,                0.18742,                0.93599,              0.0005744,              0.0005744,              0.0005744
                     75,                0.44449,                 0.7895,                0.24815,                0.96875,                 0.9999,                      1,                  0.995,                0.93259,                 0.9999,                      1,                  0.995,                0.90714,                0.38321,                 0.7386,                0.18754,                0.93997,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.4343,                0.77982,                 0.2439,                0.96052,                 0.9999,                      1,                  0.995,                0.92827,                 0.9999,                      1,                  0.995,                0.91262,                0.38699,                0.71781,                0.19112,                0.94302,              0.0005348,              0.0005348,              0.0005348
                     77,                0.43754,                0.79351,                0.24929,                0.95965,                0.99991,                      1,                  0.995,                0.93472,                0.99991,                      1,                  0.995,                0.90877,                0.37511,                0.73716,                0.19355,                 0.9425,               0.000515,               0.000515,               0.000515
                     78,                0.43492,                0.77005,                 0.2424,                0.95698,                0.99992,                      1,                  0.995,                0.93455,                0.99992,                      1,                  0.995,                0.91013,                0.38158,                0.71192,                0.18878,                0.94928,              0.0004952,              0.0004952,              0.0004952
                     79,                0.42988,                0.77735,                0.24106,                0.95747,                0.99992,                      1,                  0.995,                0.93925,                0.99992,                      1,                  0.995,                0.91575,                0.37284,                0.72209,                0.18626,                0.94254,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.4399,                0.78752,                0.24323,                0.96134,                0.99991,                      1,                  0.995,                0.94088,                0.99991,                      1,                  0.995,                0.91594,                0.38328,                0.72596,                0.18593,                0.95398,              0.0004556,              0.0004556,              0.0004556
                     81,                0.43456,                0.78371,                0.24435,                0.95914,                0.99992,                      1,                  0.995,                0.93919,                0.99992,                      1,                  0.995,                0.91778,                0.37014,                0.70999,                0.18203,                0.93402,              0.0004358,              0.0004358,              0.0004358
                     82,                0.42668,                0.77293,                0.24045,                0.95839,                0.99992,                      1,                  0.995,                0.93826,                0.99992,                      1,                  0.995,                0.91552,                0.38297,                0.70872,                0.18079,                0.94309,               0.000416,               0.000416,               0.000416
                     83,                0.42366,                0.78588,                0.23661,                0.95635,                0.99992,                      1,                  0.995,                0.94153,                0.99992,                      1,                  0.995,                0.91325,                0.36807,                0.71816,                0.17995,                0.92822,              0.0003962,              0.0003962,              0.0003962
                     84,                0.42825,                0.77098,                0.23613,                0.95849,                0.99992,                      1,                  0.995,                0.94372,                0.99992,                      1,                  0.995,                 0.9149,                0.36262,                 0.7213,                0.17952,                0.92327,              0.0003764,              0.0003764,              0.0003764
                     85,                0.42545,                0.77427,                0.23371,                0.95137,                0.99991,                      1,                  0.995,                0.94485,                0.99991,                      1,                  0.995,                0.91664,                0.36223,                0.71319,                 0.1786,                0.92696,              0.0003566,              0.0003566,              0.0003566
                     86,                0.41642,                0.76335,                0.23253,                0.95524,                0.99991,                      1,                  0.995,                0.94269,                0.99991,                      1,                  0.995,                0.91485,                0.37585,                0.72237,                0.18456,                0.93962,              0.0003368,              0.0003368,              0.0003368
                     87,                0.42781,                 0.7724,                0.23349,                 0.9558,                 0.9999,                      1,                  0.995,                0.93932,                 0.9999,                      1,                  0.995,                0.91404,                0.37276,                0.73379,                0.17973,                0.93915,               0.000317,               0.000317,               0.000317
                     88,                  0.418,                0.75889,                0.23172,                0.95295,                0.99991,                      1,                  0.995,                0.93785,                0.99991,                      1,                  0.995,                0.91375,                0.36387,                0.72446,                 0.1755,                0.93219,              0.0002972,              0.0002972,              0.0002972
                     89,                0.41613,                0.75556,                0.23075,                0.95217,                0.99992,                      1,                  0.995,                0.93804,                0.99992,                      1,                  0.995,                0.91493,                0.36853,                 0.7185,                0.17584,                0.93483,              0.0002774,              0.0002774,              0.0002774
                     90,                0.42573,                0.75762,                0.22883,                0.95825,                 0.9999,                      1,                  0.995,                0.93741,                 0.9999,                      1,                  0.995,                0.91285,                0.36467,                 0.7416,                0.17516,                0.93066,              0.0002576,              0.0002576,              0.0002576
                     91,                0.32379,                0.60986,                0.17598,                 0.9137,                0.99921,                      1,                  0.995,                0.93555,                0.99921,                      1,                  0.995,                0.91701,                0.36578,                0.71148,                0.18226,                0.93015,              0.0002378,              0.0002378,              0.0002378
                     92,                0.31607,                0.59276,                0.17146,                0.90827,                0.99977,                      1,                  0.995,                0.94246,                0.99977,                      1,                  0.995,                0.91396,                0.36854,                0.73108,                0.18135,                0.93782,               0.000218,               0.000218,               0.000218
                     93,                0.31642,                0.59293,                 0.1682,                0.91213,                0.99988,                      1,                  0.995,                0.94438,                0.99988,                      1,                  0.995,                0.91491,                0.36155,                0.72271,                0.17828,                0.93195,              0.0001982,              0.0001982,              0.0001982
                     94,                0.30856,                0.58564,                0.16518,                0.90306,                0.99989,                      1,                  0.995,                0.93878,                0.99989,                      1,                  0.995,                0.91376,                0.36897,                0.72045,                0.17735,                0.93668,              0.0001784,              0.0001784,              0.0001784
                     95,                0.30796,                 0.5841,                0.16461,                0.89933,                0.99991,                      1,                  0.995,                0.93992,                0.99991,                      1,                  0.995,                 0.9151,                0.36898,                  0.718,                0.17238,                0.93687,              0.0001586,              0.0001586,              0.0001586
                     96,                0.30744,                0.57267,                0.16466,                0.90495,                0.99991,                      1,                  0.995,                0.94139,                0.99991,                      1,                  0.995,                0.91556,                0.37164,                0.72164,                0.17345,                0.93946,              0.0001388,              0.0001388,              0.0001388
                     97,                  0.305,                0.58152,                0.15968,                 0.9007,                0.99989,                      1,                  0.995,                0.94169,                0.99989,                      1,                  0.995,                0.91659,                0.36557,                0.72034,                0.17082,                0.93704,               0.000119,               0.000119,               0.000119
                     98,                 0.3033,                0.57287,                0.15934,                0.90157,                0.99989,                      1,                  0.995,                0.94181,                0.99989,                      1,                  0.995,                0.91875,                0.36941,                 0.7183,                0.17273,                0.93737,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.30285,                0.57393,                0.15883,                0.90246,                0.99986,                      1,                  0.995,                0.94245,                0.99986,                      1,                  0.995,                0.91583,                0.35901,                0.72311,                0.16769,                0.92995,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.29908,                0.57048,                0.15625,                0.89504,                0.99988,                      1,                  0.995,                0.93994,                0.99988,                      1,                  0.995,                 0.9165,                0.36374,                0.72334,                0.16851,                0.93431,               5.96e-05,               5.96e-05,               5.96e-05
